witness_id,metric,declared_system_value,nuisance_system_value,expected_relation,relation_holds
same_viability_kernel_different_declared_recovery_v0,source_count,4,4,matched,1
same_viability_kernel_different_declared_recovery_v0,transition_edge_count,4,4,matched,1
same_viability_kernel_different_declared_recovery_v0,deterministic_transition,1,1,matched,1
same_viability_kernel_different_declared_recovery_v0,declared_viability_predicate,state first bit d = 1,state first bit d = 1,matched,1
same_viability_kernel_different_declared_recovery_v0,viability_kernel_size,2,2,matched,1
same_viability_kernel_different_declared_recovery_v0,viability_kernel_signature,10;11,10;11,matched,1
same_viability_kernel_different_declared_recovery_v0,source_to_target_viability_signature,00:0;01:0;10:1;11:1,00:0;01:0;10:1;11:1,matched,1
same_viability_kernel_different_declared_recovery_v0,source_viability_signature,00:0;01:0;10:1;11:1,00:0;01:0;10:1;11:1,matched,1
same_viability_kernel_different_declared_recovery_v0,declared_recovery_signature,kernel_with_declared_d_carried:1:0->{0};1->{1},"kernel_with_nuisance_n_carried:0:0->{0,1};1->{0,1}",different,1
