witness_id,carrier_id,system_id,source_count,transition_edge_count,deterministic_transition,declared_viability_predicate,viability_kernel_size,viability_kernel_signature,source_to_target_viability_signature,source_viability_signature
same_viability_kernel_different_declared_recovery_v0,X2_dn_viability_kernel,kernel_with_declared_d_carried,4,4,1,state first bit d = 1,2,10;11,00:0;01:0;10:1;11:1,00:0;01:0;10:1;11:1
same_viability_kernel_different_declared_recovery_v0,X2_dn_viability_kernel,kernel_with_nuisance_n_carried,4,4,1,state first bit d = 1,2,10;11,00:0;01:0;10:1;11:1,00:0;01:0;10:1;11:1
