rule,ic_family,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index
0,bernoulli_050,0.0019279509666828795,0.0,0.0038792684669885723,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.9475031246122614,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0019279509666828795,0.9980720490333171,0.0,1.0,1.0,1.0,1.0,0.0038792684669885723,0.0,1.0,0.007924425631036989,0.0
0,bernoulli_025,0.0009604131201361867,0.0,0.003125806378256349,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0631862927799698,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0009604131201361867,0.9990395868798638,0.0,1.0,1.0,1.0,1.0,0.003125806378256349,0.0,1.0,0.011670832391890386,0.0
0,single_seed,1.5199416342412452e-05,0.0,0.00014348061022629118,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,1.5199416342412452e-05,0.9999848005836576,0.0,1.0,1.0,1.0,1.0,0.00014348061022629118,0.0,1.0,0.015384615384615385,0.0
0,two_cell_seed,3.0398832684824903e-05,0.0,0.00025647635376469495,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,-0.0,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,3.0398832684824903e-05,0.9999696011673151,0.0,1.0,1.0,1.0,1.0,0.00025647635376469495,0.0,1.0,0.007692307692307693,0.0
0,short_random_block,0.00012349525778210116,0.0,0.0007750592340828751,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.8002008146763553,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.00012349525778210116,0.9998765047422179,0.0,1.0,1.0,1.0,1.0,0.0007750592340828751,0.0,1.0,0.008931184686982199,0.0
0,periodic_perturbation,0.0019417254377431907,0.0,0.003890879309602263,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.05221741470535915,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0019417254377431907,0.9980582745622568,0.0,1.0,1.0,1.0,1.0,0.003890879309602263,0.0,1.0,0.015295169946332737,0.0
8,bernoulli_050,0.0024043576726653698,0.0,0.005981674146356983,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.973258284932098,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0024043576726653698,0.9975956423273347,0.0,1.0,1.0,1.0,1.0,0.005981674146356983,0.0,1.0,0.007821171698762012,0.0
8,bernoulli_025,0.001173204948929961,0.0,0.004233018839545805,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0797151714822137,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.001173204948929961,0.9988267950510701,0.0,1.0,1.0,1.0,1.0,0.004233018839545805,0.0,1.0,0.011607004188547957,0.0
8,single_seed,1.5199416342412452e-05,0.0,0.00014348061022629118,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,1.5199416342412452e-05,0.9999848005836576,0.0,1.0,1.0,1.0,1.0,0.00014348061022629118,0.0,1.0,0.015384615384615385,0.0
8,two_cell_seed,4.5598249027237355e-05,0.0,0.00039995692268518583,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,-0.0,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,4.5598249027237355e-05,0.9999544017509727,0.0,1.0,1.0,1.0,1.0,0.00039995692268518583,0.0,1.0,0.007692307692307693,0.0
8,short_random_block,0.00015579401750972762,0.0,0.0010257294213689345,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.8486220909285653,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.00015579401750972762,0.9998442059824902,0.0,1.0,1.0,1.0,1.0,0.0010257294213689345,0.0,1.0,0.009105244303208105,0.0
8,periodic_perturbation,0.0019635745987354085,0.0,0.004031139792978222,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,0.07144569986227978,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0019635745987354085,0.9980364254012646,0.0,1.0,1.0,1.0,1.0,0.004031139792978222,0.0,1.0,0.01525417412045319,0.0
1,bernoulli_050,0.44055817006626946,0.762451171875,0.6517030274665181,0.0,0.0,0.0,0.0,1.0,260.0,260.0,8.0,4.823667117127505,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.44055817006626946,0.5594418299337305,3.08279618194128,0.0,1.0,1.0,0.35,0.6517030274665181,0.119384765625,0.880615234375,0.08518511276934208,0.11811485072968789
1,bernoulli_025,0.3961027271552772,0.37432861328125,0.958410714909237,0.0,0.0,0.0,0.0,1.0,260.0,260.0,2.0,2.9384211823228505,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.3961027271552772,0.6038972728447227,17.45533870685884,0.0,1.0,1.0,0.35,0.958410714909237,0.2066650390625,0.7933349609375,0.2908388898028955,0.20018819306247282
1,single_seed,0.494178623540856,0.00390625,0.06432171345072965,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.0,-0.0,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.494178623540856,0.5058213764591439,2.03174602761804,0.0,1.0,1.0,0.35,0.06432171345072965,0.0078125,0.9921875,1.0,0.007812156031199195
1,two_cell_seed,0.49419382295719844,0.0078125,0.09091707716454746,0.0,0.0,0.0,0.0,1.0,260.0,260.0,2.0,-0.0,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.49419382295719844,0.5058061770428015,2.047999995805696,0.0,1.0,1.0,0.35,0.09091707716454746,0.0078125,0.9921875,0.5,0.007812156031199195
1,short_random_block,0.49178400299428504,0.04302978515625,0.27589423329399626,0.0,0.0,0.0,0.0,1.0,260.0,260.0,4.0,3.772659331396416,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.49178400299428504,0.508215997005715,2.217106351679154,0.0,1.0,1.0,0.35,0.27589423329399626,0.0128173828125,0.9871826171875,0.23690284282634247,0.012815592763927122
1,periodic_perturbation,0.4999957251641537,1.0,0.0038908793096018393,0.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,0.05039019075674507,0.0,1.0,0.015625,0.0,-0.0625,2.0,0.0,0.4999957251641537,0.5000042748358463,0.0,0.0,1.0,1.0,0.35,0.0038908793096018393,0.0,1.0,0.015298896839594513,0.0
4,bernoulli_050,0.1249995250182393,0.12353515625,0.5376971806448271,0.0,0.0,0.0,1.0,1.0,258.5625,260.0,1.0,0.1442128611814573,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.1249995250182393,0.8750004749817607,43.83318873185546,1.0,1.0,1.0,1.0,0.5376971806448271,0.2470703125,0.7529296875,0.9922707084718457,0.13240701575883765
4,bernoulli_025,0.14006333406797178,0.1396484375,0.5817744246735183,0.0,0.0,0.0,1.0,1.0,259.1875,260.0,1.0,0.0509509717078518,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.14006333406797178,0.8599366659320282,49.99584953336456,1.0,1.0,1.0,1.0,0.5817744246735183,0.279296875,0.720703125,0.9962528862835436,0.16224723978595407
4,single_seed,0.00390625,0.00390625,0.036874506253871994,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.0,-0.0,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.00390625,0.99609375,999999999.9999999,1.0,1.0,1.0,1.0,0.036874506253871994,0.0078125,0.9921875,1.0,0.00028808208010837485
4,two_cell_seed,3.0398832684824903e-05,0.0,0.00025647635376469495,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,-0.0,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,3.0398832684824903e-05,0.9999696011673151,0.0,1.0,1.0,1.0,1.0,0.00025647635376469495,0.0,1.0,0.007692307692307693,0.0
4,short_random_block,0.00845800021279183,0.00836181640625,0.06654342559176857,0.15625,0.15625,0.0,1.0,1.0,219.9375,260.0,1.0,0.1418823027817701,0.84375,1.0,1.015625,0.0,-0.009765625,1.0,0.84375,0.00845800021279183,0.9915419997872081,139.3664292894097,1.0,1.0,1.0,1.0,0.06654342559176857,0.0167236328125,0.9832763671875,0.8388298440341709,0.0011037926462040637
4,periodic_perturbation,0.49294462092655644,0.492919921875,0.9998134246943085,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.0,0.0014603922132200103,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.49294462092655644,0.5070553790734436,260.6221709909449,1.0,1.0,1.0,1.0,0.9998134246943085,0.98583984375,0.01416015625,0.9999031007751938,0.9856553614391363
7,bernoulli_050,0.46844743661843385,0.55517578125,0.9628219437104386,0.0,0.0,0.0,0.0,0.0,259.9375,260.0,6.0,4.297855219039096,1.0,0.568603515625,1.015625,0.4940185546875,-0.0047607421875,0.0,1.0,0.46844743661843385,0.5315525633815661,9.22880713822116,0.0,0.0,0.0,0.0,0.9628219437104386,0.1259765625,0.8740234375,0.12223643029749402,0.1256096271713913
7,bernoulli_025,0.47732745812560795,0.16302490234375,0.677960092117811,0.0,0.0,0.0,0.0,0.0,220.6875,260.0,3.0,2.7529984514753507,1.0,0.7568359375,1.015625,0.276611328125,-0.0115966796875,0.0,1.0,0.47732745812560795,0.522672541874392,3.1331325498683915,0.0,0.0,0.0,0.0,0.677960092117811,0.0855712890625,0.9144287109375,0.27662320286572617,0.08545246471421486
7,single_seed,0.4980544747081712,0.0,0.0002869611791463623,1.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.015625,0.0,-0.0625,2.0,0.0,0.4980544747081712,0.5019455252918288,0.0,0.0,1.0,1.0,0.35,0.0002869611791463623,0.0,1.0,0.015384615384615385,0.0
7,two_cell_seed,0.4961393482490272,0.0078125,0.07889816436718368,0.0,0.0,0.0,0.0,0.0,256.0,256.0,2.0,-0.0,1.0,0.984375,1.0,0.015625,-0.0625,0.0,1.0,0.4961393482490272,0.5038606517509727,2.0398406332892494,0.0,0.0,1.0,0.35,0.07889816436718368,0.0078125,0.9921875,0.5,0.007812414008455879
