rule,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural
65,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
66,True,True,True,2,True,False,False,0.5,0.5,0.0,True,True
67,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
68,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True
69,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
70,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
71,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
72,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
73,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
74,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
75,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
76,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
77,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
78,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
79,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
80,True,False,True,2,True,False,True,0.5,0.5,0.0,True,True
81,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
82,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
83,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
84,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
85,False,False,True,1,True,False,True,0.5,0.0,1.0,False,False
86,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
87,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
88,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
89,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
90,True,False,True,2,True,False,True,0.0,0.0,0.0,False,False
91,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
92,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
93,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
94,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
95,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False
96,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
97,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
98,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
99,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
100,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
101,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
102,False,True,True,1,True,False,False,0.5,0.0,1.0,False,False
103,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
104,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
105,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
106,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
107,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
108,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
109,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
110,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
111,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
112,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
113,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
114,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
115,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
116,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
117,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
118,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
119,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True
120,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
121,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
122,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
123,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
124,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
125,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
126,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
127,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False
128,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False
129,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
130,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
131,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
132,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
133,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
134,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
135,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
136,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True
137,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
138,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
139,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
140,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
141,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
142,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
143,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
144,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
145,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
146,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
147,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
148,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
149,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
150,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
151,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
152,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
153,False,True,True,1,True,False,False,0.5,0.0,1.0,False,False
154,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
155,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
156,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
157,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
158,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
159,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
160,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False
161,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
162,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
163,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
164,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
165,True,False,True,2,True,False,True,0.0,0.0,0.0,False,False
166,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
167,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
168,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
169,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
170,False,False,True,1,True,False,True,0.5,0.0,1.0,False,False
171,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
172,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
173,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
174,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
175,True,False,True,2,True,False,True,0.5,0.5,0.0,True,True
176,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
177,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
178,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
179,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
180,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
181,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
182,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
183,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False
184,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
185,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
186,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
187,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True
188,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
189,True,True,True,2,True,False,False,0.5,0.5,0.0,True,True
190,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True
191,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True
192,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True
193,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
194,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
195,True,True,False,1,True,False,False,0.5,0.0,1.0,False,False
196,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
197,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
198,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False
199,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True
200,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
201,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False
202,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False
203,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True
204,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False
205,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False
