witness_id,carrier_id,channel_id,declared_distinction_panel,recovered_distinctions,failed_distinctions,recovered_distinction_count,recovery_profile_signature
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,D_A;D_B,D_A,D_B,1,recovered:D_A|failed:D_B
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,D_A;D_B,D_B,D_A,1,recovered:D_B|failed:D_A
