witness_id,carrier_id,channel_id,source_count,edge_count,global_target_support_size,global_target_support,global_target_weight_signature,global_target_entropy_bits,per_source_support_count_signature,per_source_entropy_bits_signature,min_per_source_entropy_bits,max_per_source_entropy_bits
same_entropy_different_recovery_profile_v0,X2_ab,preserve_a_scramble_b,4,8,4,00;01;10;11,00:2;01:2;10:2;11:2,2.000000,00:2;01:2;10:2;11:2,00:1.000000;01:1.000000;10:1.000000;11:1.000000,1.000000,1.000000
same_entropy_different_recovery_profile_v0,X2_ab,preserve_b_scramble_a,4,8,4,00;01;10;11,00:2;01:2;10:2;11:2,2.000000,00:2;01:2;10:2;11:2,00:1.000000;01:1.000000;10:1.000000;11:1.000000,1.000000,1.000000
