witness_id,metric,declared_system_value,nuisance_system_value,expected_relation,relation_holds
same_control_reach_different_declared_recovery_v0,source_count,4,4,matched,1
same_control_reach_different_declared_recovery_v0,control_count,2,2,matched,1
same_control_reach_different_declared_recovery_v0,transition_edge_count,8,8,matched,1
same_control_reach_different_declared_recovery_v0,deterministic_transition,1,1,matched,1
same_control_reach_different_declared_recovery_v0,global_target_support_size,4,4,matched,1
same_control_reach_different_declared_recovery_v0,global_target_support,00;01;10;11,00;01;10;11,matched,1
same_control_reach_different_declared_recovery_v0,per_source_reachable_target_count_signature,00:2;01:2;10:2;11:2,00:2;01:2;10:2;11:2,matched,1
same_control_reach_different_declared_recovery_v0,target_count_by_control_signature,drive_0:2;drive_1:2,drive_0:2;drive_1:2,matched,1
same_control_reach_different_declared_recovery_v0,target_control_bits_by_control_signature,drive_0:0;drive_1:1,drive_0:0;drive_1:1,matched,1
same_control_reach_different_declared_recovery_v0,declared_recovery_signature,control_with_declared_d_carried:1:0->{0};1->{1},"control_with_nuisance_n_carried:0:0->{0,1};1->{0,1}",different,1
