witness_id,carrier_id,system_id,source_count,control_count,transition_edge_count,deterministic_transition,global_target_support_size,global_target_support,per_source_reachable_target_count_signature,target_count_by_control_signature,target_control_bits_by_control_signature,control_reach_baseline_signature
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_declared_d_carried,4,2,8,1,4,00;01;10;11,00:2;01:2;10:2;11:2,drive_0:2;drive_1:2,drive_0:0;drive_1:1,N:4|C:2|E:8|deterministic:1|G:4|support:00;01;10;11|per_source:00:2;01:2;10:2;11:2|per_control:drive_0:2;drive_1:2|control_bits:drive_0:0;drive_1:1
same_control_reach_different_declared_recovery_v0,X2_dn_control_reach,control_with_nuisance_n_carried,4,2,8,1,4,00;01;10;11,00:2;01:2;10:2;11:2,drive_0:2;drive_1:2,drive_0:0;drive_1:1,N:4|C:2|E:8|deterministic:1|G:4|support:00;01;10;11|per_source:00:2;01:2;10:2;11:2|per_control:drive_0:2;drive_1:2|control_bits:drive_0:0;drive_1:1
