channel_id,prior_id,decoder_policy_id,A_success,B_success,joint_success,parity_success,A_selected_target_distinction_id,B_selected_target_distinction_id,joint_selected_target_distinction_id,parity_selected_target_distinction_id,A_selected_decoder_id,B_selected_decoder_id,joint_selected_decoder_id,parity_selected_decoder_id,A_observation_scope,B_observation_scope,joint_observation_scope,parity_observation_scope,A_passes_threshold,B_passes_threshold,joint_passes_threshold,parity_passes_threshold,diagnostic_class,claim_boundary
asym_A_erased_B_preserved,uniform_X2,bayes_best_target_distinction,0.5,1.0,0.5,0.5,E_A,E_B,E_B,E_A,dec::asym_A_erased_B_preserved::D_A::E_A::bayes_optimal_decoder,dec::asym_A_erased_B_preserved::D_B::E_B::bayes_optimal_decoder,dec::asym_A_erased_B_preserved::D_joint::E_B::bayes_optimal_decoder,dec::asym_A_erased_B_preserved::D_parity::E_A::bayes_optimal_decoder,E_A_only,E_B_only,E_B_only,E_A_only,0,1,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_erased_B_preserved,uniform_X2,fixed_declared_target_distinction,0.5,1.0,0.5,0.5,E_A,E_B,E_joint,E_parity,dec::asym_A_erased_B_preserved::D_A::E_A::bayes_optimal_decoder,dec::asym_A_erased_B_preserved::D_B::E_B::bayes_optimal_decoder,dec::asym_A_erased_B_preserved::D_joint::E_joint::bayes_optimal_decoder,dec::asym_A_erased_B_preserved::D_parity::E_parity::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_parity,0,1,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_noisy_B_preserved_p_0_25,uniform_X2,bayes_best_target_distinction,0.75,1.0,0.75,0.75,E_A,E_B,E_joint,E_joint,dec::asym_A_noisy_B_preserved_p_0_25::D_A::E_A::bayes_optimal_decoder,dec::asym_A_noisy_B_preserved_p_0_25::D_B::E_B::bayes_optimal_decoder,dec::asym_A_noisy_B_preserved_p_0_25::D_joint::E_joint::bayes_optimal_decoder,dec::asym_A_noisy_B_preserved_p_0_25::D_parity::E_joint::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_A_and_E_B_jointly_available,0,1,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_noisy_B_preserved_p_0_25,uniform_X2,fixed_declared_target_distinction,0.75,1.0,0.75,0.75,E_A,E_B,E_joint,E_parity,dec::asym_A_noisy_B_preserved_p_0_25::D_A::E_A::bayes_optimal_decoder,dec::asym_A_noisy_B_preserved_p_0_25::D_B::E_B::bayes_optimal_decoder,dec::asym_A_noisy_B_preserved_p_0_25::D_joint::E_joint::bayes_optimal_decoder,dec::asym_A_noisy_B_preserved_p_0_25::D_parity::E_parity::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_parity,0,1,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_preserved_B_noisy_p_0_25,uniform_X2,bayes_best_target_distinction,1.0,0.75,0.75,0.75,E_A,E_B,E_joint,E_joint,dec::asym_A_preserved_B_noisy_p_0_25::D_A::E_A::bayes_optimal_decoder,dec::asym_A_preserved_B_noisy_p_0_25::D_B::E_B::bayes_optimal_decoder,dec::asym_A_preserved_B_noisy_p_0_25::D_joint::E_joint::bayes_optimal_decoder,dec::asym_A_preserved_B_noisy_p_0_25::D_parity::E_joint::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_A_and_E_B_jointly_available,1,0,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_A_preserved_B_noisy_p_0_25,uniform_X2,fixed_declared_target_distinction,1.0,0.75,0.75,0.75,E_A,E_B,E_joint,E_parity,dec::asym_A_preserved_B_noisy_p_0_25::D_A::E_A::bayes_optimal_decoder,dec::asym_A_preserved_B_noisy_p_0_25::D_B::E_B::bayes_optimal_decoder,dec::asym_A_preserved_B_noisy_p_0_25::D_joint::E_joint::bayes_optimal_decoder,dec::asym_A_preserved_B_noisy_p_0_25::D_parity::E_parity::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_parity,1,0,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_B_erased_A_preserved,uniform_X2,bayes_best_target_distinction,1.0,0.5,0.5,0.5,E_A,E_A,E_A,E_A,dec::asym_B_erased_A_preserved::D_A::E_A::bayes_optimal_decoder,dec::asym_B_erased_A_preserved::D_B::E_A::bayes_optimal_decoder,dec::asym_B_erased_A_preserved::D_joint::E_A::bayes_optimal_decoder,dec::asym_B_erased_A_preserved::D_parity::E_A::bayes_optimal_decoder,E_A_only,E_A_only,E_A_only,E_A_only,1,0,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
asym_B_erased_A_preserved,uniform_X2,fixed_declared_target_distinction,1.0,0.5,0.5,0.5,E_A,E_B,E_joint,E_parity,dec::asym_B_erased_A_preserved::D_A::E_A::bayes_optimal_decoder,dec::asym_B_erased_A_preserved::D_B::E_B::bayes_optimal_decoder,dec::asym_B_erased_A_preserved::D_joint::E_joint::bayes_optimal_decoder,dec::asym_B_erased_A_preserved::D_parity::E_parity::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_parity,1,0,0,0,mixed_or_partial,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_00,uniform_X2,bayes_best_target_distinction,1.0,1.0,1.0,1.0,E_A,E_B,E_joint,E_joint,dec::bit_flip_p_0_00::D_A::E_A::bayes_optimal_decoder,dec::bit_flip_p_0_00::D_B::E_B::bayes_optimal_decoder,dec::bit_flip_p_0_00::D_joint::E_joint::bayes_optimal_decoder,dec::bit_flip_p_0_00::D_parity::E_joint::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_A_and_E_B_jointly_available,1,1,1,1,marginal_and_joint_recovered,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
bit_flip_p_0_00,uniform_X2,fixed_declared_target_distinction,1.0,1.0,1.0,1.0,E_A,E_B,E_joint,E_parity,dec::bit_flip_p_0_00::D_A::E_A::bayes_optimal_decoder,dec::bit_flip_p_0_00::D_B::E_B::bayes_optimal_decoder,dec::bit_flip_p_0_00::D_joint::E_joint::bayes_optimal_decoder,dec::bit_flip_p_0_00::D_parity::E_parity::bayes_optimal_decoder,E_A_only,E_B_only,E_A_and_E_B_jointly_available,E_parity,1,1,1,1,marginal_and_joint_recovered,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
