carrier_id,state_count,states,carrier_role,claim_boundary
X2,4,00;01;10;11,primary_source,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y2,4,00;01;10;11,primary_target_and_cascade_source,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_A,2,0;1,degraded_target,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_B,2,0;1,degraded_target,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
Y_star,1,*,degraded_target,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
