channel_id,source_distinction_id,target_distinction_id,decoder_id,prior_id,source_label,target_observation_label,decoded_source_label,probability,probability_fraction,claim_boundary
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,uniform_X2,0,0,0,0.5,1/2,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,uniform_X2,0,1,1,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,uniform_X2,1,0,0,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::bayes_optimal_decoder,uniform_X2,1,1,1,0.5,1/2,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::exact_decoder,uniform_X2,0,0,0,0.5,1/2,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::exact_decoder,uniform_X2,0,1,1,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::exact_decoder,uniform_X2,1,0,0,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::exact_decoder,uniform_X2,1,1,1,0.5,1/2,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::declared_decoder,uniform_X2,0,0,0,0.5,1/2,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::declared_decoder,uniform_X2,0,1,1,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
identity_channel,D_A,E_A,dec::identity_channel::D_A::E_A::declared_decoder,uniform_X2,1,0,0,0.0,0,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
