requirement_set_id,distinction_ids,declaration_rule,semantic_status,claim_boundary
req_marginals,D_A;D_B,predeclared source distinction set,finite_stochastic_channel_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
req_joint,D_joint,predeclared source distinction set,finite_stochastic_channel_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
req_parity,D_parity,predeclared source distinction set,finite_stochastic_channel_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
req_all_nontrivial,D_A;D_B;D_joint;D_parity,predeclared source distinction set,finite_stochastic_channel_only,"finite stochastic channel probe; scope limited to declared channel, distinction, decoder, threshold, and formal-consumption measurements"
