kappa,split,mean_learned_labels_per_COM_fiber,median_learned_labels_per_COM_fiber,COM_fiber_split_entropy,fraction_COM_fibers_split_into_gt3_labels,mean_COM_labels_per_learned_fiber,learned_fiber_COM_mixing_entropy,fraction_learned_fibers_mixing_gt3_COM_labels,future_viable_to_final_variance,future_path_survival_variance,future_transport_depth_variance,num_label_penalty,singleton_fraction,small_fiber_fraction,label_imbalance
predictive_kmeans_k5,train,2.8461538461538463,3.0,1.293367783939772,0.38461538461538464,7.4,2.8517132067779865,1.0,0.0,0.02386396937072277,0.0,2.777777777777778e-06,0.0,0.0,0.2338802866634847
predictive_kmeans_k8,train,3.5384615384615383,3.0,1.6123835473968664,0.38461538461538464,5.75,2.49288302602025,1.0,0.0,0.016291111707687378,0.0,4.444444444444444e-06,0.0,0.0,0.2539423709534322
predictive_kmeans_k13,train,4.461538461538462,4.0,1.8503150400423651,0.6153846153846154,4.461538461538462,2.084730274674345,0.7692307692307693,0.0,0.00983375869691372,0.0,7.222222222222222e-06,0.0,0.0,0.18065940478263498
predictive_kmeans_k21,train,5.6923076923076925,6.0,2.1013543791702145,0.6153846153846154,3.5238095238095237,1.740589280287612,0.42857142857142855,0.0,0.0026717172004282475,0.0,1.1666666666666666e-05,0.0,0.0,0.12718721081387896
predictive_kmeans_no_COM_k8,train,3.923076923076923,4.0,1.7283948476791993,0.6153846153846154,6.375,2.6295217015691854,1.0,0.0,0.016266584396362305,0.0,4.444444444444444e-06,0.0,0.0,0.24431343728627464
predictive_kmeans_no_COM_k13,train,4.6923076923076925,5.0,1.8984638309483235,0.6153846153846154,4.6923076923076925,2.1423042156746552,0.7692307692307693,0.0,0.009817292913794518,0.0,7.222222222222222e-06,0.0,0.0,0.14275761463002168
predictive_kmeans_k5,validation,2.769230769230769,3.0,1.216444707016695,0.38461538461538464,7.2,2.8213125880889764,1.0,0.0,0.023311492055654526,0.0,5.787037037037037e-06,0.0,0.0,0.23179628227280202
predictive_kmeans_k8,validation,3.4615384615384617,3.0,1.5372081686661037,0.38461538461538464,5.625,2.4526420141593297,1.0,0.0,0.015903325751423836,0.0,9.259259259259259e-06,0.0,0.0,0.2571373022265523
predictive_kmeans_k13,validation,4.384615384615385,4.0,1.7850845087689073,0.5384615384615384,4.384615384615385,2.059966575067625,0.7692307692307693,0.0,0.009580143727362156,0.0,1.5046296296296297e-05,0.0,0.0,0.18686693647475383
predictive_kmeans_k21,validation,5.615384615384615,6.0,2.0714280491128374,0.6153846153846154,3.4761904761904763,1.7083001419489148,0.38095238095238093,0.0,0.0025914672296494246,0.0,2.4305555555555554e-05,0.0,0.0,0.13192542668960627
predictive_kmeans_no_COM_k8,validation,3.769230769230769,4.0,1.6514717707561224,0.5384615384615384,6.125,2.581360432083587,1.0,0.0,0.01587441749870777,0.0,9.259259259259259e-06,0.0,0.0,0.246606653022439
predictive_kmeans_no_COM_k13,validation,4.538461538461538,4.0,1.8073542485531369,0.5384615384615384,4.538461538461538,2.0973071002345662,0.7692307692307693,0.0,0.009562809020280838,0.0,1.5046296296296297e-05,0.0,0.0,0.1508743934489113
predictive_kmeans_k5,test,2.769230769230769,2.0,1.1962112911833263,0.38461538461538464,7.2,2.8108191041101493,1.0,0.0,0.02243887260556221,0.0,5.787037037037037e-06,0.0,0.0,0.21480231085992385
predictive_kmeans_k8,test,3.4615384615384617,3.0,1.497625616909968,0.46153846153846156,5.625,2.43220467262397,1.0,0.0,0.015215730294585228,0.0,9.259259259259259e-06,0.0,0.0,0.2577684083599533
predictive_kmeans_k13,test,4.461538461538462,4.0,1.7432136998286143,0.5384615384615384,4.461538461538462,2.0801999909009936,0.8461538461538461,0.0,0.009113067761063576,0.0,1.5046296296296297e-05,0.0,0.0,0.22051084043794245
predictive_kmeans_k21,test,5.538461538461538,5.0,1.9925053407641498,0.6153846153846154,3.4285714285714284,1.7051896677482956,0.42857142857142855,0.0,0.0013353246031329036,0.0,2.4305555555555554e-05,0.0,0.0,0.15702472821216873
predictive_kmeans_no_COM_k8,test,3.769230769230769,4.0,1.5916558031666181,0.5384615384615384,6.125,2.553561379416531,1.0,0.0,0.015171937644481659,0.0,9.259259259259259e-06,0.0,0.0,0.25188438508468536
predictive_kmeans_no_COM_k13,test,4.615384615384615,4.0,1.7981556627260082,0.5384615384615384,4.615384615384615,2.1004334067343624,0.7692307692307693,0.0,0.009095054119825363,0.0,1.5046296296296297e-05,0.0,0.0,0.2083508072612903
