alpha,T,kappa,Delta_R,Delta_p_viable_product,Delta_H_cond_product,Delta_H_weighted_product,Delta_H_recovery_product,strict_certified_mass_advantage,certified_transport_density_advantage,singleton_fraction,component_A_preservation,component_B_preservation,lower_rank_erasure_score,horizon_stability_score,estimator_warning,category
0.4,900,all_one_diagnostic,-1.8241478547810015e-05,5e-05,-8.980588964883072,-8.969677298352014,-8.986865703003149,-1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.4,900,basin_transition_profile,-1.4471830326884847,5e-05,-6.734571772958587,-6.7262600399838846,-6.739669504311519,-1.25e-05,0.05296546546546541,0.23990402807546768,1.0,1.0,0.0,0.8409420744362703,,Profile-consistent bundle candidate
0.4,900,boundary_v2_regime_sequence,0.9047339283822543,5e-05,-7.411037748359588,-7.4019470945541,-7.411662101199985,-1.25e-05,-0.09697197197197192,0.28732278138528133,1.0,1.0,0.0,0.8052943420763532,,Entropy-only / pseudo-risk
0.4,900,center_of_mass,-0.10647973070624664,5e-05,-3.7430051777680404,-3.7381920162367543,-3.7433046944450483,-1.25e-05,0.026639139139139106,0.28021096282041064,1.0,0.7073430319931784,0.14632848400341075,0.8154034033280135,,Profile-consistent bundle candidate
0.4,900,identity_like_diagnostic,0.0005503756753690198,5e-05,0.9825900612306933,0.9819217501749545,0.9779935816589388,-1.25e-05,0.0,0.9995364594265942,0.601610179430289,0.3718028611223041,0.5132934797237034,0.5977800855900421,HIGH_SINGLETON_FRACTION,Inconclusive
0.4,900,joint_basin,-1.864013719171727,5e-05,-6.148273304141766,-6.140648666369453,-6.1521289741676215,-1.25e-05,0.12434934934934931,0.3167915663211587,1.0,1.0,0.0,0.8649090185193595,,Profile-consistent bundle candidate
0.4,900,random_kappa_matched,0.0579575678488415,5e-05,-1.4955523907911838,-1.4933367787451517,-1.5005946621948787,-1.25e-05,-0.0023523523523523476,0.1576404772591521,0.8008001764240804,0.4948976077773196,0.35215110789929993,0.6727670016244485,,Entropy-only / pseudo-risk
0.4,900,relative_distance,0.25625637268976087,5e-05,-0.6467837420975318,-0.6455560605021258,-0.649643665111919,-1.25e-05,-0.00238988988988988,0.5470192913039184,0.719238354816505,0.4445033047555372,0.4181291702139789,0.6476246633950173,,Entropy-only / pseudo-risk
0.4,1500,all_one_diagnostic,-1.8241478547810015e-05,5e-05,-11.595010615391299,-11.580921806040136,-11.600245804684175,-1.25e-05,0.0,0.0,1.0,1.0,0.0,0.8876450174709387,,Stabilizing coupling
0.4,1500,basin_transition_profile,-2.2241384374659976,5e-05,-8.621459364126334,-8.610828617467197,-8.625933303560712,-1.25e-05,0.12786536536536536,0.23184277665321518,1.0,1.0,0.0,0.8409420744362703,,Profile-consistent bundle candidate
