alpha,T,kappa,seed,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,900,center_of_mass,0,6.051963507583531,3.6175823983484174,1.0,0.6880181412329568,0.15599092938352155
0.4,900,relative_distance,0,6.051963507583531,3.6175823983484174,0.7300423582627589,0.4363853783967441,0.4167861316702486
0.4,900,joint_basin,0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,900,basin_transition_profile,0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,900,random_kappa_matched,0,6.051963507583531,3.6175823983484174,0.8093654256197356,0.48380101993093816,0.35341677722466314
0.4,900,identity_like_diagnostic,0,6.051963507583531,3.6175823983484174,0.6074502337815644,0.3631055063116617,0.514722129953387
0.4,900,all_one_diagnostic,0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,1500,center_of_mass,0,7.930339779094026,4.893779676601966,1.0,0.7095353212507011,0.14523233937464952
0.4,1500,relative_distance,0,7.930339779094026,4.893779676601966,0.8209173903986634,0.506584705474127,0.3362489520636047
0.4,1500,joint_basin,0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
0.4,1500,basin_transition_profile,0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
0.4,1500,random_kappa_matched,0,7.930339779094026,4.893779676601966,1.0,0.6325697236121715,0.18371513819391427
0.4,1500,identity_like_diagnostic,0,7.930339779094026,4.893779676601966,0.7959874091675387,0.4912005177992726,0.3564060365165943
0.4,1500,all_one_diagnostic,0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
0.4,2400,center_of_mass,0,9.510955857213627,6.394296690517214,1.0,0.7403365824838551,0.12983170875807248
0.4,2400,relative_distance,0,9.510955857213627,6.394296690517214,0.9559837265660442,0.6427160078062245,0.20065013281386568
0.4,2400,joint_basin,0,9.510955857213627,6.394296690517214,1.0,0.9271857022743519,0.036407148862824035
0.4,2400,basin_transition_profile,0,9.510955857213627,6.394296690517214,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,0,9.510955857213627,6.394296690517214,1.0,1.0,0.0
0.4,2400,random_kappa_matched,0,9.510955857213627,6.394296690517214,1.0,0.8216338516864751,0.08918307415676252
0.4,2400,identity_like_diagnostic,0,9.510955857213627,6.394296690517214,0.954637672833128,0.6418110444083429,0.20177564137926463
0.4,2400,all_one_diagnostic,0,9.510955857213627,6.394296690517214,1.0,1.0,0.0
0.4,3600,center_of_mass,0,9.928827869064714,7.701701049406973,1.0,0.7992652130692053,0.10036739346539736
0.4,3600,relative_distance,0,9.928827869064714,7.701701049406973,0.9967809983016445,0.773193911898471,0.11501254489994228
0.4,3600,joint_basin,0,9.928827869064714,7.701701049406973,1.0,0.9569524646615032,0.02152376766924835
