alpha,T,kappa,seed,p_viable_shuffled,H_cond_shuffled,H_weighted_shuffled,H_recovery_shuffled,R_bits_shuffled,macro_classes_shuffled,singleton_fraction_shuffled
0.4,900,center_of_mass,0,1.0,5.162279619695928,5.162279619695928,5.161675369891468,4.803504664966158,88.0,0.2840909090909091
0.4,900,relative_distance,0,1.0,8.669098360805027,8.669098360805027,8.668986405960407,1.2966859238570616,518.0,0.5714285714285714
0.4,900,joint_basin,0,1.0,0.9879101435238989,0.9879101435238989,0.9880122603509324,8.977874141138189,10.0,0.4
0.4,900,basin_transition_profile,0,1.0,0.8009570435828732,0.8009570435828732,0.8010332941862027,9.164827241079214,7.0,0.2857142857142857
0.4,900,boundary_v2_regime_sequence,0,1.0,2.480238109860334,2.480238109860334,2.479639905955248,7.485546174801753,19.0,0.10526315789473684
0.4,900,random_kappa_matched,0,1.0,7.545464225729228,7.545464225729228,7.5451968085151275,2.420320058932858,237.0,0.16033755274261605
0.4,900,identity_like_diagnostic,0,1.0,9.965784284662087,9.965784284662087,9.965777212646106,0.0,1000.0,1.0
0.4,900,all_one_diagnostic,0,1.0,-0.0,-0.0,-0.0,9.965784284662087,1.0,0.0
0.4,1500,center_of_mass,0,1.0,6.570831278776719,6.570831278776719,6.570831278776719,3.394953005885367,233.0,0.47639484978540775
0.4,1500,relative_distance,0,1.0,9.787254959649108,9.787254959649108,9.787254959649108,0.17852932501298083,916.0,0.9213973799126638
0.4,1500,joint_basin,0,1.0,1.0400825707001902,1.0400825707001902,1.0400825707001902,8.925701713961898,12.0,0.3333333333333333
0.4,1500,basin_transition_profile,0,1.0,0.7374219914368089,0.7374219914368089,0.7374219914368089,9.228362293225281,6.0,0.0
0.4,1500,boundary_v2_regime_sequence,0,1.0,3.459054071025771,3.459054071025771,3.459054071025771,6.506730213636317,55.0,0.21818181818181817
0.4,1500,random_kappa_matched,0,1.0,7.723648171139386,7.723648171139386,7.723648171139386,2.2421361135227014,245.0,0.14285714285714285
0.4,1500,identity_like_diagnostic,0,1.0,9.965784284662087,9.965784284662087,9.965784284662087,0.0,1000.0,1.0
0.4,1500,all_one_diagnostic,0,1.0,-0.0,-0.0,-0.0,9.965784284662087,1.0,0.0
0.4,2400,center_of_mass,0,1.0,8.116546966953518,8.116546966953518,8.116546966953518,1.8492373177085688,501.0,0.7245508982035929
0.4,2400,relative_distance,0,1.0,9.959784284662089,9.959784284662089,9.959784284662089,0.006,997.0,0.9969909729187563
0.4,2400,joint_basin,0,1.0,1.060439387573405,1.060439387573405,1.060439387573405,8.905344897088682,15.0,0.4
0.4,2400,basin_transition_profile,0,1.0,0.6955825597809652,0.6955825597809652,0.6955825597809652,9.270201724881122,5.0,0.0
0.4,2400,boundary_v2_regime_sequence,0,1.0,4.874567397550852,4.874567397550852,4.874567397550852,5.091216887111235,156.0,0.4551282051282051
0.4,2400,random_kappa_matched,0,1.0,7.7389158318285896,7.7389158318285896,7.7389158318285896,2.2268684528334974,242.0,0.06198347107438017
0.4,2400,identity_like_diagnostic,0,1.0,9.965784284662087,9.965784284662087,9.965784284662087,0.0,1000.0,1.0
