alpha,T,kappa,seed,p_viable_AB,p_viable_independent,p_viable_shuffled,H_cond_AB,H_cond_independent,H_cond_shuffled,H_weighted_AB,H_weighted_independent,H_weighted_shuffled,H_recovery_AB,H_recovery_independent,H_recovery_shuffled,Delta_R,Delta_p_viable_product,Delta_H_cond_product,Delta_H_weighted_product,Delta_H_recovery_product,Delta_p_viable_shuffled,Delta_H_cond_shuffled,Delta_H_weighted_shuffled,Delta_H_recovery_shuffled,strict_certified_mass_advantage,certified_transport_density_advantage,singleton_fraction,overfragmented_flag,heldout_stability,status_label_old_style,estimator_warning,estimator_mode
0.4,900,center_of_mass,0,0.998,0.997,1.0,5.257975308420736,5.232298483895064,5.162279619695928,5.247459357803895,5.216601588443378,5.162279619695928,5.267028316641562,5.248820527790465,5.161675369891468,-0.09858396804963476,0.0010000000000000009,-3.795341970449499,-3.7786979692297296,-3.8017460534434653,-0.0020000000000000018,0.09569568872480794,0.08517973810796686,0.10535294675009332,-0.0020000000000000018,0.02102102102102099,0.25806451612903225,False,0.8076152304609219,weak_transport_or_mass,,vectorized_seed_block
0.4,900,relative_distance,0,0.998,0.997,1.0,8.289879948863586,8.635808977281926,8.669098360805027,8.273300188965859,8.609901550350079,8.669098360805027,8.296114260301358,8.644120489697166,8.668986405960407,0.37633013261661263,0.0010000000000000009,-0.7634373300066493,-0.7528571380677658,-0.7726601097836685,-0.0020000000000000018,-0.3792184119414408,-0.3957981718391679,-0.37287214565904847,-0.0020000000000000018,-0.007007007007007071,0.5532407407407407,True,0.4769539078156313,richness_only,,vectorized_seed_block
0.4,900,joint_basin,0,0.998,0.997,1.0,2.8120724755917568,1.0209830809063016,0.9879101435238989,2.806448330640573,1.0179201316635826,0.9879101435238989,2.8192472395188832,1.0186863230173928,0.9880122603509324,-1.8270506113926857,0.0010000000000000009,-6.241244803278478,-6.219708996393051,-6.249527130566143,-0.0020000000000000018,1.824162332067858,1.8185381871166744,1.831234979167951,-0.0020000000000000018,0.12312312312312312,0.4722222222222222,False,0.8577154308617234,weak_transport_or_mass,,vectorized_seed_block
0.4,900,basin_transition_profile,0,0.998,0.997,1.0,2.212784735278909,0.8337510898512784,0.8009570435828732,2.2083591658083512,0.8312498365817246,0.8009570435828732,2.215537838009119,0.8320160279355349,0.8010332941862027,-1.414715971020863,0.0010000000000000009,-6.840532543591326,-6.817798161225273,-6.853236532075908,-0.0020000000000000018,1.4118276916960357,1.407402122225478,1.414504543822916,-0.0020000000000000018,0.05405405405405406,0.2777777777777778,False,0.8957915831663327,weak_transport_or_mass,,vectorized_seed_block
0.4,900,boundary_v2_regime_sequence,0,0.998,0.997,1.0,1.6402570945541517,2.495447762617574,2.480238109860334,1.6369765803650433,2.487961419329721,2.480238109860334,1.6475050938864988,2.514452419534487,2.479639905955248,0.8370927359813543,0.0010000000000000009,-7.413060184316084,-7.389180746668581,-7.421269276198528,-0.0020000000000000018,-0.8399810153061824,-0.8432615294952908,-0.8321348120687491,-0.0020000000000000018,-0.08808808808808809,0.45454545454545453,False,0.9759519038076153,richness_only,,vectorized_seed_block
0.4,900,random_kappa_matched,0,0.998,0.997,1.0,7.477417883213271,7.52272874681945,7.545464225729228,7.462463047446845,7.500160560578991,7.545464225729228,7.477767343778019,7.528014971949476,7.5451968085151275,0.06515806319113082,0.0010000000000000009,-1.5758993956569638,-1.5636942795867794,-1.5910070263070075,-0.0020000000000000018,-0.06804634251595676,-0.08300117828238296,-0.06742946473710809,-0.0020000000000000018,-0.004004004004003914,0.18723404255319148,False,0.6292585170340681,richness_only,,vectorized_seed_block
0.4,900,identity_like_diagnostic,0,0.998,0.997,1.0,9.962896005337258,9.959443676344032,9.965784284662087,9.942970213326584,9.929565345315,9.965784284662087,9.965784284662087,9.963784284662088,9.965777212646106,0.0,0.0010000000000000009,0.9095787264670232,0.9168128862929592,0.89700991457706,-0.0020000000000000018,-0.002888279324828602,-0.022814071335503172,7.072015980824631e-06,-0.0020000000000000018,0.0,1.0,True,3.3306690738754696e-16,null_or_negative,HIGH_SINGLETON_FRACTION,vectorized_seed_block
0.4,900,all_one_diagnostic,0,0.998,0.997,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0028882793248268257,0.0010000000000000009,-9.053317278870235,-9.026157327033625,-9.068774370085027,-0.0020000000000000018,0.0,0.0,0.0,-0.0020000000000000018,0.0,0.0,False,1.0,null_or_negative,,vectorized_seed_block
0.4,1500,center_of_mass,0,0.998,0.997,1.0,6.897161466148971,6.70083722205128,6.570831278776719,6.883367143216673,6.680734710385127,6.570831278776719,6.904181214552173,6.714953649732211,6.570831278776719,-0.329218466697077,0.0010000000000000009,-4.755997782396369,-4.734832627583031,-4.762279393097469,-0.0020000000000000018,0.3263301873722515,0.31253586443995385,0.3333499357754537,-0.0020000000000000018,0.05005005005005003,0.48031496062992124,False,0.657314629258517,weak_transport_or_mass,,vectorized_seed_block
0.4,1500,relative_distance,0,0.998,0.997,1.0,9.660338387085213,9.740709273099682,9.787254959649108,9.641017710311043,9.711487145280383,9.787254959649108,9.663831781646545,9.745706084627471,9.787254959649108,0.12402829323906597,0.0010000000000000009,-1.9928208614601264,-1.9771820604886603,-2.0026288260030967,-0.0020000000000000018,-0.12691657256389455,-0.14623724933806415,-0.12342317800256275,-0.0020000000000000018,0.0,0.8780487804878049,True,0.12825651302605234,pseudo_risk_fragmented,HIGH_SINGLETON_FRACTION,vectorized_seed_block
0.4,1500,joint_basin,0,0.998,0.997,1.0,4.712791531183202,1.0946709228277514,1.0400825707001902,4.703365948120835,1.0913869100592681,1.0400825707001902,4.719034772428611,1.0921531014130783,1.0400825707001902,-3.6755972398078383,0.0010000000000000009,-6.940367717362138,-6.914833822678869,-6.947425835221031,-0.0020000000000000018,3.6727089604830114,3.663283377420645,3.6789522017284204,-0.0020000000000000018,0.4654654654654654,0.48623853211009177,False,0.7915831663326653,weak_transport_or_mass,,vectorized_seed_block
0.4,1500,basin_transition_profile,0,0.998,0.997,1.0,2.9234461712147075,0.7810286471213543,0.7374219914368089,2.917599278872278,0.7786855611799902,0.7374219914368089,2.923290102870871,0.7794517525338006,0.7374219914368089,-2.1889124591027285,0.0010000000000000009,-8.729713077330633,-8.700600491927425,-8.743170504778771,-0.0020000000000000018,2.1860241797778985,2.1801772874354692,2.185868111434062,-0.0020000000000000018,0.12912912912912913,0.35714285714285715,False,0.905811623246493,weak_transport_or_mass,,vectorized_seed_block
0.4,1500,boundary_v2_regime_sequence,0,0.998,0.997,1.0,1.6402570945541517,3.5324420239045957,3.459054071025771,1.6369765803650433,3.521844697832882,3.459054071025771,1.6475050938864988,3.548335698037648,3.459054071025771,1.8159086971467904,0.0010000000000000009,-10.012902153991188,-9.98122319043466,-10.018955513763142,-0.0020000000000000018,-1.8187969764716194,-1.8220774906607278,-1.8115489771392723,-0.0020000000000000018,-0.25625625625625625,0.45454545454545453,False,0.9759519038076153,richness_only,,vectorized_seed_block
0.4,1500,random_kappa_matched,0,0.998,0.997,1.0,7.7363482536864865,7.7219778210900145,7.723648171139386,7.720875557179114,7.698811887626745,7.723648171139386,7.736179853510289,7.723911411495066,7.723648171139386,-0.01558836187192858,0.0010000000000000009,-3.916810994858853,-3.89732421362059,-3.9302807541393525,-0.0020000000000000018,0.012700082547100422,-0.0027726139602721744,0.012531682370902963,-0.0020000000000000018,0.0,0.0625,False,0.6472945891783567,null_or_negative,,vectorized_seed_block
0.4,1500,identity_like_diagnostic,0,0.998,0.997,1.0,9.962896005337258,9.961449694398194,9.965784284662087,9.942970213326584,9.931565345314999,9.965784284662087,9.965784284662087,9.965784284662087,9.965784284662087,0.0,0.0010000000000000009,-1.690263243208081,-1.67522955747312,-1.7006763229875546,-0.0020000000000000018,-0.002888279324828602,-0.022814071335503172,0.0,-0.0020000000000000018,0.0,1.0,True,3.3306690738754696e-16,null_or_negative,HIGH_SINGLETON_FRACTION,vectorized_seed_block
0.4,1500,all_one_diagnostic,0,0.998,0.997,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0028882793248268257,0.0010000000000000009,-11.65315924854534,-11.618199770799704,-11.666460607649642,-0.0020000000000000018,0.0,0.0,0.0,-0.0020000000000000018,0.0,0.0,False,1.0,null_or_negative,,vectorized_seed_block
0.4,2400,center_of_mass,0,0.998,0.997,1.0,8.637013004360968,8.162883801186958,8.116546966953518,8.619738978352245,8.138395149783397,8.116546966953518,8.64055304968775,8.17261408913048,8.116546966953518,-0.5233543167322785,0.0010000000000000009,-5.937139479425229,-5.910691047982592,-5.942940868575448,-0.0020000000000000018,0.5204660374074503,0.5031920113987276,0.5240060827342319,-0.0020000000000000018,0.011011011011010985,0.7413793103448276,True,0.35070140280561124,weak_transport_or_mass,HIGH_SINGLETON_FRACTION,vectorized_seed_block
0.4,2400,relative_distance,0,0.998,0.997,1.0,9.948867949225034,9.94941358607322,9.959784284662089,9.928970213326584,9.919565345315,9.959784284662089,9.951784284662088,9.953784284662088,9.959784284662089,0.008028056112224447,0.0010000000000000009,-4.625284534561162,-4.601459813008253,-4.63170963360111,-0.0020000000000000018,-0.010916335437054059,-0.030814071335504067,-0.008000000000000895,-0.0020000000000000018,0.0,0.992936427850656,True,0.010020040080160664,pseudo_risk_fragmented,HIGH_SINGLETON_FRACTION,vectorized_seed_block
0.4,2400,joint_basin,0,0.998,0.997,1.0,6.896457392334937,1.1051927131945245,1.060439387573405,6.882664477550267,1.101877135054941,1.060439387573405,6.903478548885769,1.1026433264087514,1.060439387573405,-5.838906284086358,0.0010000000000000009,-7.67769509145126,-7.64776554878457,-7.680015369377429,-0.0020000000000000018,5.836018004761532,5.822225089976862,5.843039161312364,-0.0020000000000000018,0.8278278278278278,0.7183098591549296,True,0.5551102204408818,weak_transport_or_mass,HIGH_SINGLETON_FRACTION,vectorized_seed_block
0.4,2400,basin_transition_profile,0,0.998,0.997,1.0,3.4435249115263318,0.7322934321413452,0.6955825597809652,3.436637861703279,0.7300965518449212,0.6955825597809652,3.4453824208189827,0.7308627431987316,0.6955825597809652,-2.750830631070195,0.0010000000000000009,-11.130627572259865,-11.093792164631559,-11.138111497444214,-0.0020000000000000018,2.7479423517453667,2.741055301922314,2.7497998610380177,-0.0020000000000000018,0.22922922922922923,0.20512820512820512,False,0.8597194388777555,weak_transport_or_mass,,vectorized_seed_block
0.4,2400,boundary_v2_regime_sequence,0,0.998,0.997,1.0,1.6402570945541515,4.971936092137873,4.874567397550852,1.6369765803650431,4.957020283861459,4.874567397550852,1.6475050938864988,4.983938833183223,4.874567397550852,3.231422023671872,0.0010000000000000009,-12.933895389232045,-12.893453445969794,-12.935988824376699,-0.0020000000000000018,-3.2343103029967004,-3.2375908171858088,-3.227062303664353,-0.0020000000000000018,-0.5105105105105106,0.45454545454545453,False,0.9759519038076153,richness_only,,vectorized_seed_block
