alpha,T,kappa,seed,mean_fiber_size,median_fiber_size,fiber_entropy_mean,fiber_entropy_weighted,singleton_fraction,viable_fiber_fraction,fiber_viability_mixing,fiber_recoverability_mixing,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,900,center_of_mass,0,10.638297872340425,3.0,5.267028316641562,4.698755968020526,0.26595744680851063,0.9893617021276596,0.010638297872340425,0.0,6.051963507583531,3.6175823983484174,1.0,0.6880181412329568,0.15599092938352155
0.4,900,relative_distance,0,2.304147465437788,1.0,8.296114260301358,1.6696700243607272,0.5552995391705069,0.9953917050691244,0.0,0.0,6.051963507583531,3.6175823983484174,0.7300423582627589,0.4363853783967441,0.4167861316702486
0.4,900,joint_basin,0,27.77777777777778,2.0,2.8192472395188832,7.146537045143202,0.4722222222222222,1.0,0.027777777777777776,0.0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,900,basin_transition_profile,0,55.55555555555556,3.5,2.215537838009119,7.750246446652968,0.2777777777777778,1.0,0.0,0.0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,0,90.9090909090909,2.0,1.6475050938864988,8.31827919077559,0.45454545454545453,1.0,0.09090909090909091,0.0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,900,random_kappa_matched,0,4.25531914893617,3.0,7.477767343778019,2.4880169408840676,0.18723404255319148,1.0,0.00851063829787234,0.0,6.051963507583531,3.6175823983484174,0.8093654256197356,0.48380101993093816,0.35341677722466314
0.4,900,identity_like_diagnostic,0,1.0,1.0,9.965784284662087,0.0,1.0,0.998,0.0,0.0,6.051963507583531,3.6175823983484174,0.6074502337815644,0.3631055063116617,0.514722129953387
0.4,900,all_one_diagnostic,0,1000.0,1000.0,-0.0,9.965784284662087,0.0,1.0,0.0,0.0,6.051963507583531,3.6175823983484174,1.0,1.0,0.0
0.4,1500,center_of_mass,0,3.9215686274509802,2.0,6.904181214552173,3.0616030701099137,0.47843137254901963,0.996078431372549,0.00392156862745098,0.0,7.930339779094026,4.893779676601966,1.0,0.7095353212507011,0.14523233937464952
0.4,1500,relative_distance,0,1.1587485515643106,1.0,9.663831781646545,0.3019525030155427,0.8783314020857474,0.9976825028968713,0.0,0.0,7.930339779094026,4.893779676601966,0.8209173903986634,0.506584705474127,0.3362489520636047
0.4,1500,joint_basin,0,9.174311926605505,2.0,4.719034772428611,5.246749512233477,0.48623853211009177,1.0,0.01834862385321101,0.0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
0.4,1500,basin_transition_profile,0,35.714285714285715,4.5,2.923290102870871,7.042494181791217,0.35714285714285715,1.0,0.0,0.0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,0,90.9090909090909,2.0,1.6475050938864988,8.31827919077559,0.45454545454545453,1.0,0.09090909090909091,0.0,7.930339779094026,4.893779676601966,1.0,1.0,0.0
