alpha,kappa,Delta_R_early_to_late_delta,Delta_R_sign_changes,Delta_p_viable_product_early_to_late_delta,Delta_p_viable_product_sign_changes,Delta_H_cond_product_early_to_late_delta,Delta_H_cond_product_sign_changes,Delta_H_weighted_product_early_to_late_delta,Delta_H_weighted_product_sign_changes,Delta_H_recovery_product_early_to_late_delta,Delta_H_recovery_product_sign_changes,horizon_stability_score
0.4,all_one_diagnostic,0.0,0,0.0,0,-7.965227151200324,0,-7.955571046437061,0,-7.961590924851867,0,0.8876450174709387
0.4,basin_transition_profile,-1.4936558514402924,0,0.0,0,-6.564135073827293,0,-6.55611185982554,0,-6.560978818290464,0,0.8409420744362703
0.4,boundary_v2_regime_sequence,3.9261424765666946,0,0.0,0,-7.961827841587798,0,-7.9521751992935,0,-7.958195077708311,0,0.8052943420763532
0.4,center_of_mass,-0.40284915536546395,0,0.0,0,-3.55962717940384,0,-3.5550816720316054,0,-3.5599420407541373,0,0.8154034033280135
0.4,identity_like_diagnostic,-0.0005503756753690198,0,0.0,0,-7.964301148843905,1,-7.95464604643706,1,-7.960665924851869,1,0.5977800855900421
0.4,joint_basin,-5.003295395108273,0,0.0,0,-2.8783623856485843,0,-2.8746334773034565,0,-2.8737955400155597,0,0.8649090185193595
0.4,random_kappa_matched,-0.06237164910266898,3,0.0,0,-7.6701627362109726,0,-7.660853086238644,0,-7.66743942101554,0,0.6727670016244485
0.4,relative_distance,-0.25633159816588874,1,0.0,0,-6.335052445665929,0,-6.327293235759979,0,-6.333153678081012,0,0.6476246633950173
0.45,all_one_diagnostic,0.0,0,0.0,0,-7.965227151200324,0,-7.955571046437061,0,-7.961590924851867,0,0.8876450174709387
0.45,basin_transition_profile,-1.1910054952941502,0,0.0,0,-6.866785429973434,0,-6.8583797977300485,0,-6.8632082628667614,0,0.8429808383503825
0.45,boundary_v2_regime_sequence,3.924228241409014,0,0.0,0,-7.95991360643012,0,-7.9502626827964935,0,-7.956282561211304,0,0.8080806436260008
0.45,center_of_mass,-0.4039666924316122,0,0.0,0,-3.558509642337691,0,-3.553865605798466,0,-3.558872812973988,0,0.8158440268898332
0.45,identity_like_diagnostic,-0.00024999979833984247,0,0.0,0,-7.964601524720935,1,-7.954946046437059,1,-7.96096592485187,1,0.5977763858093146
0.45,joint_basin,-4.384941272424537,0,0.0,0,-3.4967165083323177,0,-3.4921461622633263,0,-3.4913629765937078,0,0.8537864328999178
0.45,random_kappa_matched,-0.06743906950951292,1,0.0,0,-7.6650953158041295,0,-7.655775493118265,0,-7.6627427569347475,0,0.6707991388365242
0.45,relative_distance,-0.2898888478993036,1,0.0,0,-6.301495195932516,0,-6.293731473200896,0,-6.299676351615707,0,0.6492513979446435
0.5,all_one_diagnostic,0.0,0,0.0,0,-7.965227151200324,0,-7.955571046437061,0,-7.961590924851867,0,0.8876450174709387
0.5,basin_transition_profile,-0.9799789877082477,0,0.0,0,-7.077811937559335,0,-7.069220876779765,0,-7.07359203522763,0,0.8445847315987048
0.5,boundary_v2_regime_sequence,3.921774191805595,0,0.0,0,-7.9574595568267,0,-7.947812294899091,0,-7.953831271253426,0,0.8105566037876564
0.5,center_of_mass,-0.4054579519089383,0,0.0,0,-3.557018382860366,0,-3.55266081342935,0,-3.557645278249951,0,0.8170221545076807
0.5,identity_like_diagnostic,-0.00012492452190763454,0,0.0,0,-7.964726599997367,1,-7.95507104643706,1,-7.961090924851869,1,0.597782017336639
0.5,joint_basin,-3.937258179464882,0,0.0,0,-3.9443996012919715,0,-3.9395703531703132,0,-3.938231557899896,0,0.8461816421773067
0.5,random_kappa_matched,-0.06970951188726349,3,0.0,0,-7.662824873426378,0,-7.653530651974993,0,-7.660333229453576,0,0.6729077011362528
0.5,relative_distance,-0.3236748332054606,0,0.0,0,-6.267709210626358,0,-6.260111081691656,0,-6.266046524012689,0,0.6513501680644614
