alpha,kappa,Delta_R_early_to_late_delta,Delta_R_sign_changes,Delta_p_viable_product_early_to_late_delta,Delta_p_viable_product_sign_changes,Delta_H_cond_product_early_to_late_delta,Delta_H_cond_product_sign_changes,Delta_H_weighted_product_early_to_late_delta,Delta_H_weighted_product_sign_changes,Delta_H_recovery_product_early_to_late_delta,Delta_H_recovery_product_sign_changes,horizon_stability_score
0.525,all_one_diagnostic,0.0,0,0.0,0,-7.965227151200324,0,-7.955571046437061,0,-7.961590924851867,0,0.8876450174709387
0.525,basin_transition_profile,-0.8830176107491736,0,0.0,0,-7.17477331451841,0,-7.165894922510596,0,-7.1703147104515725,0,0.8453829107517681
0.525,boundary_v2_regime_sequence,3.9167935005311745,0,0.0,0,-7.952478865552279,0,-7.942835452721156,0,-7.948855331135967,0,0.8115054037195145
0.525,center_of_mass,-0.4093325104310083,0,0.0,0,-3.553143824338296,0,-3.5477859793652797,0,-3.5528160534420277,0,0.8179481614352907
0.525,identity_like_diagnostic,-0.000175125174216115,0,0.0,0,-7.964676399345057,1,-7.955021046437059,1,-7.961040924851869,1,0.5977615356373887
0.525,joint_basin,-3.790494380409179,0,0.0,0,-4.091163400347677,0,-4.0852808093993085,0,-4.08493185562209,0,0.8435916613530992
0.525,random_kappa_matched,-0.07982667933754971,3,0.0,0,-7.652707705976093,0,-7.6433495631977095,0,-7.65027341257106,0,0.6715673528178252
0.525,relative_distance,-0.3361903041455116,1,0.0,0,-6.255193739686307,0,-6.247198193285484,0,-6.253168071700293,0,0.6524163974783938
0.55,all_one_diagnostic,0.0,0,0.0,0,-7.965227151200324,0,-7.955571046437061,0,-7.961590924851867,0,0.8876450174709387
0.55,basin_transition_profile,-0.8104016760885693,0,0.0,0,-7.247389249179013,0,-7.238506783909426,0,-7.242984497648271,0,0.8461213291745928
0.55,boundary_v2_regime_sequence,3.9171342999181555,0,0.0,0,-7.95281966493926,0,-7.943177615745115,0,-7.949197494159927,0,0.8125633535377019
0.55,center_of_mass,-0.4084971620543121,0,0.0,0,-3.5539791727149916,0,-3.5490053114934983,0,-3.554263620253075,0,0.8178912675150294
0.55,identity_like_diagnostic,-0.00017484944698346368,0,0.0,0,-7.9646766750722895,1,-7.95502104643706,1,-7.961040924851869,1,0.5977694566027727
0.55,joint_basin,-3.6704960665773334,0,0.0,0,-4.2111617141795215,0,-4.205500227151896,0,-4.204704860017439,0,0.8417432331990155
0.55,random_kappa_matched,-0.07568433364674096,3,0.0,0,-7.656850051666902,0,-7.647521402102091,0,-7.6542365558556575,0,0.6725309903938255
0.55,relative_distance,-0.3550244528387629,0,0.0,0,-6.236359590993057,0,-6.22853894323449,0,-6.2344838216493,0,0.6522758522887717
0.6,all_one_diagnostic,0.0,0,0.0,0,-7.965227151200324,0,-7.955571046437061,0,-7.961590924851867,0,0.8876450174709387
0.6,basin_transition_profile,-0.7407972900811055,0,0.0,0,-7.3169936351864795,0,-7.307995462484046,0,-7.312750857056558,0,0.8470344227672104
0.6,boundary_v2_regime_sequence,3.9113120607497684,0,0.0,0,-7.946997425770872,0,-7.9373583984107565,0,-7.943378276825568,0,0.8138629177345506
0.6,center_of_mass,-0.422194689856493,0,0.0,0,-3.540281644912811,0,-3.535163977435805,0,-3.5399839376898137,0,0.817593069277842
0.6,identity_like_diagnostic,-0.00014972381975121674,0,0.0,0,-7.964701800699522,1,-7.95504604643706,1,-7.961065924851869,1,0.5977660869496868
0.6,joint_basin,-3.5653623313488527,0,0.0,0,-4.316295449408003,0,-4.31037102021998,0,-4.309549174714896,0,0.8399627361871236
0.6,random_kappa_matched,-0.0861681110061795,1,0.0,0,-7.646366274307462,0,-7.6370338579539485,0,-7.643532318094911,0,0.6715982193306916
0.6,relative_distance,-0.3750961205026409,0,0.0,0,-6.216287923329178,0,-6.2084318999054195,0,-6.21442677832023,0,0.6536166938090876
