alpha,T,kappa,seed,p_viable_product,H_cond_product,H_weighted_product,H_recovery_product,component_estimator_note
0.4,900,center_of_mass,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,relative_distance,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,joint_basin,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,basin_transition_profile,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,boundary_v2_regime_sequence,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,random_kappa_matched,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,identity_like_diagnostic,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,900,all_one_diagnostic,0,0.997,9.053317278870235,9.026157327033625,9.068774370085027,H_A+H_B from basin/geometric component projections
0.4,1500,center_of_mass,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
0.4,1500,relative_distance,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
0.4,1500,joint_basin,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
0.4,1500,basin_transition_profile,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
0.4,1500,boundary_v2_regime_sequence,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
0.4,1500,random_kappa_matched,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
0.4,1500,identity_like_diagnostic,0,0.997,11.65315924854534,11.618199770799704,11.666460607649642,H_A+H_B from basin/geometric component projections
