witness_id,carrier_id,channel_id,declared_source_distinction_id,declared_target_observation_id,declared_contract,exact_declared_recovery,ambiguous_target_observations,observation_to_source_labels,recovery_status
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,D_d,O_d,target first bit must recover source first bit over support,1,,0->{0};1->{1},declared_recovery_pass
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,D_d,O_d,target first bit must recover source first bit over support,0,"0->{0,1};1->{0,1}","0->{0,1};1->{0,1}",declared_recovery_fail
