witness_id,carrier_id,channel_id,state_count,source_count,edge_count,global_target_support_size,global_target_support,per_source_reachable_count_signature,min_per_source_reachable_count,max_per_source_reachable_count,per_source_entropy_bits_signature,min_per_source_entropy_bits,max_per_source_entropy_bits
same_reachability_different_recovery_v0,X2_dn,preserve_d_scramble_n,4,4,8,4,00;01;10;11,00:2;01:2;10:2;11:2,2,2,00:1.000000;01:1.000000;10:1.000000;11:1.000000,1.000000,1.000000
same_reachability_different_recovery_v0,X2_dn,erase_d_preserve_n,4,4,8,4,00;01;10;11,00:2;01:2;10:2;11:2,2,2,00:1.000000;01:1.000000;10:1.000000;11:1.000000,1.000000,1.000000
