condition_id,mechanism_condition,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,syndrome_id,probe_key,flow_mode,syndrome_rate,complete_unit_count,component_marginal_rates_json
,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.03571428571428571, ""transition_entropy_high"": 0.044642857142857144, ""turnover_high"": 0.16964285714285715}"
,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.017857142857142856,112,"{""bottleneck_high"": 0.1875, ""growth_low"": 0.09821428571428571, ""offdiag_low"": 0.36607142857142855}"
,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,96,"{""offdiag_high"": 0.052083333333333336, ""turnover_high"": 0.19791666666666666, ""window_delta_high"": 0.11458333333333333}"
,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.017857142857142856,112,"{""concentration_high"": 0.19642857142857142, ""growth_low"": 0.09821428571428571, ""transition_entropy_low"": 0.24107142857142858}"
,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,112,"{""bottleneck_low"": 0.044642857142857144, ""transition_entropy_high"": 0.03571428571428571, ""turnover_high"": 0.16964285714285715}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,0.026785714285714284,112,"{""bottleneck_high"": 0.15178571428571427, ""growth_low"": 0.08035714285714286, ""offdiag_low"": 0.5089285714285714}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,0.010416666666666666,96,"{""offdiag_high"": 0.4895833333333333, ""turnover_high"": 0.23958333333333334, ""window_delta_high"": 0.041666666666666664}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,0.026785714285714284,112,"{""concentration_high"": 0.13392857142857142, ""growth_low"": 0.08035714285714286, ""transition_entropy_low"": 0.19642857142857142}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,0.008928571428571428,112,"{""bottleneck_low"": 0.375, ""transition_entropy_high"": 0.3392857142857143, ""turnover_high"": 0.20535714285714285}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,0.0,112,"{""bottleneck_high"": 0.15178571428571427, ""growth_low"": 0.05357142857142857, ""offdiag_low"": 0.5089285714285714}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,0.010416666666666666,96,"{""offdiag_high"": 0.4895833333333333, ""turnover_high"": 0.22916666666666666, ""window_delta_high"": 0.0625}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,0.008928571428571428,112,"{""concentration_high"": 0.14285714285714285, ""growth_low"": 0.05357142857142857, ""transition_entropy_low"": 0.19642857142857142}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,0.008928571428571428,112,"{""bottleneck_low"": 0.38392857142857145, ""transition_entropy_high"": 0.3482142857142857, ""turnover_high"": 0.19642857142857142}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_high"": 0.16071428571428573, ""growth_low"": 0.08035714285714286, ""offdiag_low"": 0.5714285714285714}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,96,"{""offdiag_high"": 0.03125, ""turnover_high"": 0.10416666666666667, ""window_delta_high"": 0.041666666666666664}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_C_low_growth_high_concentration_low_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.017857142857142856,112,"{""concentration_high"": 0.21428571428571427, ""growth_low"": 0.08035714285714286, ""transition_entropy_low"": 0.25892857142857145}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,112,"{""bottleneck_low"": 0.026785714285714284, ""transition_entropy_high"": 0.24107142857142858, ""turnover_high"": 0.08928571428571429}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.008928571428571428,112,"{""bottleneck_high"": 0.17857142857142858, ""growth_low"": 0.05357142857142857, ""offdiag_low"": 0.5714285714285714}"
,mechanism_control,constraint_resampled_generation_control,0.05,medium,SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,96,"{""offdiag_high"": 0.03125, ""turnover_high"": 0.10416666666666667, ""window_delta_high"": 0.0625}"
