space,rule_id,asymmetry_load_bearing_adjusted,reclassification
q3_radius1,q3r1_s1_0002,0.16860487783809677,control_adjusted_positive
q3_radius1,q3r1_s2_0046,0.16943902925954077,emission_only
q3_radius1,q3r1_s3_0020,0.14248632103270137,generic_persistence
q3_radius1,q3r1_s3_0047,0.08401100555449421,generic_persistence
q3_radius1,q3r1_s4_0014,0.0667148695683811,generic_persistence
q3_radius1,q3r1_s5_0012,0.010369609450061906,output_distribution_fakeout
q3_radius1,q3r1_s5_0016,0.12528585121258418,emission_only
q3_radius1,q3r1_s7_0000,0.0002269771132033284,output_distribution_fakeout
q3_radius1,q3r1_s7_0001,-5.701257271212192e-06,symmetric_fakeout
q3_radius1,q3r1_s7_0002,0.0006458029301557311,symmetric_fakeout
q3_radius1,q3r1_s7_0003,0.00020337633305137891,output_distribution_fakeout
q3_radius1,q3r1_s7_0004,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0005,-6.770487424134775e-05,symmetric_fakeout
q3_radius1,q3r1_s7_0008,-0.005008188400188407,symmetric_fakeout
q3_radius1,q3r1_s7_0011,0.0034719428688264886,symmetric_fakeout
q3_radius1,q3r1_s7_0012,-0.00029998243479083253,symmetric_fakeout
q3_radius1,q3r1_s7_0013,-0.002816898112849825,symmetric_fakeout
q3_radius1,q3r1_s7_0014,3.881398102709543e-05,output_distribution_fakeout
q3_radius1,q3r1_s7_0016,-0.0002333704011658281,symmetric_fakeout
q3_radius1,q3r1_s7_0017,5.043821753118738e-05,symmetric_fakeout
q3_radius1,q3r1_s7_0018,0.0013939220226487914,symmetric_fakeout
q3_radius1,q3r1_s7_0021,0.0,symmetric_fakeout
q3_radius1,q3r1_s7_0022,3.878938662120468e-05,symmetric_fakeout
q3_radius1,q3r1_s7_0023,-0.001205245800380464,symmetric_fakeout
q3_radius1,q3r1_s7_0024,0.0,symmetric_fakeout
q2_radius2,q2r2_s1_0004,0.08471824544569431,control_adjusted_positive
q2_radius2,q2r2_s1_0043,-0.14474692613815737,symmetric_fakeout
q2_radius2,q2r2_s2_0007,0.2439681631180776,emission_only
q2_radius2,q2r2_s4_0030,0.2893228015189344,emission_only
q2_radius2,q2r2_s7_0002,9.3977857515401e-05,symmetric_fakeout
q2_radius2,q2r2_s7_0005,-0.0021402816004562064,symmetric_fakeout
q2_radius2,q2r2_s7_0006,-0.0009056273308993799,symmetric_fakeout
q2_radius2,q2r2_s7_0007,-0.0007714653579349411,symmetric_fakeout
q2_radius2,q2r2_s7_0009,0.0007518728454193914,generic_persistence
q2_radius2,q2r2_s7_0010,0.0004125229110854469,output_distribution_fakeout
q2_radius2,q2r2_s7_0011,-0.0004251089432317362,symmetric_fakeout
q2_radius2,q2r2_s7_0012,0.00040883275660016927,symmetric_fakeout
q2_radius2,q2r2_s7_0014,0.0008766438923744416,generic_persistence
q2_radius2,q2r2_s7_0016,-0.0011729817402277576,symmetric_fakeout
q2_radius2,q2r2_s7_0017,0.0024844701572337285,output_distribution_fakeout
q2_radius2,q2r2_s7_0019,0.0002882506783997707,symmetric_fakeout
q2_radius2,q2r2_s7_0021,0.0014708054885175584,output_distribution_fakeout
q2_radius2,q2r2_s7_0023,-0.0022342027685810922,symmetric_fakeout
q2_radius2,q2r2_s7_0024,-0.0003490504607301381,symmetric_fakeout
q2_radius2,q2r2_s8_0007,0.0,self_persistence_fakeout
ECA_anchor,ECA_169,0.004739137795376214,control_adjusted_positive
ECA_anchor,ECA_225,0.003640700749670628,output_distribution_fakeout
ECA_anchor,ECA_73,0.0005045911951604282,control_adjusted_positive
ECA_anchor,ECA_109,-0.002126959506311754,control_adjusted_positive
ECA_anchor,ECA_54,0.003478020486354122,control_adjusted_positive
