space,rule_id,parent_rule_id,control_type,stratum,ic_family,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,raw_persistence_score
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_025,0.5000890542192069,0.7955322265625,0.8142375465836533,0.0,0.0,0.0,0.0,1.0,514.90625,516.0,5.0,4.503408108386015,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5000890542192069,0.4999109457807931,3.259572389255412,0.0,1.0,1.0,0.35,0.8142375465836533,0.147918701171875,0.852081298828125,0.09589173792485094,0.12044096033602807,0.0
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_1,0.49999238547758285,0.98828125,0.6516897991258898,0.0,0.0,0.0,0.0,1.0,128.0,128.0,1.0,0.8459635254132069,1.0,1.0,0.25,0.0,0.0,2.0,1.0,0.49999238547758285,0.5000076145224172,2.047999995805696,0.0,1.0,1.0,0.35,0.6516897991258898,0.0078125,0.9921875,0.018827521609010783,0.005091326555671014,0.0
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_2,0.5000076145224172,1.0,0.637352277063966,0.0,0.0,0.0,0.0,1.0,132.0,132.0,1.0,0.8274422596081057,1.0,1.0,0.2578125,0.0,-0.03125,2.0,0.0,0.5000076145224172,0.49999238547758285,0.0,0.0,1.0,1.0,0.35,0.637352277063966,0.0,1.0,0.020729700917186348,0.0,0.0
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,two_cell_active,0.4990557992202729,0.01953125,0.6517150653491256,0.0,0.0,0.0,0.0,0.0,252.0,252.0,2.0,1.032861903279481,1.0,1.0,0.4921875,0.0,0.0,0.0,1.0,0.4990557992202729,0.5009442007797271,2.0813008086763167,0.0,0.0,1.0,0.35,0.6517150653491256,0.01953125,0.98046875,0.40077519379844967,0.012728809870100109,0.0
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,short_random_active_block,0.4996226052326998,0.57037353515625,0.6609741072370534,0.046875,0.046875,0.0,0.0,0.734375,325.6875,516.0,2.0,2.6889250073849396,0.9921875,0.991851806640625,1.0078125,0.008148193359375,-0.0048828125,2.0,0.8515625,0.4996226052326998,0.5003773947673003,1.764888001401945,0.0,0.734375,0.9765625,0.341796875,0.6609741072370534,0.015899658203125,0.984100341796875,0.15437273078322458,0.01050926238618484,0.004482252483757327
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,periodic_background_perturbation,0.49943331296448584,0.0703125,0.6592724721781135,0.1171875,0.1171875,0.0,0.0,0.859375,390.34375,516.0,2.0,2.1364686841229057,0.921875,0.999786376953125,1.0078125,0.00030517578125,-0.003753662109375,2.0,0.8828125,0.49943331296448584,0.5005666870355141,1.9022886221473054,0.0,0.859375,0.9921875,0.34726562499999997,0.6592724721781135,0.015289306640625,0.984710693359375,0.2557183586602297,0.01007981898685409,0.0001740453466623696
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,random_uniform,0.7948576274671053,0.804840087890625,0.9393472137248076,0.0,0.0,0.0,0.0,0.0,516.0,516.0,6.0,4.398062007349767,1.0,1.0,1.0078125,0.0,0.0,0.0,1.0,0.7948576274671053,0.2051423725328947,26.787561691136176,0.0,0.0,1.0,0.35,0.9393472137248076,0.676544189453125,0.323455810546875,0.10902168868506759,0.6355098993245013,0.0
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,sparse_active_010,0.5471948694299769,0.14642333984375,0.7750674063695038,0.0,0.0,0.0,0.0,0.0,119.0625,516.0,3.0,1.3301310737994616,1.0,1.0,1.0078125,0.0,0.0,0.0,1.0,0.5471948694299769,0.45280513057002314,2.482610161145152,0.0,0.0,1.0,0.35,0.7750674063695038,0.1416015625,0.8583984375,0.3173110573651963,0.10975075578474419,0.0
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,sparse_active_025,0.611914145783839,0.344512939453125,0.8739282321764641,0.0,0.0,0.0,0.0,0.0,508.03125,516.0,3.0,2.3560679768866963,1.0,1.0,1.0078125,0.0,0.0,0.0,1.0,0.611914145783839,0.38808585421616104,3.690236183036786,0.0,0.0,1.0,0.35,0.8739282321764641,0.31695556640625,0.68304443359375,0.2722341957638978,0.2769964178279039,0.0
q3_radius1,q3r1_s1_0002_left_neighbor_removed,q3r1_s1_0002,left_neighbor_removed,left_neighbor_removed,single_active_1,0.5029315911306043,0.01171875,0.651695034720604,0.0,0.0,0.0,0.0,0.0,256.0,256.0,3.0,0.065490821314727,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5029315911306043,0.49706840886939574,2.03174602761804,0.0,0.0,1.0,0.35,0.651695034720604,0.01171875,0.98828125,0.338501291989664,0.007637051188132078,0.0
