point_id,T,seed,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess
phase_000,50,0,0.6674174446749654,0.6674174446749654,0.6674174446749654,0.0
phase_000,50,1,0.6664222049151957,0.6664222049151957,0.6664222049151957,0.0
phase_000,50,2,0.6671252575549451,0.6671252575549451,0.6671252575549451,0.0
phase_000,50,3,0.6679651667824877,0.6679651667824877,0.6679651667824877,0.0
phase_000,50,10,0.6672960685833044,0.6672960685833044,0.6672960685833044,0.0
phase_000,50,4,0.666838464199239,0.666838464199239,0.666838464199239,0.0
phase_000,50,5,0.6675544041450777,0.6675544041450777,0.6675544041450777,0.0
phase_000,50,8,0.6672739868375477,0.6672739868375477,0.6672739868375477,0.0
phase_000,50,9,0.6668412396121883,0.6668412396121883,0.6668412396121883,0.0
phase_000,50,7,0.667220207253886,0.667220207253886,0.667220207253886,0.0
phase_000,50,17,0.6677614265927978,0.6677614265927978,0.6677614265927978,0.0
phase_000,50,6,0.6676555498104102,0.6676555498104102,0.6676555498104102,0.0
phase_000,50,12,0.6682726802345635,0.6682726802345635,0.6682726802345635,0.0
phase_000,50,11,0.6673027902170169,0.6673027902170169,0.6673027902170169,0.0
phase_000,50,15,0.667239006232687,0.667239006232687,0.667239006232687,0.0
phase_000,50,16,0.6673901098901099,0.6673901098901099,0.6673901098901099,0.0
phase_000,50,13,0.6670479641131816,0.6670479641131816,0.6670479641131816,0.0
phase_000,50,14,0.6676202586206896,0.6676202586206896,0.6676202586206896,0.0
phase_000,50,18,0.6669266689726738,0.6669266689726738,0.6669266689726738,0.0
phase_000,50,20,0.6677250000000001,0.6677250000000001,0.6677250000000001,0.0
phase_000,50,22,0.6679588827203331,0.6679588827203331,0.6679588827203331,0.0
phase_000,50,21,0.6673321478140182,0.6673321478140182,0.6673321478140182,0.0
phase_000,50,19,0.6679850810624353,0.6679850810624353,0.6679850810624353,0.0
phase_000,50,26,0.6675988210818309,0.6675988210818309,0.6675988210818309,0.0
phase_000,50,28,0.6671348945731075,0.6671348945731075,0.6671348945731075,0.0
phase_000,50,27,0.6670560908465244,0.6670560908465244,0.6670560908465244,0.0
phase_000,50,24,0.6665686274509803,0.6665686274509803,0.6665686274509803,0.0
phase_000,50,25,0.6675809228650137,0.6675809228650137,0.6675809228650137,0.0
phase_000,50,29,0.6674696061643834,0.6674696061643834,0.6674696061643834,0.0
phase_000,50,23,0.6671948478561549,0.6671948478561549,0.6671948478561549,0.0
phase_000,100,1,0.6684940219345559,0.6684940219345559,0.6684940219345559,0.0
phase_000,100,0,0.6672412477558347,0.6672412477558347,0.6672412477558347,0.0
phase_000,100,4,0.6679684125269978,0.6679684125269978,0.6679684125269978,0.0
phase_000,100,3,0.6680052716225876,0.6680052716225876,0.6680052716225876,0.0
