point_id,T,seed,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate
phase_001,100,14,2592.0,0.9999636246067178,0.0
phase_001,100,9,2627.0,0.9999146023410505,0.0
phase_001,100,13,2606.0,0.9999665987952074,0.0
phase_001,100,16,2608.0,0.9999452625686722,0.0
phase_001,100,12,2612.0,0.999941107359581,0.0
phase_001,100,17,2590.0,0.9999551789505164,0.0
phase_002,50,2,2679.0,0.9999479062813764,0.0
phase_002,50,1,2629.0,0.9999407474446916,0.0
phase_002,50,0,2654.0,0.9999787933663832,0.0
phase_002,50,3,2610.0,0.9999628881138024,0.0
phase_002,50,5,2634.0,0.9999341375551762,0.0
phase_002,50,4,2609.0,0.999981739289311,0.0
phase_001,100,20,2621.0,0.999969758404687,0.0
phase_001,100,18,2605.0,0.9999608478501756,0.0
phase_001,100,19,2613.0,0.9999522776843076,0.0
phase_001,100,21,2630.0,0.9999683516142096,0.0
phase_001,100,22,2589.0,0.99992331829535,0.0
phase_001,100,23,2597.0,0.9999407138489266,0.0
phase_001,100,24,2560.0,0.9999745894731068,0.0
phase_001,100,25,2606.0,0.9999821033394278,0.0
phase_001,100,26,2597.0,0.9999633774319298,0.0
phase_001,100,27,2588.0,0.999971238423248,0.0
phase_001,100,28,2574.0,0.9999626454249532,0.0
phase_002,50,10,2636.0,0.9999029191259072,0.0
phase_002,50,6,2618.0,0.9999862005831728,0.0
phase_002,50,7,2682.0,0.9999457117554976,0.0
phase_001,100,29,2641.0,0.999982114012395,0.0
phase_002,50,9,2638.0,0.999940878375146,0.0
phase_002,50,8,2625.0,0.9998988209831804,0.0
phase_002,50,11,2631.0,0.9999593760552182,0.0
phase_002,50,14,2626.0,0.9999845106576696,0.0
phase_002,50,13,2682.0,0.999986670159806,0.0
phase_002,50,12,2598.0,0.9998971611048542,0.0
phase_002,50,15,2587.0,0.999970131218286,0.0
phase_002,50,16,2684.0,0.9999253003318558,0.0
phase_002,50,17,2588.0,0.9999783019857932,0.0
phase_002,50,18,2638.0,0.9999748413998109,0.0
phase_002,50,19,2643.0,0.9999979053676272,0.0
phase_002,50,20,2613.0,0.9999705545653028,0.0
phase_002,50,21,2631.0,0.9999933417541628,0.0
phase_002,50,22,2642.0,0.9999556214620776,0.0
phase_002,50,25,2635.0,0.999889049149022,0.0
phase_002,50,24,2644.0,0.999968049146414,0.0
