point_id,T,seed,closure_rate,lineage_recurrence_rate,cycle_or_return_rate
phase_000,50,0,0.2474930843706777,0.2502285814980317,0.2502285814980317
phase_000,50,1,0.2518821391484943,0.2501198178768272,0.2501198178768272
phase_000,50,2,0.2516097184065934,0.2514974508664412,0.2514974508664412
phase_000,50,3,0.2486535788742182,0.2494504062650344,0.2494504062650344
phase_000,50,10,0.2493721856598545,0.2485345447763182,0.2485345447763182
phase_000,50,4,0.250972846765825,0.2496274911529149,0.2496274911529149
phase_000,50,5,0.2517055267702936,0.2502424604756211,0.2502424604756211
phase_000,50,8,0.2508010045029442,0.2512955956409368,0.2512955956409368
phase_000,50,9,0.2505410318559556,0.2507715946622629,0.2507715946622629
phase_000,50,7,0.2478411053540587,0.2495989438023116,0.2495989438023116
phase_000,50,17,0.2468403739612188,0.25076992994886,0.25076992994886
phase_000,50,6,0.2497845570492933,0.2498566475751067,0.2498566475751067
phase_000,50,12,0.2501940324249741,0.2498946918035396,0.2498946918035396
phase_000,50,11,0.2514855322080606,0.250648367736294,0.250648367736294
phase_000,50,15,0.2523588988919668,0.2507108326230556,0.2507108326230556
phase_000,50,16,0.2503648695054945,0.2509352876690617,0.2509352876690617
phase_000,50,13,0.2468728433402346,0.2498863606200562,0.2498863606200562
phase_000,50,14,0.2498491379310344,0.2503307360742706,0.2503307360742706
phase_000,50,18,0.2469949844344517,0.2510169158928239,0.2510169158928239
phase_000,50,20,0.2518103448275862,0.250873673740053,0.250873673740053
phase_000,50,22,0.2509975711311589,0.2496863823199701,0.2496863823199701
phase_000,50,21,0.2486554476058292,0.2497155754550792,0.2497155754550792
phase_000,50,19,0.2506036564332528,0.2501525725051078,0.2501525725051078
phase_000,50,26,0.2498483009708738,0.249741611543796,0.249741611543796
phase_000,50,28,0.2517715174559281,0.2510810244888191,0.2510810244888191
phase_000,50,27,0.2513119408121129,0.2509818876065435,0.2509818876065435
phase_000,50,24,0.2476995184038527,0.2506838599137361,0.2506838599137361
phase_000,50,25,0.2520661157024793,0.25128138906548,0.25128138906548
phase_000,50,29,0.2477953767123287,0.2508429926238146,0.2508429926238146
phase_000,50,23,0.2527662517289073,0.2498703319502074,0.2498703319502074
phase_000,100,1,0.2491235167206041,0.250419954029796,0.250419954029796
phase_000,100,0,0.2470601436265709,0.250117048614778,0.250117048614778
phase_000,100,4,0.2501574874010079,0.249891920411073,0.249891920411073
phase_000,100,3,0.2460239456754825,0.2491936642419655,0.2491936642419655
phase_000,100,2,0.2501566977077364,0.2495812615877296,0.2495812615877296
phase_000,100,5,0.2455389329488103,0.2502977578919094,0.2502977578919094
phase_000,100,6,0.2496852517985611,0.2504029129637466,0.2504029129637466
phase_000,100,7,0.2499775905342416,0.2507434669816294,0.2507434669816294
phase_000,100,12,0.2475987432675045,0.250099887351709,0.250099887351709
phase_000,100,9,0.2500672043010752,0.2502327992128751,0.2502327992128751
phase_000,100,10,0.2490086517664023,0.2504567977154813,0.2504567977154813
phase_000,100,11,0.2538288288288288,0.2502261084614026,0.2502261084614026
phase_000,100,8,0.2496624054735325,0.2493429042484837,0.2493429042484837
phase_000,100,14,0.2516982481229889,0.24894100471794,0.24894100471794
phase_000,100,13,0.2512079455977093,0.2500548268699033,0.2500548268699033
phase_000,100,15,0.25328125,0.2508433998599439,0.2508433998599439
phase_000,100,16,0.247474070100143,0.2500293661813795,0.2500293661813795
phase_000,100,17,0.2507212405337179,0.2499752515503136,0.2499752515503136
phase_001,50,3,0.2452264653641208,0.250454297035114,0.250454297035114
phase_001,50,2,0.245817016731933,0.2498160103513432,0.2498160103513432
