point_id,T,seed,p_viable,survival_depth,collapse_rate
phase_000,50,0,0.964,0.964,0.0
phase_000,50,1,0.963,0.963,0.0
phase_000,50,2,0.9706666666666668,0.9706666666666668,0.0
phase_000,50,3,0.9593333333333334,0.9593333333333334,0.0
phase_000,50,10,0.9623333333333334,0.9623333333333334,0.0
phase_000,50,4,0.9636666666666668,0.9636666666666668,0.0
phase_000,50,5,0.965,0.965,0.0
phase_000,50,8,0.9623333333333334,0.9623333333333334,0.0
phase_000,50,9,0.9626666666666668,0.9626666666666668,0.0
phase_000,50,7,0.965,0.965,0.0
phase_000,50,17,0.9626666666666668,0.9626666666666668,0.0
phase_000,50,6,0.967,0.967,0.0
phase_000,50,12,0.9663333333333334,0.9663333333333334,0.0
phase_000,50,11,0.9676666666666668,0.9676666666666668,0.0
phase_000,50,15,0.9626666666666668,0.9626666666666668,0.0
phase_000,50,16,0.9706666666666668,0.9706666666666668,0.0
phase_000,50,13,0.966,0.966,0.0
phase_000,50,14,0.9666666666666668,0.9666666666666668,0.0
phase_000,50,18,0.9636666666666668,0.9636666666666668,0.0
phase_000,50,20,0.9666666666666668,0.9666666666666668,0.0
phase_000,50,22,0.9606666666666668,0.9606666666666668,0.0
phase_000,50,21,0.9606666666666668,0.9606666666666668,0.0
phase_000,50,19,0.9663333333333334,0.9663333333333334,0.0
phase_000,50,26,0.9613333333333334,0.9613333333333334,0.0
phase_000,50,28,0.9643333333333334,0.9643333333333334,0.0
phase_000,50,27,0.9686666666666668,0.9686666666666668,0.0
phase_000,50,24,0.969,0.969,0.0
phase_000,50,25,0.968,0.968,0.0
phase_000,50,29,0.9733333333333334,0.9733333333333334,0.0
phase_000,50,23,0.964,0.964,0.0
phase_000,100,1,0.927,0.927,0.0
phase_000,100,0,0.9283333333333332,0.9283333333333332,0.0
phase_000,100,4,0.926,0.926,0.0
phase_000,100,3,0.9326666666666666,0.9326666666666666,0.0
phase_000,100,2,0.9306666666666666,0.9306666666666666,0.0
phase_000,100,5,0.9246666666666666,0.9246666666666666,0.0
phase_000,100,6,0.9266666666666666,0.9266666666666666,0.0
phase_000,100,7,0.9296666666666666,0.9296666666666666,0.0
phase_000,100,12,0.9283333333333332,0.9283333333333332,0.0
phase_000,100,9,0.93,0.93,0.0
phase_000,100,10,0.9246666666666666,0.9246666666666666,0.0
phase_000,100,11,0.925,0.925,0.0
phase_000,100,8,0.9256666666666666,0.9256666666666666,0.0
phase_000,100,14,0.9323333333333332,0.9323333333333332,0.0
phase_000,100,13,0.9313333333333332,0.9313333333333332,0.0
phase_000,100,15,0.9333333333333332,0.9333333333333332,0.0
phase_000,100,16,0.932,0.932,0.0
phase_000,100,17,0.9243333333333332,0.9243333333333332,0.0
phase_001,50,3,0.9383333333333334,0.9383333333333334,0.0
phase_001,50,2,0.9363333333333334,0.9363333333333334,0.0
phase_000,100,18,0.9276666666666666,0.9276666666666666,0.0
phase_001,50,0,0.9286666666666666,0.9286666666666666,0.0
phase_001,50,1,0.9316666666666666,0.9316666666666666,0.0
phase_001,50,4,0.9313333333333332,0.9313333333333332,0.0
phase_000,100,20,0.938,0.938,0.0
phase_000,100,19,0.9303333333333332,0.9303333333333332,0.0
phase_000,100,22,0.928,0.928,0.0
phase_000,100,23,0.9253333333333332,0.9253333333333332,0.0
phase_000,100,21,0.9296666666666666,0.9296666666666666,0.0
phase_001,50,5,0.932,0.932,0.0
phase_000,100,24,0.9363333333333334,0.9363333333333334,0.0
phase_000,100,25,0.931,0.931,0.0
phase_000,100,27,0.929,0.929,0.0
phase_000,100,26,0.9303333333333332,0.9303333333333332,0.0
