point_id,T,seed,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index
phase_000,50,0,0.4174174446749654,0.0003457814661134,0.09375,2.988817827520585e-05,6.808852416720357e-07
phase_000,50,1,0.4164222049151956,0.0003461405330564,0.08,3.006797529137017e-05,5.808964320626343e-07
phase_000,50,2,0.417125257554945,0.0003434065934065,0.075,6.070630236609809e-06,5.380329426620916e-07
phase_000,50,3,0.4179651667824878,0.0003474635163307,0.08875,2.48424169169148e-05,6.480554873270492e-07
phase_000,50,10,0.4172960685833044,0.0003463803255975,0.09125,3.363878732176584e-05,6.643403694536228e-07
phase_000,50,4,0.416838464199239,0.0003459010722933,0.0775,1.679885984895435e-05,5.611385194437177e-07
phase_000,50,5,0.4175544041450777,0.0003454231433506,0.09375,6.830482074038358e-05,6.859437817459549e-07
phase_000,50,8,0.4172739868375476,0.0003463803255975,0.0775,4.201339406739724e-05,5.661474871626522e-07
phase_000,50,9,0.4168412396121884,0.0003462603878116,0.08375,8.869836253477814e-06,6.056855970966398e-07
phase_000,50,7,0.417220207253886,0.0003454231433506,0.0875,3.462525573150188e-05,6.355042359614048e-07
phase_000,50,17,0.4177614265927978,0.0003462603878116,0.08125,1.979145997954568e-05,5.905207424129676e-07
phase_000,50,6,0.4176555498104102,0.0003447087211306,0.08375,1.4590406595016424e-05,6.049728986968258e-07
phase_000,50,12,0.4182726802345637,0.0003449465332873,0.0825,9.20277698679417e-05,6.084399820373401e-07
phase_000,50,11,0.4173027902170169,0.0003444712366517,0.08125,6.664264205635817e-05,5.935593337010622e-07
phase_000,50,15,0.4172390062326869,0.0003462603878116,0.0925,5.304929483251897e-06,6.689556188822381e-07
phase_000,50,16,0.4173901098901099,0.0003434065934065,0.0825,3.417563737206919e-05,5.961534259392157e-07
phase_000,50,13,0.4170479641131815,0.0003450655624568,0.075,5.196654694894498e-05,5.471367867603452e-07
phase_000,50,14,0.4176202586206897,0.0003448275862068,0.0575,0.0001099387839416,4.2985203686780085e-07
phase_000,50,18,0.4169266689726739,0.0003459010722933,0.0725,3.917766170169479e-05,5.28430780704728e-07
phase_000,50,20,0.417725,0.0003448275862068,0.1,1.550213915213483e-05,7.2244849347494e-07
phase_000,50,22,0.4179588827203331,0.0003469812630117,0.08125,4.364149621516322e-05,5.954886578937149e-07
phase_000,50,21,0.417332147814018,0.0003469812630117,0.075,3.701383526344415e-06,5.43560118195524e-07
phase_000,50,19,0.4179850810624353,0.0003449465332873,0.08375,1.8609886998643965e-05,6.064474584596891e-07
phase_000,50,26,0.4175988210818308,0.0003467406380027,0.08875,2.291470860960043e-05,6.45861277340994e-07
phase_000,50,28,0.4171348945731075,0.0003456619426201,0.08125,8.731677858975218e-06,5.870213607764947e-07
phase_000,50,27,0.4170560908465244,0.0003441156228492,0.07875,1.2439986348367071e-05,5.668776771455003e-07
phase_000,50,24,0.4165686274509804,0.000343997248022,0.085,2.7607148558428385e-05,6.129745230992386e-07
phase_000,50,25,0.4175809228650138,0.0003443526170798,0.0925,6.603579729169695e-05,6.74547884788527e-07
phase_000,50,29,0.4174696061643835,0.0003424657534246,0.085,1.843069022122723e-05,6.10253451776241e-07
phase_000,50,23,0.4171948478561549,0.0003457814661134,0.09625,3.381788795842056e-05,6.991213187860911e-07
phase_000,100,1,0.4184940219345558,0.0003595828838547,0.066875,7.126081473118884e-05,5.139020535083998e-07
phase_000,100,0,0.4172412477558349,0.000359066427289,0.068125,3.849031052949314e-05,5.160817757128001e-07
phase_000,100,4,0.4179684125269978,0.0003599712023038,0.0775,2.6899057317120167e-06,5.834240079807946e-07
phase_000,100,3,0.4180052716225876,0.0003573981415296,0.069375,3.317396995594635e-05,5.231675054549986e-07
phase_000,100,2,0.4193725376074498,0.0003581661891117,0.07125,6.743147267351812e-05,5.452340877636965e-07
phase_000,100,5,0.4177536950252343,0.0003604902667627,0.075,2.096610421786771e-05,5.67892942989159e-07
phase_000,100,6,0.4180305755395683,0.0003597122302158,0.069375,3.482672604682158e-05,5.268353220274784e-07
phase_000,100,7,0.4174175331660093,0.0003585514521333,0.079375,4.0018964431176585e-06,5.945845451752856e-07
phase_000,100,12,0.4175015709156194,0.000359066427289,0.07,3.01713300480122e-05,5.292107992446416e-07
phase_000,100,9,0.417326164874552,0.0003584229390681,0.073125,3.653321312779845e-05,5.523638193719532e-07
phase_000,100,10,0.4175232065609228,0.0003604902667627,0.069375,4.592506771361471e-05,5.290044716263579e-07
phase_000,100,11,0.4165522522522522,0.0003603603603603,0.06125,7.11378667769269e-05,4.703869950086026e-07
phase_000,100,8,0.4171151422398271,0.0003601008282319,0.059375,3.655582384531897e-05,4.514074779212896e-07
phase_000,100,14,0.4178814354665713,0.0003575259206292,0.075625,3.465061892382604e-05,5.701086979741388e-07
phase_000,100,13,0.4169090014316392,0.0003579098067287,0.071875,0.0001014677611816,5.513849487783528e-07
phase_000,100,15,0.4170082589285714,0.0003571428571428,0.065,6.300651266277768e-06,4.849658089759014e-07
phase_000,100,16,0.4162511176680973,0.0003576537911301,0.063125,4.992763076860918e-06,4.7062619218559654e-07
phase_000,100,17,0.4168659844933285,0.0003606202668589,0.073125,1.0771724928249071e-05,5.512645587885462e-07
phase_001,50,3,0.4517295737122558,0.0003552397868561,0.09,3.993745818364758e-05,7.285342851387571e-07
phase_001,50,2,0.4511124955500178,0.0003559985760056,0.0725,1.4613865605417333e-05,5.845052665545416e-07
phase_000,100,18,0.4166079770032339,0.0003593244699964,0.06875,2.0108426108444988e-05,5.175951317536382e-07
phase_001,50,0,0.449524856424982,0.0003589375448671,0.07625,1.2924037382400222e-05,6.172373263348882e-07
phase_001,50,1,0.4529861359570662,0.0003577817531305,0.07625,3.387241638530547e-05,6.233822462791497e-07
phase_001,50,4,0.4507328203292771,0.0003579098067287,0.07625,1.909134427158232e-05,6.181188163753673e-07
phase_000,100,20,0.4182409381663113,0.0003553660270078,0.081875,5.200556818962809e-05,6.161779311470644e-07
phase_000,100,19,0.4171186402723038,0.0003582945180938,0.08,9.630152375983414e-06,5.992445278229668e-07
phase_000,100,22,0.4175743085488506,0.0003591954022988,0.071875,3.408495145595936e-05,5.44141764146399e-07
phase_000,100,23,0.4172527917867435,0.0003602305475504,0.07625,3.481860267728898e-05,5.782796930332031e-07
phase_000,100,21,0.417653280745787,0.0003585514521333,0.0725,2.446627348695607e-05,5.465082689469089e-07
phase_001,50,5,0.4514507331902718,0.0003576537911301,0.095,2.486452652195048e-05,7.709642673042042e-07
phase_000,100,24,0.4175215824136703,0.0003559985760056,0.07625,4.468550175174002e-05,5.733208239068898e-07
phase_000,100,25,0.4172489258861439,0.0003580379520229,0.08125,1.3885605161245709e-06,6.071081764397926e-07
phase_000,100,27,0.4167817097237173,0.0003588087549336,0.075625,1.2211676621909362e-05,5.672929470232791e-07
phase_000,100,26,0.4169804729487639,0.0003582945180938,0.066875,2.736067972630707e-05,5.036500629146918e-07
phase_000,100,28,0.4179869342672414,0.0003591954022988,0.073125,8.203928404171279e-06,5.501773934257215e-07
phase_001,50,7,0.4500066773504274,0.0003561253561253,0.075,3.344710785002647e-05,6.063306488371349e-07
phase_001,50,6,0.4521024766690595,0.0003589375448671,0.08125,9.266970307120204e-06,6.607523085768565e-07
phase_001,50,8,0.4521676764076978,0.0003563791874554,0.08125,1.7782847587133332e-05,6.575096273270345e-07
phase_001,50,10,0.4501257554212584,0.0003554923569143,0.08,3.172901496939495e-05,6.451422213000017e-07
phase_001,50,11,0.4509207013171947,0.0003559985760056,0.08375,3.69340304566812e-05,6.781362604776612e-07
phase_000,100,29,0.4182765562794064,0.0003619254433586,0.075625,2.60258604931618e-05,5.763641823137146e-07
phase_001,50,12,0.4499871088193456,0.0003556187766714,0.0775,3.239429123569337e-05,6.252763371729608e-07
phase_001,50,13,0.4512642908181493,0.0003572704537334,0.095,1.931640241181753e-05,7.68925396220699e-07
phase_001,50,15,0.4523441951566951,0.0003561253561253,0.07125,7.393915962161657e-06,5.750786289924097e-07
phase_001,50,9,0.4511703850305865,0.0003598416696653,0.095,5.170252913089257e-05,7.795559477762958e-07
phase_001,50,14,0.4503829068941009,0.0003553660270078,0.07875,3.592467441015934e-05,6.359497353182636e-07
phase_001,50,16,0.4509338209061719,0.0003567606136282,0.09,5.337587541531797e-05,7.325262866653638e-07
phase_001,50,17,0.4509238738738738,0.0003603603603603,0.085,3.037808899986061e-06,6.910977601878321e-07
