kappa,k,include_COM_feature,regularization,train_predictive_loss,validation_predictive_loss,num_label_penalty,singleton_fraction,small_fiber_fraction,label_imbalance,total_validation_loss
predictive_kmeans_k5,5,True,light,0.0004667331319536305,0.0004597983926143303,4.734848484848485e-06,0.0,0.0,0.32726938287130614,0.016823291210422062
predictive_kmeans_k5,5,True,main,0.0004667331319536305,0.0004597983926143303,4.734848484848485e-06,0.0,0.0,0.32726938287130614,0.03318676035398737
predictive_kmeans_k5,5,True,strict,0.0004667331319536305,0.0004597983926143303,4.734848484848485e-06,0.0,0.0,0.32726938287130614,0.049550229497552674
predictive_kmeans_k8,8,True,light,0.0001308096957917209,0.00013274746942089528,7.575757575757576e-06,0.0,0.0,0.2560266425146247,0.01293411747394001
predictive_kmeans_k8,8,True,main,0.0001308096957917209,0.00013274746942089528,7.575757575757576e-06,0.0,0.0,0.2560266425146247,0.025735449599671247
predictive_kmeans_k8,8,True,strict,0.0001308096957917209,0.00013274746942089528,7.575757575757576e-06,0.0,0.0,0.2560266425146247,0.03853678172540247
predictive_kmeans_k13,13,True,light,7.525567688687435e-05,7.78491417583793e-05,1.2310606060606061e-05,0.0,0.0,0.14639417295126333,0.007397619342351849
predictive_kmeans_k13,13,True,main,7.525567688687435e-05,7.78491417583793e-05,1.2310606060606061e-05,0.0,0.0,0.14639417295126333,0.014717327989915017
predictive_kmeans_k13,13,True,strict,7.525567688687435e-05,7.78491417583793e-05,1.2310606060606061e-05,0.0,0.0,0.14639417295126333,0.02203703663747818
predictive_kmeans_k21,21,True,light,4.387626567626245e-05,4.2915647441346905e-05,1.9886363636363638e-05,0.0,0.0,0.12863913066967814,0.006474971612743436
predictive_kmeans_k21,21,True,main,4.387626567626245e-05,4.2915647441346905e-05,1.9886363636363638e-05,0.0,0.0,0.12863913066967814,0.012906928146227343
predictive_kmeans_k21,21,True,strict,4.387626567626245e-05,4.2915647441346905e-05,1.9886363636363638e-05,0.0,0.0,0.12863913066967814,0.01933888467971125
predictive_kmeans_no_COM_k8,8,False,light,0.0001289915190291847,0.00013089380166266538,7.575757575757576e-06,0.0,0.0,0.24498255226565036,0.012380059293733063
predictive_kmeans_no_COM_k8,8,False,main,0.0001289915190291847,0.00013089380166266538,7.575757575757576e-06,0.0,0.0,0.24498255226565036,0.02462918690701558
predictive_kmeans_no_COM_k8,8,False,strict,0.0001289915190291847,0.00013089380166266538,7.575757575757576e-06,0.0,0.0,0.24498255226565036,0.0368783145202981
predictive_kmeans_no_COM_k13,13,False,light,7.497309662190336e-05,7.756880804975191e-05,1.2310606060606061e-05,0.0,0.0,0.14753603519230873,0.007454432120695492
predictive_kmeans_no_COM_k13,13,False,main,7.497309662190336e-05,7.756880804975191e-05,1.2310606060606061e-05,0.0,0.0,0.14753603519230873,0.01483123388031093
predictive_kmeans_no_COM_k13,13,False,strict,7.497309662190336e-05,7.756880804975191e-05,1.2310606060606061e-05,0.0,0.0,0.14753603519230873,0.022208035639926363
