kappa,min_fiber_size,median_fiber_size,max_fiber_size,num_label_penalty,singleton_fraction,small_fiber_fraction,label_imbalance
predictive_kmeans_k5,1148,140365.0,458511,4.734848484848485e-06,0.0,0.0,0.28759104828242
predictive_kmeans_k8,1148,81866.0,453251,7.575757575757576e-06,0.0,0.0,0.25635170616816494
predictive_kmeans_k13,1148,49932.0,357135,1.2310606060606061e-05,0.0,0.0,0.19459689374538724
predictive_kmeans_k21,182,29360.0,257690,1.9886363636363638e-05,0.0,0.0,0.17265556465773024
predictive_kmeans_no_COM_k8,1148,90836.5,456182,7.575757575757576e-06,0.0,0.0,0.24998072083325307
predictive_kmeans_no_COM_k13,1148,54256.0,286719,1.2310606060606061e-05,0.0,0.0,0.16720302588210545
