kappa,variant_id,split,alpha,T,singleton_fraction,small_fiber_fraction,macro_path_entropy,macro_node_entropy
all_one_diagnostic,noise_test_000,test,0.525,1500,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_000,test,0.525,1500,0.22017671217671217,0.381230574980575,1.4598801373348307,0.5146804077502111
center_of_mass,noise_test_000,test,0.525,1500,0.41868543560921606,0.7133345465878554,6.540683291389586,1.9814342414176354
identity_diagnostic,noise_test_000,test,0.525,1500,1.0,1.0,11.5490527987487,7.240750593129941
joint_basin,noise_test_000,test,0.525,1500,0.4084327444982248,0.6867045379471542,5.6038098435466654,1.5188252153197035
predictive_kmeans_k13,noise_test_000,test,0.525,1500,0.516581536528508,0.811723010168013,7.955899508073834,2.8605697594930355
predictive_kmeans_k21,noise_test_000,test,0.525,1500,0.6265385513538996,0.8936872256694359,9.268178577858272,3.470741059146501
predictive_kmeans_k5,noise_test_000,test,0.525,1500,0.38291021155556426,0.6768721163962048,4.223634806572304,1.5509107723365956
predictive_kmeans_k8,noise_test_000,test,0.525,1500,0.43411084318288684,0.7322397377177764,6.2975542753410885,2.1274942808755624
predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,1500,0.5134648467881024,0.8151374599564369,7.949089544269693,2.939364627128993
predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,1500,0.4277679635643908,0.7208357326530348,6.311854681757791,2.1593639109419924
random_matched_predictive_kmeans_k13,noise_test_000,test,0.525,1500,0.9999732966106498,1.0,11.54899940979083,3.700022916172526
random_matched_predictive_kmeans_k21,noise_test_000,test,0.525,1500,0.9999966588706982,1.0,11.54904611872198,4.391634766267829
random_matched_predictive_kmeans_k5,noise_test_000,test,0.525,1500,0.9812253098908218,1.0,11.511645875641953,2.321784529715101
random_matched_predictive_kmeans_k8,noise_test_000,test,0.525,1500,0.9992616814395567,1.0,11.547577716211121,2.9997466524981498
random_matched_predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,1500,0.9999732966106498,1.0,11.54899940979083,3.700022916172526
random_matched_predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,1500,0.9992616814395567,1.0,11.547577716211121,2.9997466524981498
all_one_diagnostic,noise_test_000,test,0.525,2400,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_000,test,0.525,2400,0.1416706349206349,0.28890873015873014,1.1344946745297688,0.46842175434729527
center_of_mass,noise_test_000,test,0.525,2400,0.4240505008520025,0.7354432432960206,6.995400750173705,1.9021898198104885
identity_diagnostic,noise_test_000,test,0.525,2400,0.9999966633299967,1.0,11.54923384406195,6.892713221685342
joint_basin,noise_test_000,test,0.525,2400,0.5174865469291973,0.7963089996931529,5.238171119369169,1.4088607598640115
predictive_kmeans_k13,noise_test_000,test,0.525,2400,0.5580665643056162,0.8443817896442577,7.654752188018328,2.470308060847236
predictive_kmeans_k21,noise_test_000,test,0.525,2400,0.6504183720299043,0.9047620235949594,9.024465476254829,3.0752540659628536
predictive_kmeans_k5,noise_test_000,test,0.525,2400,0.37610669128202817,0.6636657670764035,4.260470264114177,1.4797577605859091
predictive_kmeans_k8,noise_test_000,test,0.525,2400,0.47537795599316135,0.7738277089352323,5.841339940145355,1.8804072275254997
predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,2400,0.5355039931092489,0.8381579479764847,8.115887474273991,2.6625912025480227
predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,2400,0.49034291206014474,0.7890667392177544,5.991629287314285,1.8826880377666575
random_matched_predictive_kmeans_k13,noise_test_000,test,0.525,2400,0.9999732943750428,1.0,11.549187121749931,3.7000221423209707
random_matched_predictive_kmeans_k21,noise_test_000,test,0.525,2400,0.9999966611018364,1.0,11.549233839608602,4.3916368572532685
random_matched_predictive_kmeans_k5,noise_test_000,test,0.525,2400,0.9812248744606161,1.0,11.511832636019609,2.3217851423305014
random_matched_predictive_kmeans_k8,noise_test_000,test,0.525,2400,0.9992617247903945,1.0,11.547765519280098,2.999745603921884
random_matched_predictive_kmeans_no_COM_k13,noise_test_000,test,0.525,2400,0.9999732943750428,1.0,11.549187121749931,3.7000221423209707
random_matched_predictive_kmeans_no_COM_k8,noise_test_000,test,0.525,2400,0.9992617247903945,1.0,11.547765519280098,2.999745603921884
all_one_diagnostic,noise_test_001,test,0.525,1500,0.0,0.0,0.0,0.0
boundary_v2_regime_sequence,noise_test_001,test,0.525,1500,0.47644805765382225,0.7149102657822876,1.5530630472736078,0.5308774897164457
center_of_mass,noise_test_001,test,0.525,1500,0.5165578199381096,0.8268709543157163,8.701921969281994,2.1224267934776972
identity_diagnostic,noise_test_001,test,0.525,1500,1.0,1.0,11.54919240133976,7.805791362689713
joint_basin,noise_test_001,test,0.525,1500,0.5107470848177565,0.7868956105114964,7.215465604273719,1.707544537154111
predictive_kmeans_k13,noise_test_001,test,0.525,1500,0.6930980976057228,0.9341128484322797,9.890364865275894,3.06579381338355
predictive_kmeans_k21,noise_test_001,test,0.525,1500,0.8411946030688827,0.9878843177732105,10.94001385832119,3.7331207493155016
predictive_kmeans_k5,noise_test_001,test,0.525,1500,0.409765480415587,0.7154981610400232,5.336064312203019,1.6715794980384129
predictive_kmeans_k8,noise_test_001,test,0.525,1500,0.524963419943519,0.8203667321502024,7.822421991799814,2.300738408320393
predictive_kmeans_no_COM_k13,noise_test_001,test,0.525,1500,0.6968490653455123,0.9363195916568866,10.017955345689499,3.153117453087196
predictive_kmeans_no_COM_k8,noise_test_001,test,0.525,1500,0.5289175211441678,0.8264826750952432,7.850632871577095,2.3214602486466216
random_matched_predictive_kmeans_k13,noise_test_001,test,0.525,1500,0.99997329549694,1.0,11.549139010155956,3.7000217516243663
random_matched_predictive_kmeans_k21,noise_test_001,test,0.525,1500,0.999996664442962,1.0,11.54918573245013,4.391634045277797
random_matched_predictive_kmeans_k5,noise_test_001,test,0.525,1500,0.9812342723995112,1.0,11.511802759867093,2.321785072644262
