variant_id,perturbation_family,perturbation_strength,split,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
noise_test_000,noise,moderate,test,0.525,1500,identity_diagnostic,lower_rank_erasure_score,0.4256792416417069,0.0029017936194078537,0.0002901793619407854,0.42510219996220766,0.42620942277640994,0.00110722281420228,True
noise_test_000,noise,moderate,test,0.525,1500,identity_diagnostic,singleton_fraction,1.0,0.0,0.0,1.0,1.0,0.0,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,Delta_viable_propagation_vs_product,-0.15314865767431876,0.08349157879869563,0.008349157879869564,-0.16767594061954239,-0.1353762349296638,0.03229970568987858,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,Delta_viable_propagation_vs_shuffled,-0.15101942576567381,0.09783531519112248,0.009783531519112248,-0.1709457510302848,-0.13331476409914783,0.03763098693113698,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,Delta_depth_vs_product,-0.002780631650429727,0.001842147785809711,0.0001842147785809711,-0.0031442018947429907,-0.00239994178926739,0.0007442601054756005,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,Delta_depth_vs_shuffled,-0.00246992381629599,0.0018581148728881592,0.00018581148728881593,-0.0028853189266379335,-0.002127659354625514,0.0007576595720124196,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,component_A_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,component_B_preservation,0.9398856625745091,0.007511345070637597,0.0007511345070637598,0.9382727626690425,0.9412737435739308,0.0030009809048883174,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,lower_rank_erasure_score,0.030057168712745344,0.003755672535318807,0.0003755672535318807,0.02932042413446661,0.030795334547314906,0.0014749104128482966,True
noise_test_000,noise,moderate,test,0.525,1500,joint_basin,singleton_fraction,0.4084327444982248,0.023974493884473272,0.002397449388447327,0.4035419725943215,0.41278138061365166,0.009239408019330153,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,Delta_viable_propagation_vs_product,0.1047642993356095,0.014206787727887972,0.0014206787727887972,0.10208510855889734,0.10741529341404787,0.005330184855150535,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,Delta_viable_propagation_vs_shuffled,0.10421181304829302,0.011967952340642879,0.001196795234064288,0.1018864515431704,0.10624078392562329,0.004354332382452891,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,Delta_depth_vs_product,0.005917189414846175,0.003956068002695896,0.0003956068002695896,0.005155208733478336,0.006641874786278838,0.001486666052800502,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,Delta_depth_vs_shuffled,0.0058252614979823645,0.004112016994360127,0.00041120169943601267,0.004855987505808595,0.0065467078000404156,0.001690720294231821,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,component_A_preservation,0.9989969682517169,0.002553949328896986,0.0002553949328896986,0.9984265543031442,0.9994837500028878,0.0010571956997436072,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,component_B_preservation,0.6620061893533272,0.005612749769648054,0.0005612749769648053,0.6609826782676855,0.663036562581591,0.0020538843139055185,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,lower_rank_erasure_score,0.16949842119747796,0.0031436899083441116,0.00031436899083441114,0.1688682052866732,0.17013727005690912,0.001269064770235917,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k13,singleton_fraction,0.516581536528508,0.017236299212294384,0.0017236299212294384,0.5136309308710734,0.5197381106151021,0.006107179744028746,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,Delta_viable_propagation_vs_product,0.05793813251203177,0.009314635079432641,0.000931463507943264,0.056153988060500336,0.05973871009771326,0.0035847220372129257,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,Delta_viable_propagation_vs_shuffled,0.05813253990880993,0.008781268180905273,0.0008781268180905273,0.056589451509245964,0.05970154272345666,0.003112091214210695,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,Delta_depth_vs_product,-0.00042596332332236363,0.0045779638289080386,0.00045779638289080387,-0.0012210914951560213,0.00036837595419527574,0.001589467449351297,False
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,Delta_depth_vs_shuffled,-0.00042917226558238043,0.004850557285798818,0.0004850557285798818,-0.0012556989913489979,0.0005106788478248037,0.0017663778391738016,False
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,component_A_preservation,0.8630576078551934,0.0052701995408049014,0.0005270199540804902,0.8619558816538466,0.8640222309199067,0.0020663492660600857,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,component_B_preservation,0.5682745776254883,0.005414480121714291,0.000541448012171429,0.567201430170318,0.5692965288045386,0.002095098634220638,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,lower_rank_erasure_score,0.2843339072596592,0.0037461714288527506,0.00037461714288527506,0.2836420945294129,0.28506951907173805,0.0014274245423251397,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k21,singleton_fraction,0.6265385513538997,0.012320277990690133,0.0012320277990690133,0.6244618310835707,0.6291064715841661,0.004644640500595432,True
noise_test_000,noise,moderate,test,0.525,1500,predictive_kmeans_k5,Delta_viable_propagation_vs_product,-0.03892322366145839,0.05441246604128764,0.005441246604128764,-0.05016126328439892,-0.028215865485917205,0.021945397798481713,True
