witness_id,carrier_id,observer_id,declared_source_distinction_id,declared_observation_contract,exact_declared_recovery,ambiguous_outputs,output_to_source_labels,recovery_status
same_observation_rank_different_declared_recovery_v0,X2_dn_observation_panel,observe_declared_d,D_d,binary output must recover source coordinate d,1,,0->{0};1->{1},declared_recovery_pass
same_observation_rank_different_declared_recovery_v0,X2_dn_observation_panel,observe_nuisance_n,D_d,binary output must recover source coordinate d,0,"0->{0,1};1->{0,1}","0->{0,1};1->{0,1}",declared_recovery_fail
