witness_id,carrier_id,observer_id,state_count,output_support_size,output_support,finite_observation_rank,observation_block_count,observation_block_size_signature,output_to_state_count_signature,deterministic_observer
same_observation_rank_different_declared_recovery_v0,X2_dn_observation_panel,observe_declared_d,4,2,0;1,1,2,2;2,0:2;1:2,1
same_observation_rank_different_declared_recovery_v0,X2_dn_observation_panel,observe_nuisance_n,4,2,0;1,1,2,2;2,0:2;1:2,1
