threshold_id,threshold_value,threshold_fraction,threshold_semantics,comparison_rule,predeclared,notes
threshold_0_80,0.8,4/5,probabilistic decoder success threshold,success_probability >= threshold,1,formal probe threshold; not treated as the only truth threshold
threshold_0_90,0.9,9/10,probabilistic decoder success threshold,success_probability >= threshold,1,formal probe threshold; not treated as the only truth threshold
threshold_0_95,0.95,19/20,probabilistic decoder success threshold,success_probability >= threshold,1,formal probe threshold; not treated as the only truth threshold
threshold_0_99,0.99,99/100,probabilistic decoder success threshold,success_probability >= threshold,1,formal probe threshold; not treated as the only truth threshold
threshold_1_00,1.0,1,probabilistic decoder success threshold,success_probability >= threshold,1,formal probe threshold; not treated as the only truth threshold
