decoder_id,decoder_policy_id,distinction_id,target_distinction_id,uses_source_state_id,uses_source_distinction_label_as_input,uses_hidden_oracle_state,uses_candidate_id,uses_target_observation_only,allowed_for_prob_non_erasure,eligibility_status,recovery_provenance_class,registry_digest,cascade_evidence_status,notes
dec::identity_channel::D_trivial::E_trivial::bayes_optimal_decoder,bayes_best_target_distinction,D_trivial,E_trivial,0,0,0,0,1,1,eligible_fixed_declared,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,eligible for default fixed-declared target-policy non-erasure measurement
dec::identity_channel::D_trivial::E_trivial::exact_decoder,exact_support_decoder,D_trivial,E_trivial,0,0,0,0,1,0,blocked_policy_mismatch,measurement,unregistered_legacy_source,path_rows_retained,not eligible for default thresholded non-erasure measurement
dec::identity_channel::D_trivial::E_trivial::declared_decoder,fixed_declared_decoder_rule,D_trivial,E_trivial,0,0,0,0,1,0,blocked_policy_mismatch,measurement,unregistered_legacy_source,path_rows_retained,not eligible for default thresholded non-erasure measurement
dec::total_erasure_channel::D_A::E_trivial_star::bayes_optimal_decoder,bayes_best_target_distinction,D_A,E_trivial_star,0,0,0,0,1,0,eligible_bayes_best_measurement,optimized_policy_search,unregistered_legacy_source,path_rows_retained,diagnostic Bayes-best measurement; not default theorem-transfer policy
dec::total_erasure_channel::D_B::E_trivial_star::bayes_optimal_decoder,bayes_best_target_distinction,D_B,E_trivial_star,0,0,0,0,1,0,eligible_bayes_best_measurement,optimized_policy_search,unregistered_legacy_source,path_rows_retained,diagnostic Bayes-best measurement; not default theorem-transfer policy
dec::total_erasure_channel::D_joint::E_trivial_star::bayes_optimal_decoder,bayes_best_target_distinction,D_joint,E_trivial_star,0,0,0,0,1,0,eligible_bayes_best_measurement,optimized_policy_search,unregistered_legacy_source,path_rows_retained,diagnostic Bayes-best measurement; not default theorem-transfer policy
dec::total_erasure_channel::D_parity::E_trivial_star::bayes_optimal_decoder,bayes_best_target_distinction,D_parity,E_trivial_star,0,0,0,0,1,0,eligible_bayes_best_measurement,optimized_policy_search,unregistered_legacy_source,path_rows_retained,diagnostic Bayes-best measurement; not default theorem-transfer policy
dec::total_erasure_channel::D_trivial::E_trivial_star::bayes_optimal_decoder,bayes_best_target_distinction,D_trivial,E_trivial_star,0,0,0,0,1,1,eligible_fixed_declared,fixed_declared_policy_no_registry,unregistered_legacy_source,path_rows_retained,eligible for default fixed-declared target-policy non-erasure measurement
dec::total_erasure_channel::D_trivial::E_trivial_star::exact_decoder,exact_support_decoder,D_trivial,E_trivial_star,0,0,0,0,1,0,blocked_policy_mismatch,measurement,unregistered_legacy_source,path_rows_retained,not eligible for default thresholded non-erasure measurement
dec::total_erasure_channel::D_trivial::E_trivial_star::declared_decoder,fixed_declared_decoder_rule,D_trivial,E_trivial_star,0,0,0,0,1,0,blocked_policy_mismatch,measurement,unregistered_legacy_source,path_rows_retained,not eligible for default thresholded non-erasure measurement
