sequence_index,stage_name,artifact,completed_before_scoring,digest_available_before_scoring,registry_digest,manifest_bundle_digest,status,notes
1,carriers,carrier_manifest.csv,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,pre-score artifact emitted before scoring
2,distinctions,distinction_manifest.csv,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,pre-score artifact emitted before scoring
3,requirement_sets,requirement_set_manifest.csv,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,pre-score artifact emitted before scoring
4,thresholds,threshold_manifest.csv,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,pre-score artifact emitted before scoring
5,decoder_registries,registry_manifest.csv;declared_decoder_registry.csv,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,pre-score artifact emitted before scoring
6,registry_digest,registry_digest.json,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,pre-score artifact emitted before scoring
7,scoring,registered/existence/optimized/cascade artifacts,0,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a,PASS,scoring artifacts carry registry digest
