channel_id,source_carrier_id,target_carrier_id,channel_family,natural_weight_row_totals,row_weight_total_constancy,seed_policy,params_json,scope
a_flip_noise_9_1_channel,X2,X2,natural_weight_bit_noise,10,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
a_preserved_b_erased_channel,X2,X2,selective_distinction_preservation,2,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
b_flip_noise_3_1_channel,X2,X2,natural_weight_bit_noise,4,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
b_flip_noise_9_1_channel,X2,X2,natural_weight_bit_noise,10,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
b_preserved_a_erased_channel,X2,X2,selective_distinction_preservation,2,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
collapse_to_00_channel,X2,X2,constant_output,1,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
copy_a_to_b_channel,X2,X2,deterministic_projection,1,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
identity_channel,X2,X2,identity,1,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
independent_bit_noise_81_9_9_1_channel,X2,X2,natural_weight_independent_bit_noise,100,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
joint_cycle_channel,X2,X2,deterministic_relabeling,1,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
parity_preserved_scramble_channel,X2,X2,parity_preserving_scramble,2,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
parity_projector_channel,X2,X2,parity_projection,1,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
swap_bits_channel,X2,X2,deterministic_relabeling,1,constant,deterministic,{},finite registry-first stochastic channel probe; provenance gap measurement only
