channel_id,source_state,target_state,natural_weight,row_weight_total,probability_fraction,registry_digest,manifest_bundle_digest
copy_a_to_b_channel,00,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,01,00,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,01,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,01,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,01,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,10,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,10,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,10,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,10,11,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,11,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,11,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,11,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
copy_a_to_b_channel,11,11,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,00,00,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,00,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,00,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,00,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,01,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,01,01,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,01,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,01,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,10,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,10,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,10,10,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,10,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,11,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,11,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,11,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
identity_channel,11,11,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,00,00,81,100,81/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,00,01,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,00,10,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,00,11,1,100,1/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,01,00,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,01,01,81,100,81/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,01,10,1,100,1/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,01,11,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,10,00,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,10,01,1,100,1/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,10,10,81,100,81/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,10,11,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,11,00,1,100,1/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,11,01,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,11,10,9,100,9/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
independent_bit_noise_81_9_9_1_channel,11,11,81,100,81/100,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,00,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,00,01,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,00,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,00,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,01,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,01,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,01,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,01,11,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,10,00,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,10,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,10,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,10,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,11,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,11,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,11,10,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
joint_cycle_channel,11,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,00,00,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,00,01,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,00,10,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,00,11,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,01,00,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,01,01,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,01,10,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,01,11,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,10,00,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,10,01,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,10,10,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,10,11,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,11,00,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,11,01,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,11,10,0,2,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_preserved_scramble_channel,11,11,1,2,1/2,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,00,00,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,00,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,00,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,00,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,01,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,01,01,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,01,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,01,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,10,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,10,01,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,10,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,10,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,11,00,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,11,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,11,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
parity_projector_channel,11,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,00,00,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,00,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,00,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,00,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,01,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,01,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,01,10,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,01,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,10,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,10,01,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,10,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,10,11,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,11,00,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,11,01,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,11,10,0,1,0,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
swap_bits_channel,11,11,1,1,1,7339316e1efaa9778c963da5,d352e73c5ba844a3ed4ae68a
