rule,motif_survival_original,motif_survival_center_only,motif_survival_left_removed,motif_survival_right_removed,motif_survival_symmetrized,relation_dependence_delta,asymmetry_dependence_delta
73,0.24390184879302979,0.0,0.14217370748519897,0.14056438207626343,0.24390184879302979,0.10172814130783081,0.0
109,0.2516746520996094,0.0,0.14217370748519897,0.14056438207626343,0.2516746520996094,0.1095009446144104,0.0
169,0.21142266690731049,0.0,0.09090158715844153,0.0,0.0,0.12052107974886896,0.21142266690731049
225,0.21322332322597504,0.0,0.0,0.09190964698791503,0.0,0.12131367623806001,0.21322332322597504
5,0.0,0.0,0.16826766729354858,0.16516774892807007,0.0,-0.16826766729354858,0.0
29,0.0,0.0,0.16826766729354858,0.11837760340422392,0.0,-0.16826766729354858,0.0
30,0.27898138761520386,0.0,0.07753986120223999,0.10303170187398791,0.07262119092047215,0.17594968574121594,0.2063601966947317
45,0.27404510974884033,0.0,0.16826766729354858,0.14056438207626343,0.2516746520996094,0.10577744245529175,0.022370457649230957
50,0.0,0.0,0.07753986120223999,0.07448482513427734,0.0,-0.07753986120223999,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.16493089562281968,0.0,0.07753986120223999,0.07448482513427734,0.16493089562281968,0.08739103442057969,0.0
61,0.18615925312042236,0.0,0.16826766729354858,0.11837760340422392,0.0,0.01789158582687378,0.18615925312042236
62,0.47651831805706024,0.0,0.07753986120223999,0.10303170187398791,0.23148988152388483,0.37348661618307233,0.2450284365331754
71,0.0,0.0,0.12032264471054077,0.16516774892807007,0.0,-0.16516774892807007,0.0
75,0.27290189266204834,0.0,0.12032264471054077,0.14056438207626343,0.0,0.1323375105857849,0.27290189266204834
