set,rule_count,confirmed_count,mean_recurrence,mean_turnover,mean_frozen_order,mean_chaos
candidate,32,4,0.8131914685169856,0.25325981279214227,0.2023754119873047,0.435539343403759
control,22,0,0.9638537060130726,0.0424519596677838,0.7837200742779357,0.20773500957351995
