primitive_class,rule_count,confirmed_rate,enrichment_over_base
DAR_complete,29,0.06896551724137931,-0.006506180871828235
DAR_asymmetric,14,0.0,-0.07547169811320754
relation_dependent,50,0.08,0.004528301886792457
asymmetry_dependent,32,0.0625,-0.012971698113207544
