rule,motif_material_turnover,low_turnover_persistence_fraction,exact_static_fraction,recurrence_up_to_shift
0,0.0,1.0,1.0,1.0
4,0.0,1.0,1.0,1.0
5,0.0,1.0,0.06656901041666667,1.0
8,0.0,1.0,1.0,1.0
12,0.0,1.0,1.0,1.0
29,0.0,1.0,0.0,1.0
30,0.4895874659220378,8.138020833333333e-05,8.138020833333333e-05,0.5552959442138672
32,0.005105018615722656,0.9791666666666666,1.0,0.9948949813842773
36,0.0,1.0,1.0,1.0
44,0.0,1.0,1.0,1.0
45,0.4858843485514323,8.138020833333333e-05,0.0,0.5596949259440104
50,0.02410570780436198,0.8958333333333334,0.00016276041666666666,0.9758942921956381
51,0.0,1.0,0.0,1.0
54,0.21039851506551108,0.4068196614583333,0.06591796875,0.8228287696838379
57,0.29635032018025714,0.33984375,0.0,0.7676005363464355
60,0.0722503662109375,0.6765950520833334,0.668701171875,0.9285691579182943
61,0.14997529983520508,0.2926432291666667,0.0,0.8748507499694824
62,0.5867670377095541,0.07535807291666667,0.06673177083333333,0.8059471448262533
64,0.0,1.0,1.0,1.0
68,0.0,1.0,1.0,1.0
71,0.0,1.0,0.0,1.0
72,0.0,1.0,1.0,1.0
73,0.3263467152913411,0.06917317708333333,0.0,0.7281436920166016
75,0.4854900042215983,8.138020833333333e-05,0.0,0.5573487281799316
76,0.0,1.0,1.0,1.0
77,0.024079004923502605,0.8958333333333334,0.9999186197916666,0.9759209950764974
78,0.06054989496866862,0.6875,0.8958333333333334,0.9394501050313314
86,0.48722124099731445,0.0,0.0,0.5549724896748861
89,0.486730416615804,8.138020833333333e-05,0.0,0.5587264696756998
90,0.022699356079101562,0.9007975260416666,0.874267578125,0.9773006439208984
94,0.049498399098714195,0.6351725260416666,0.3194986979166667,0.9536452293395996
99,0.2969943682352702,0.3387044270833333,0.0,0.767121156056722
102,0.07227865854899089,0.6773274739583334,0.6648763020833334,0.9285370508829752
109,0.34792137145996094,0.059814453125,0.0,0.7246691385904948
118,0.5786898930867513,0.07853190104166667,0.0693359375,0.8018309275309244
122,0.28053998947143555,0.3264973958333333,0.24080403645833334,0.7531711260477701
126,0.2111186981201172,0.478759765625,0.4557291666666667,0.8102877934773763
128,0.0,1.0,1.0,1.0
129,0.21688445409138998,0.3765462239583333,0.3304036458333333,0.8063851992289225
131,0.5888824462890625,0.065185546875,0.05859375,0.7985715866088867
145,0.5888307889302572,0.06534830729166667,0.057454427083333336,0.7995804150899252
161,0.25418663024902344,0.3140462239583333,0.2803548177083333,0.7695325215657552
163,0.101287047068278,0.6073404947916666,8.138020833333333e-05,0.9064952532450358
167,0.11689217885335286,0.5673014322916666,0.106201171875,0.8886194229125977
169,0.24637524286905924,0.20060221354166666,0.0,0.7690014839172363
170,0.07209523518880208,0.6764322916666666,0.0,0.932368278503418
177,0.10278383890787761,0.6065266927083334,0.0,0.9045874277750651
181,0.12139066060384114,0.5686848958333334,0.10685221354166667,0.8842506408691406
188,0.13004843393961588,0.5625813802083334,0.00016276041666666666,0.8743216196695963
204,0.0,1.0,1.0,1.0
225,0.2461414337158203,0.203857421875,0.0,0.7693322499593099
230,0.12978585561116537,0.5625813802083334,8.138020833333333e-05,0.8746916453043619
240,0.07209078470865886,0.6775716145833334,0.0,0.9324687321980795
