rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,depends_left_metric,depends_center_metric,depends_right_metric,relation_degree_metric,relation_complete_metric,self_only_metric,no_local_self_relation_metric,left_right_asymmetry_metric,temporal_irreversibility_proxy_metric,directional_consequence_metric,DAR_complete_structural_metric,DAR_asymmetric_structural_metric,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max_metric,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift_metric,motif_survival_depth,motif_material_turnover_metric,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index_metric,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index_metric,distinction_survival,DAR_complete_metric,DAR_asymmetric_metric,classification_metric,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
73,transported_identity,True,False,260.0,0.7504984537760416,0.306060791015625,0.0309895833333333,0.4321797297669356,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.4420517897946052,0.4986673990885417,0.8239166505393839,0.0,0.0,0.0885416666666666,0.0,0.2838541666666667,186.22916666666663,260.0,1.1666666666666667,1.3097888503117456,0.9088541666666666,0.7504984537760416,1.015625,0.306060791015625,-0.0150960286458333,0.8333333333333334,0.9114583333333334,0.4420517897946052,0.5579482102053949,40.3027545954648,0.0,0.2838541666666667,0.0885416666666666,0.0309895833333333,0.8239166505393839,0.4411214192708333,0.5588785807291666,0.5269758138441117,0.4321797297669356,1.0,True,False,transported_identity,16.0,1.0,0.375,1.0
75,emitter_or_generator,False,False,244.0,0.5462137858072916,0.516510009765625,0.0,0.4986082913802119,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.500442208019212,0.5110575358072916,0.8817262542642061,0.0,0.0,0.0,0.0,0.0,184.83333333333331,244.0,1.5,1.983412766525344,1.0,0.5462137858072916,0.953125,0.516510009765625,-0.0163981119791666,0.0,1.0,0.500442208019212,0.499557791980788,31.39198561340112,0.0,0.0,0.0,0.0,0.8817262542642061,0.4986165364583333,0.5013834635416666,0.4775225074023098,0.4986082913802119,1.0,False,False,emitter_or_generator,16.0,1.0,0.0,1.0
78,emitter_or_generator,False,False,260.0,0.8792724609375,0.1207275390625,0.8249999999999998,0.9556671202592218,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.401447221926678,0.5192362467447916,0.8728584457088523,0.0,0.0,0.0,1.0,0.6536458333333334,259.9791666666667,260.0,1.0,0.3725408926772287,1.0,0.8792724609375,1.015625,0.1207275390625,-0.0221354166666666,0.6666666666666666,1.0,0.401447221926678,0.5985527780733221,166666724.20156845,1.0,0.6536458333333334,0.5,0.8249999999999998,0.8728584457088523,0.9615275065104166,0.0384724934895833,0.903546694327822,0.9556671202592218,1.0,False,False,emitter_or_generator,16.0,1.0,1.0,1.0
86,emitter_or_generator,False,False,248.66666666666663,0.5576985677083334,0.4881388346354167,0.0,0.5229086084928904,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.4410338642996109,0.5088704427083334,0.9352248280873052,0.0,0.0,0.0,0.0,0.0,205.77083333333331,248.66666666666663,1.1666666666666667,1.7838770391476029,1.0,0.5576985677083334,0.9713541666666666,0.4881388346354167,-0.0093180338541666,0.0,1.0,0.4410338642996109,0.5589661357003891,35.34284963103489,0.0,0.0,0.0,0.0,0.9352248280873052,0.5229288736979166,0.4770711263020833,0.5580286450289214,0.5229086084928904,1.0,False,False,emitter_or_generator,16.0,1.0,0.0,1.0
89,emitter_or_generator,False,False,239.33333333333331,0.5435282389322916,0.5192769368489584,0.0,0.4975096076953169,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.5004825814688716,0.5132242838541666,0.881342000502256,0.0,0.0,0.0,0.0,0.0,184.3125,239.33333333333331,1.5,1.9841991231132723,1.0,0.5435282389322916,0.9348958333333334,0.5192769368489584,0.0060221354166666,0.0,1.0,0.5004825814688716,0.4995174185311284,31.495834984499705,0.0,0.0,0.0,0.0,0.881342000502256,0.4975179036458333,0.5024820963541666,0.4776594290975071,0.4975096076953169,1.0,False,False,emitter_or_generator,16.0,1.0,0.0,1.0
94,emitter_or_generator,True,False,238.0,0.97021484375,0.0299275716145833,0.529296875,0.7360834078613836,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.4190549145412816,0.4456787109375,0.8245612598976851,0.1692708333333333,0.1692708333333333,0.0,0.4609375,0.9375,233.77083333333331,238.0,1.1666666666666667,0.557359614764368,1.0,0.97021484375,0.9296875,0.0299275716145833,-0.0211995442708333,2.833333333333333,0.8307291666666666,0.4190549145412816,0.5809450854587184,166666716.1451617,0.4609375,0.9375,0.65625,0.529296875,0.8245612598976851,0.7439778645833334,0.2560221354166667,0.719365806710444,0.7360834078613836,0.8307291666666666,True,False,emitter_or_generator,16.0,1.0,0.75,1.0
109,transported_identity,True,False,260.0,0.767974853515625,0.3178812662760417,0.0319010416666666,0.4415683506673207,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.5538036776887768,0.5139973958333334,0.8242933957146704,0.0911458333333333,0.0911458333333333,0.0,0.0,0.4375,207.71875,260.0,1.0,1.3842915109993914,0.90625,0.767974853515625,1.015625,0.3178812662760417,-0.0234781901041666,1.3333333333333333,0.9088541666666666,0.5538036776887768,0.4461963223112232,54.5243521797897,0.0,0.4375,0.0911458333333333,0.0319010416666666,0.8242933957146704,0.4489542643229167,0.5510457356770834,0.4039551557048912,0.4415683506673207,0.9088541666666666,True,False,transported_identity,16.0,1.0,0.125,1.0
118,localized_persistence,True,True,260.0,0.8185831705729166,0.5640869140625,0.0859375,0.4886691483932246,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.4873310094059055,0.5774739583333334,0.8233887004597444,0.0859375,0.0859375,0.0,0.0859375,0.6770833333333334,237.8125,260.0,2.0,1.1376399649829778,0.9140625,0.8185831705729166,1.015625,0.5640869140625,-0.0055135091145833,2.1666666666666665,0.9140625,0.4873310094059055,0.5126689905940945,150.33412392088954,0.0859375,0.6770833333333334,0.0859375,0.0859375,0.8233887004597444,0.5388387044270834,0.4611612955729167,0.4321460199177407,0.4886691483932246,0.9140625,True,True,localized_persistence,16.0,1.0,0.9375,1.0
122,transported_identity,True,False,217.33333333333331,0.7763468424479166,0.2498982747395833,0.2498697916666666,0.27428250731583,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.3305278139819431,0.3052775065104167,0.7477306515738767,0.1979166666666666,0.1979166666666666,0.0,0.1979166666666666,0.3619791666666667,139.90625,217.33333333333331,1.6666666666666667,1.3775634323964532,1.0,0.7763468424479166,0.8489583333333334,0.2498982747395833,-0.03802490234375,0.5,0.8020833333333334,0.3305278139819431,0.6694721860180568,166666675.95389688,0.1979166666666666,0.3619791666666667,0.3463541666666667,0.2498697916666666,0.7477306515738767,0.2815958658854167,0.7184041341145834,0.4386854104875773,0.27428250731583,0.8020833333333334,True,False,transported_identity,16.0,1.0,0.25,1.0
126,transported_identity,True,False,139.33333333333334,0.7672526041666666,0.2598470052083333,0.3860677083333333,0.094407526683902,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,0.2365687428436081,0.1922098795572916,0.5425994123764891,0.4088541666666667,0.4088541666666667,0.0,0.4088541666666667,0.40625,93.47916666666669,139.33333333333334,1.8333333333333333,1.2940386809278832,0.8333333333333334,0.7672526041666666,0.5442708333333334,0.2598470052083333,-0.0400390625,0.3333333333333333,0.5911458333333334,0.2365687428436081,0.7634312571563919,9.019362758924595,0.4088541666666667,0.40625,0.34375,0.3860677083333333,0.5425994123764891,0.10198974609375,0.89801025390625,0.232830312704859,0.094407526683902,0.5911458333333333,True,False,transported_identity,16.0,1.0,0.1875,1.0
