rule,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index
145,bernoulli_050,256,256,emitter,True,0.3702564165286053,0.3589324951171875,0.9485526575030779,0.0,0.0,0.0,0.0,0.64453125,236.71875,260.0,1.0,0.8171600018364332,0.96875,0.7920684814453125,1.015625,0.5812835693359375,0.00921630859375,3.0,1.0,0.3702564165286053,0.6297435834713947,50.54057112632375,0.0,0.64453125,0.0,0.0,0.9485526575030779,0.605377197265625,0.394622802734375,0.800805181241926,0.5706898773518649
145,bernoulli_025,256,256,emitter,True,0.3700725392144942,0.3670806884765625,0.9477118820762755,0.0,0.0,0.0,0.0,0.66015625,237.875,260.0,1.0,0.7924919413079142,0.97265625,0.80914306640625,1.015625,0.589935302734375,0.009490966796875,3.0,1.0,0.3700725392144942,0.6299274607855059,50.81256401799052,0.0,0.66015625,0.0,0.0,0.9477118820762755,0.6046142578125,0.3953857421875,0.8054400465998277,0.5704925729105007
145,single_seed,256,256,emitter,True,0.5266141780155642,0.375,0.8648492366100192,0.0,0.0,0.0,0.0,0.0,260.0,260.0,1.0,0.73237213392523,1.0,0.82421875,1.015625,0.65234375,-0.03125,0.0,1.0,0.5266141780155642,0.4733858219844358,316.0131608580148,0.0,0.0,0.0,0.0,0.8648492366100192,0.5859375,0.4140625,0.5328209392065284,0.5592386735888465
145,single_seed,256,512,emitter,False,0.6822410019455253,0.375,0.7750133341674849,0.0,0.0,0.0,0.0,0.0,260.0,260.0,1.0,0.7254340770932185,1.0,0.603515625,1.015625,0.646484375,0.0078125,0.0,1.0,0.6822410019455253,0.3177589980544747,22.17129693067173,0.0,0.0,0.0,0.0,0.7750133341674849,0.58203125,0.41796875,0.2823668018127893,0.577914753636715
145,bernoulli_025,256,512,emitter,True,0.3695116451278271,0.36663055419921875,0.9478012001957853,0.0,0.0,0.0,0.0,0.5546875,190.921875,260.0,1.0,0.7850711063634429,0.90234375,0.803955078125,1.015625,0.585113525390625,0.00823974609375,3.0,1.0,0.3695116451278271,0.6304883548721729,64.62152513859209,0.0,0.5546875,0.0,0.0,0.9478012001957853,0.6062774658203125,0.3937225341796875,0.8068483100417759,0.5717579249260781
145,bernoulli_050,256,512,emitter,True,0.3697484235355362,0.35791778564453125,0.9486904959819591,0.0,0.0,0.0,0.0,0.4609375,182.421875,260.0,1.0,0.8157002226064752,0.91796875,0.7807159423828125,1.015625,0.58013916015625,0.008056640625,0.0,1.0,0.3697484235355362,0.6302515764644638,67.53546244244536,0.0,0.4609375,0.0,0.0,0.9486904959819591,0.6055450439453125,0.3944549560546875,0.8011344567097083,0.570673673434081
145,single_seed,512,256,global_periodic_artifact,False,0.45065028021442494,0.375,0.9093170179071565,0.0,0.0,0.0,0.0,1.0,516.0,516.0,1.0,0.695430456834198,1.0,0.65625,1.0078125,0.4921875,-0.01171875,3.0,1.0,0.45065028021442494,0.549349719785575,545.2250830935068,0.0,1.0,0.0,0.0,0.9093170179071565,0.5859375,0.4140625,0.6550129051565153,0.5586822347515021
145,bernoulli_025,512,256,global_periodic_artifact,False,0.3647508528265107,0.360076904296875,0.9441989473531781,0.0,0.0,0.0,0.0,0.91796875,488.0625,516.0,1.0,0.6848009617846796,0.9765625,0.85394287109375,1.0078125,0.64215087890625,-0.0018463134765625,3.0,1.0,0.3647508528265107,0.6352491471734893,47.17467469101416,0.0,0.91796875,0.0,0.0,0.9441989473531781,0.623443603515625,0.376556396484375,0.8313319269111258,0.5865997771200345
145,bernoulli_050,512,256,global_periodic_artifact,False,0.36357000696728803,0.3625335693359375,0.9437771889416465,0.0,0.0,0.0,0.0,0.8984375,481.171875,516.0,1.0,0.6776325974498316,0.97265625,0.8368072509765625,1.0078125,0.6399383544921875,0.000823974609375,3.0,1.0,0.36357000696728803,0.636429993032712,49.99636234369941,0.0,0.8984375,0.0,0.0,0.9437771889416465,0.62298583984375,0.37701416015625,0.834968654981365,0.5851159570669234
145,two_cell_seed,256,256,global_periodic_artifact,False,0.5256566147859922,0.375,0.8663736802341923,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.0,0.6306769669681381,1.0,0.83203125,1.015625,0.66796875,0.0078125,3.0,1.0,0.5256566147859922,0.47434338521400776,316.0131608580148,0.0,1.0,0.0,0.0,0.8663736802341923,0.578125,0.421875,0.5287993859301902,0.5517821579409953
