rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,depends_left_metric,depends_center_metric,depends_right_metric,relation_degree_metric,relation_complete_metric,self_only_metric,no_local_self_relation_metric,left_right_asymmetry_metric,temporal_irreversibility_proxy_metric,directional_consequence_metric,DAR_complete_structural_metric,DAR_asymmetric_structural_metric,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max_metric,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift_metric,motif_survival_depth,motif_material_turnover_metric,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index_metric,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index_metric,distinction_survival,DAR_complete_metric,DAR_asymmetric_metric,classification_metric,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
64,collapse,False,False,4.0,1.0,0.0,1.0,0.0,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,0.0009572069932514,0.0,0.0026322997357635,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.5,0.8486393252838069,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0009572069932514,0.9990427930067484,0.0,1.0,1.0,1.0,1.0,0.0026322997357635,0.0,1.0,0.0110254524923617,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
68,frozen_order,True,True,260.0,1.0,0.0,1.0,0.2765895915464003,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,0.159586826032547,0.1593729654947916,0.4489558617495007,0.0,0.0,0.0,1.0,1.0,259.96875,260.0,1.0,0.0520453754980842,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.159586826032547,0.8404131739674531,500000044.8708996,1.0,1.0,1.0,1.0,0.4489558617495007,0.3187459309895833,0.6812540690104166,0.995722070811022,0.2765895915464003,1.0,True,True,frozen_order,15.0,0.875,1.0,0.9375
72,frozen_order,True,False,217.33333333333331,1.0,0.0,1.0,0.0160215052817886,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,0.0374851647363407,0.03668212890625,0.1818166181127514,0.3125,0.3125,0.0,1.0,1.0,179.30208333333334,217.33333333333331,1.6666666666666667,0.334162286625318,0.6875,1.0,0.8489583333333334,0.0,-0.01953125,1.0,0.6875,0.0374851647363407,0.9625148352636592,166666704.41878363,1.0,1.0,1.0,1.0,0.1818166181127514,0.03668212890625,0.96331787109375,0.3495296943021116,0.0160215052817886,0.6875,True,False,frozen_order,3.0,0.125,1.0,0.1875
76,frozen_order,True,False,260.0,1.0,0.0,1.0,0.317317253296236,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.1911154424170111,0.1910196940104166,0.4999821488501084,0.0,0.0,0.0,1.0,1.0,259.9895833333333,260.0,1.1666666666666667,0.3813196881777848,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.1911154424170111,0.8088845575829887,333333410.10055685,1.0,1.0,1.0,1.0,0.4999821488501084,0.3445231119791667,0.6554768880208334,0.8349012079007777,0.317317253296236,1.0,True,False,frozen_order,16.0,1.0,1.0,1.0
77,frozen_order,False,False,260.0,1.0,0.0,1.0,0.9478548745579826,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,0.5003497844849425,0.5007731119791666,0.9353238519457494,0.0,0.0,0.0,1.0,1.0,259.96875,260.0,1.0,0.2686073824135844,1.0,1.0,1.015625,0.0,-0.01171875,1.0,1.0,0.5003497844849425,0.4996502155150575,333333457.7125552,1.0,1.0,1.0,1.0,0.9353238519457494,0.9479777018229166,0.0520222981770833,0.9406057472828736,0.9478548745579826,1.0,False,False,frozen_order,16.0,1.0,1.0,1.0
90,collapse,False,False,128.0,1.0,0.0,1.0,0.0,True,False,True,2,True,False,True,0.0,0.0,0.0,False,False,True,False,True,2,True,False,True,0.0,0.0,0.0,False,False,0.1269752512336859,0.0,0.32382074681931,1.0,1.0,0.0,1.0,1.0,120.25,128.0,2.0,1.129603847387976,1.0,1.0,0.5,0.0,-0.0625,1.0,0.0,0.1269752512336859,0.873024748766314,0.0,1.0,1.0,1.0,1.0,0.32382074681931,0.0,1.0,0.2730208779832813,0.0,0.0,False,False,collapse,16.0,1.0,1.0,1.0
99,chaotic,False,False,260.0,0.7185872395833334,0.4185384114583333,0.0045572916666666,0.8320826157372601,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,0.4956596562525332,0.4962158203125,0.8725819986405351,0.0,0.0,0.0,0.0,0.03125,259.9895833333333,260.0,1.0,0.5652630217029958,1.0,0.7185872395833334,1.015625,0.4185384114583333,-0.0151774088541666,0.0,1.0,0.4956596562525332,0.5043403437474668,83.84649538642948,0.0,0.03125,0.0130208333333333,0.0045572916666666,0.8725819986405351,0.8323974609375,0.1676025390625,0.8273325172097646,0.8320826157372601,1.0,False,False,chaotic,16.0,1.0,1.0,1.0
102,collapse,False,False,173.33333333333334,0.83331298828125,0.16668701171875,0.3673177083333332,0.0,False,True,True,1,True,False,False,0.5,0.0,1.0,False,False,False,True,True,1,True,False,False,0.5,0.0,1.0,False,False,0.255370183368292,0.0,0.6443907567365608,1.0,1.0,0.0,0.3828125,0.0,144.94791666666666,173.33333333333334,1.6666666666666667,1.2946101786440865,1.0,0.83331298828125,0.6770833333333334,0.16668701171875,-0.0625,0.0,0.0,0.255370183368292,0.7446298166317079,0.0,0.3828125,0.0,0.3385416666666667,0.3673177083333332,0.6443907567365608,0.0,1.0,0.5499240131475395,0.0,0.0,False,False,collapse,16.0,1.0,1.0,1.0
128,collapse,False,False,5.333333333333333,1.0,0.0,1.0,0.0,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,0.0009617984836048,0.0,0.0026569638148271,1.0,1.0,0.0,1.0,1.0,4.052083333333333,5.333333333333333,1.3333333333333333,0.826678143101684,0.0,1.0,0.0208333333333333,0.0,-0.0625,1.0,0.0,0.0009617984836048,0.9990382015163952,0.0,1.0,1.0,1.0,1.0,0.0026569638148271,0.0,1.0,0.0114035624889503,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
170,transported_identity,False,False,196.0,0.846923828125,0.166015625,0.1184895833333333,0.3001085268322232,False,False,True,1,True,False,True,0.5,0.0,1.0,False,False,False,False,True,1,True,False,True,0.5,0.0,1.0,False,False,0.21722412109375,0.21722412109375,0.5183917615663803,0.0,0.0,0.0,0.0,0.0,194.39583333333331,196.0,1.5,0.8686767588069556,1.0,0.846923828125,0.765625,0.166015625,-0.05303955078125,0.0,1.0,0.21722412109375,0.78277587890625,333333402.2670947,0.0,0.0,0.3385416666666667,0.1184895833333333,0.5183917615663803,0.3184814453125,0.6815185546875,0.7104046923999636,0.3001085268322232,1.0,False,False,transported_identity,16.0,1.0,1.0,1.0
204,frozen_order,False,False,260.0,1.0,0.0,1.0,0.2996731738534633,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,0.2146402994791666,0.2146402994791666,0.5150480100739533,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.3333333333333333,0.8241139574915004,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.2146402994791666,0.7853597005208334,333333401.40483993,1.0,1.0,1.0,1.0,0.5150480100739533,0.3190104166666667,0.6809895833333334,0.721688645158423,0.2996731738534633,1.0,False,False,frozen_order,16.0,1.0,1.0,1.0
240,transported_identity,False,False,196.0,0.84735107421875,0.16778564453125,0.1184895833333333,0.2989234658577296,True,False,False,1,True,False,True,0.5,0.0,1.0,False,False,True,False,False,1,True,False,True,0.5,0.0,1.0,False,False,0.215057373046875,0.215057373046875,0.5171416529380725,0.0,0.0,0.0,0.0,0.0,194.26041666666663,196.0,1.3333333333333333,0.8176413786282003,1.0,0.84735107421875,0.765625,0.16778564453125,-0.0521240234375,0.0,1.0,0.215057373046875,0.784942626953125,333333401.46563727,0.0,0.0,0.3385416666666667,0.1184895833333333,0.5171416529380725,0.3187255859375,0.6812744140625,0.7208783830517613,0.2989234658577296,1.0,False,False,transported_identity,16.0,0.9375,1.0,1.0
