audit_id,status,artifact,section,expected,actual,mismatch_count,path_row_count,overall_status
scored_manifest_bundle_digest_present,PASS,existence_recovery_by_distinction.csv,,,,,,
scored_registry_digest_consistent,PASS,existence_recovery_by_distinction.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,existence_recovery_by_distinction.csv,,,,0,,
scored_file_nonempty,PASS,optimized_recovery_diagnostic.csv,,,,,,
scored_registry_digest_present,PASS,optimized_recovery_diagnostic.csv,,,,,,
scored_manifest_bundle_digest_present,PASS,optimized_recovery_diagnostic.csv,,,,,,
scored_registry_digest_consistent,PASS,optimized_recovery_diagnostic.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,optimized_recovery_diagnostic.csv,,,,0,,
scored_file_nonempty,PASS,provenance_gap_by_distinction.csv,,,,,,
scored_registry_digest_present,PASS,provenance_gap_by_distinction.csv,,,,,,
scored_manifest_bundle_digest_present,PASS,provenance_gap_by_distinction.csv,,,,,,
scored_registry_digest_consistent,PASS,provenance_gap_by_distinction.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,provenance_gap_by_distinction.csv,,,,0,,
scored_file_nonempty,PASS,path_ensemble_rows.csv,,,,,,
scored_registry_digest_present,PASS,path_ensemble_rows.csv,,,,,,
scored_manifest_bundle_digest_present,PASS,path_ensemble_rows.csv,,,,,,
scored_registry_digest_consistent,PASS,path_ensemble_rows.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,path_ensemble_rows.csv,,,,0,,
scored_file_nonempty,PASS,cascade_evidence_summary.csv,,,,,,
scored_registry_digest_present,PASS,cascade_evidence_summary.csv,,,,,,
scored_manifest_bundle_digest_present,PASS,cascade_evidence_summary.csv,,,,,,
scored_registry_digest_consistent,PASS,cascade_evidence_summary.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,cascade_evidence_summary.csv,,,,0,,
scored_file_nonempty,PASS,theorem_transfer_readiness.csv,,,,,,
scored_registry_digest_present,PASS,theorem_transfer_readiness.csv,,,,,,
scored_manifest_bundle_digest_present,PASS,theorem_transfer_readiness.csv,,,,,,
scored_registry_digest_consistent,PASS,theorem_transfer_readiness.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,theorem_transfer_readiness.csv,,,,0,,
scored_file_nonempty,PASS,channel_matrix.csv,,,,,,
scored_registry_digest_present,PASS,channel_matrix.csv,,,,,,
scored_manifest_bundle_digest_present,PASS,channel_matrix.csv,,,,,,
scored_registry_digest_consistent,PASS,channel_matrix.csv,,,,0,,
scored_manifest_bundle_digest_consistent,PASS,channel_matrix.csv,,,,0,,
optimized_rows_diagnostic_only,PASS,optimized_recovery_diagnostic.csv,,,,0,,
optimized_gap_rows_not_promoted,PASS,provenance_gap_by_distinction.csv,,,,0,,
readiness_optimized_evidence_not_transfer_ready,PASS,theorem_transfer_readiness.csv,,,,0,,
cascade_ready_has_path_rows,PASS,path_ensemble_rows.csv,,,,,48,
cascade_summary_theorem_eligible,PASS,cascade_evidence_summary.csv,,,,0,,
overall_status_not_only_evidence,PASS,registry_first_formal_consumption_bundle.json,,,,,,registry_first_theorem_transfer_ready
