witness_id,carrier_id,channel_id,declared_source_distinction_id,declared_target_observation_id,declared_contract,exact_declared_recovery,ambiguous_target_observations,observation_to_source_labels,recovery_status
same_optimized_success_different_declared_recovery_v0,X2_dn,declared_d_in_target_first,D_d,O_first,target first bit must recover source first bit over support,1,,0->{0};1->{1},declared_recovery_pass
same_optimized_success_different_declared_recovery_v0,X2_dn,shifted_d_in_target_second,D_d,O_first,target first bit must recover source first bit over support,0,"0->{0,1};1->{0,1}","0->{0,1};1->{0,1}",declared_recovery_fail
