condition,alpha,T,control,sample_n,effective_rank,covariance_spectrum_entropy,top_eigenvalue_fraction,mean_pairwise_distance_sketch,median_pairwise_distance_sketch,nearest_neighbor_distance_sketch,collapse_score,effective_rank_early,covariance_spectrum_entropy_early,top_eigenvalue_fraction_early,mean_pairwise_distance_sketch_early,median_pairwise_distance_sketch_early,nearest_neighbor_distance_sketch_early,collapse_score_early,effective_rank_middle,covariance_spectrum_entropy_middle,top_eigenvalue_fraction_middle,mean_pairwise_distance_sketch_middle,median_pairwise_distance_sketch_middle,nearest_neighbor_distance_sketch_middle,collapse_score_middle,effective_rank_late,covariance_spectrum_entropy_late,top_eigenvalue_fraction_late,mean_pairwise_distance_sketch_late,median_pairwise_distance_sketch_late,nearest_neighbor_distance_sketch_late,collapse_score_late,effective_rank_A,covariance_spectrum_entropy_A,top_eigenvalue_fraction_A,mean_pairwise_distance_sketch_A,median_pairwise_distance_sketch_A,nearest_neighbor_distance_sketch_A,collapse_score_A,effective_rank_B,covariance_spectrum_entropy_B,top_eigenvalue_fraction_B,mean_pairwise_distance_sketch_B,median_pairwise_distance_sketch_B,nearest_neighbor_distance_sketch_B,collapse_score_B,rank_retention_late_over_early,segment_geometry_drift,component_rank_balance,component_distance_balance,component_erasure_score,gpu_used,p_viable_T,mean_hazard,late_hazard
coupled,0.45,900,none,270000,1.9322813749313354,0.6587013602256775,0.860043466091156,1.3981081247329712,1.173292636871338,0.2437663972377777,0.3410313923313095,1.4882245063781738,0.39758384227752686,0.9054814577102661,1.109686017036438,0.9391145706176758,0.09532812982797623,0.401892995361414,1.6073006391525269,0.4745561182498932,0.8904123306274414,0.798856258392334,0.6616150140762329,0.08434426039457321,0.38353843242451646,1.7530741691589355,0.561370849609375,0.866659939289093,0.6721864342689514,0.5548758506774902,0.07807952910661697,0.3632303158419812,1.3378016948699951,0.2910277843475342,0.9411923885345459,1.2640689611434937,1.0455288887023926,0.10885687172412872,0.42775227778916036,3.00325083732605,1.0996953248977661,0.6454946994781494,0.5015714168548584,0.45857715606689453,0.08718108385801315,0.24979698765714733,1.0,0.2648496627807617,0.4454512018253891,0.39679118170984135,0.6032088182901587,1.0,0.9988870370370371,1.6684588764015327e-06,0.0
coupled,0.45,900,rigid_collapse,270000,1.9322816133499146,0.658701479434967,0.8600435853004456,0.041943248361349106,0.03519880771636963,0.007313063368201256,0.3410313646026563,1.4882270097732544,0.3975854814052582,0.9054811596870422,0.033290598541498184,0.028173454105854034,0.002860039472579956,0.40189259101850494,1.6073002815246582,0.4745559096336365,0.8904122710227966,0.023965705186128616,0.019848471507430077,0.002530550118535757,0.38353848503220156,1.7530759572982788,0.561371922492981,0.8666597008705139,0.02016562782227993,0.016646314412355423,0.0023426245898008347,0.36323007992171286,1.3378010988235474,0.291027307510376,0.9411925673484802,0.03792208805680275,0.03136584535241127,0.0032658735290169716,0.4277523868490054,3.0032525062561035,1.0996959209442139,0.6454944014549255,0.015047184191644192,0.013757362961769104,0.002615641802549362,0.24979688351840032,1.0,0.2648489475250244,0.4454507558178213,0.3967920798323476,0.6032079201676523,1.0,0.9988870370370371,1.6684588764015327e-06,0.0
coupled,0.45,900,noise_fakeout,270000,8.633695602416992,2.155672550201416,0.2883927822113037,1.5608189105987549,1.5165550708770752,0.5654934048652649,0.1038023248055617,3.8494088649749756,1.3479195833206177,0.4403535723686218,1.2173930406570435,1.1619974374771118,0.2102646827697754,0.20621070069437428,4.385240077972412,1.478244423866272,0.3677503168582916,0.8909148573875427,0.8552350401878357,0.16769146919250488,0.18569274266719568,4.772191524505615,1.5628056526184082,0.3197435438632965,0.7418801784515381,0.7171003222465515,0.14793257415294647,0.17324442471365317,5.916483402252197,1.7777422666549683,0.3265618681907654,1.4516927003860474,1.410292148590088,0.36100006103515625,0.14458214411016623,6.858487606048584,1.9254869222640991,0.21034705638885498,0.533775806427002,0.5250359773635864,0.14084629714488983,0.1272509482906497,1.0,0.9227826595306396,0.8626513222877852,0.36769200966916443,0.6323079903308355,1.0,0.9988870370370371,1.6684588764015327e-06,0.0
coupled,0.45,900,single_component_erasure,270000,1.3391226530075073,0.29201462864875793,0.9411085247993469,1.2642189264297485,1.0456390380859375,0.10981998592615128,0.42751071591490014,1.0930962562561035,0.08901427686214447,0.9844251275062561,1.0128538608551025,0.8470081090927124,0.027210960164666176,0.477761114430871,1.154746174812317,0.14388057589530945,0.9720377326011658,0.7105507850646973,0.5771213173866272,0.023746121674776077,0.46409178570051396,1.2125550508499146,0.19272971153259277,0.9597443342208862,0.5811490416526794,0.46529775857925415,0.021706122905015945,0.4519661554255418,1.3378016948699951,0.2910277843475342,0.9411923885345459,1.2640689611434937,1.0455288887023926,0.10885687172412872,0.42775227778916036,3.0032525062561035,1.0996959209442139,0.6454944014549255,0.015047184191644192,0.013757362961769104,0.002615641802549362,0.24979688351840032,1.0,0.11945879459381104,0.44545095428479886,0.011903768428925198,0.9880962315710748,1.0,0.9988870370370371,1.6684588764015327e-06,0.0
coupled,0.45,1500,none,270000,2.423826217651367,0.885347306728363,0.8047353625297546,1.2939939498901367,1.1037712097167969,0.27958011627197266,0.2920708985884124,1.6057759523391724,0.47360706329345703,0.8904631733894348,1.0406183004379272,0.8814641833305359,0.10745148360729218,0.38376284772384694,1.905975580215454,0.6449940204620361,0.8475995063781738,0.6912670731544495,0.5764625072479248,0.08962243795394897,0.3441185145560852,2.2052314281463623,0.79083251953125,0.7999683618545532,0.5948272943496704,0.5064702033996582,0.0858878642320633,0.31198995218211634,1.6190836429595947,0.48186033964157104,0.8889923095703125,1.163058876991272,0.9772353172302246,0.12943896651268005,0.38181293013994333,3.919675350189209,1.3660088777542114,0.5297413468360901,0.495196670293808,0.4630737602710724,0.10002930462360382,0.2032654451398994,1.0,0.5994554758071899,0.4130657511932561,0.425770939107431,0.5869342488067439,1.0,0.9989025925925926,1.9776078856345836e-06,0.0
coupled,0.45,1500,rigid_collapse,270000,2.4238247871398926,0.8853467702865601,0.8047354221343994,0.03881983831524849,0.03311315178871155,0.00838746502995491,0.29207102061883095,1.605775237083435,0.47360658645629883,0.8904632925987244,0.031218577176332474,0.02644394338130951,0.0032237153500318527,0.38376295306239444,1.905975580215454,0.6449940204620361,0.8475995063781738,0.020738044753670692,0.017293913289904594,0.0026888814754784107,0.3441185145560852,2.205230712890625,0.7908321022987366,0.7999684810638428,0.017844857648015022,0.015194147825241089,0.002576852450147271,0.3119900218035019,1.6190837621688843,0.4818604290485382,0.8889923095703125,0.03489178791642189,0.029317079111933708,0.003883310128003359,0.3818129127614811,3.919675827026367,1.366008996963501,0.5297413468360901,0.014855939894914627,0.013892250135540962,0.0030010598711669445,0.20326542543849616,1.0,0.5994554758071899,0.4130657313559499,0.42577181572064554,0.5869342686440501,1.0,0.9989025925925926,1.9776078856345836e-06,0.0
coupled,0.45,1500,noise_fakeout,270000,8.168354034423828,2.1002674102783203,0.35000789165496826,1.427992820739746,1.371199369430542,0.5155600905418396,0.10907083171585265,3.7085485458374023,1.310640573501587,0.504118800163269,1.145824909210205,1.078270673751831,0.19779184460639954,0.21237967290027224,4.667248249053955,1.5405696630477905,0.35578736662864685,0.7624959349632263,0.7354268431663513,0.1502053588628769,0.17645247853169868,5.019045352935791,1.6132397651672363,0.29516640305519104,0.6472253203392029,0.6273549795150757,0.1333480179309845,0.16613930305613162,5.377556324005127,1.6822340488433838,0.4026176929473877,1.3158975839614868,1.2609518766403198,0.3154216408729553,0.15679986960460063,6.785205841064453,1.9147446155548096,0.22761666774749756,0.5139303803443909,0.5058729648590088,0.1349470615386963,0.12844875529498812,1.0,1.3104968070983887,0.792541368672981,0.3905549995746724,0.6094450004253276,1.0,0.9989025925925926,1.9776078856345836e-06,0.0
coupled,0.45,1500,single_component_erasure,270000,1.6208713054656982,0.48296383023262024,0.8889037370681763,1.1631991863250732,0.9773515462875366,0.1302124410867691,0.38155250046598976,1.161845326423645,0.15000954270362854,0.9702967405319214,0.9464558959007263,0.7907259464263916,0.030443353578448296,0.46256778307738905,1.3130334615707397,0.27234014868736267,0.9370222091674805,0.5997793674468994,0.48792803287506104,0.02527751587331295,0.4323326992947685,1.4238569736480713,0.3533693552017212,0.9111247062683105,0.5017346143722534,0.41287481784820557,0.02371290884912014,0.41256559725755243,1.6190836429595947,0.48186033964157104,0.8889923095703125,1.163058876991272,0.9772353172302246,0.12943896651268005,0.38181293013994333,3.919675827026367,1.366008996963501,0.5297413468360901,0.014855939894914627,0.013892250135540962,0.0030010598711669445,0.20326542543849616,1.0,0.26201164722442627,0.4130657009429018,0.012773162381379693,0.9872268376186203,1.0,0.9989025925925926,1.9776078856345836e-06,0.0
coupled,0.45,2400,none,270000,3.1483867168426514,1.1468901634216309,0.7278745174407959,1.224717378616333,1.06483793258667,0.31030282378196716,0.24105756484561852,1.7718442678451538,0.5720210075378418,0.866523027420044,0.9814052581787109,0.8283089399337769,0.11761394888162613,0.36077062899980494,2.4194066524505615,0.8835222721099854,0.7711514234542847,0.6182601451873779,0.5271875858306885,0.09451396763324738,0.29244839869611217,2.7694451808929443,1.0186469554901123,0.7196177840232849,0.5674730539321899,0.5019689798355103,0.09322293102741241,0.26529103144116023,2.0447328090667725,0.7152670621871948,0.8145074248313904,1.0968992710113525,0.9398770332336426,0.15159901976585388,0.32843604437872026,4.898220539093018,1.588871955871582,0.42082688212394714,0.4887440800666809,0.46505028009414673,0.11084562540054321,0.16954266009079616,1.0,0.9976009130477905,0.41744400701185796,0.44556878920710175,0.5825559929881421,1.0,0.9989085185185186,1.668495979626857e-06,0.0
coupled,0.45,2400,rigid_collapse,270000,3.1483845710754395,1.1468894481658936,0.727874755859375,0.03674154728651047,0.03194516897201538,0.009309140965342522,0.24105768953353257,1.771844744682312,0.5720212459564209,0.8665229082107544,0.029442179948091507,0.024849291890859604,0.003528574714437127,0.36077056693686227,2.4194071292877197,0.8835225105285645,0.7711514234542847,0.018547838553786278,0.015815656632184982,0.002835616935044527,0.2924483579141116,2.7694458961486816,1.018647313117981,0.7196177244186401,0.01702423021197319,0.015059102326631546,0.0027968878857791424,0.2652909811019492,2.0447328090667725,0.7152670621871948,0.8145074248313904,0.032906997948884964,0.0281963050365448,0.0045480914413928986,0.32843604437872026,4.898220539093018,1.588871955871582,0.42082691192626953,0.0146623644977808,0.013951538130640984,0.003325532888993621,0.16954266009079616,1.0,0.9976011514663696,0.41744400701185796,0.4455698000940747,0.5825559929881421,1.0,0.9989085185185186,1.668495979626857e-06,0.0
