alpha,T,metric,null,delta
0.5,900,effective_rank,independent_alpha0,-0.0016274452209472656
0.5,900,covariance_spectrum_entropy,independent_alpha0,-0.0008448362350463867
0.5,900,mean_pairwise_distance_sketch,independent_alpha0,-0.08987653255462646
0.5,900,collapse_score,independent_alpha0,0.00019007038586454916
0.5,900,component_rank_balance,independent_alpha0,0.0048671095508533435
0.5,900,component_distance_balance,independent_alpha0,0.037344732946821446
0.5,1500,effective_rank,product,-0.05209088325500488
0.5,1500,covariance_spectrum_entropy,product,-0.021408259868621826
0.5,1500,mean_pairwise_distance_sketch,product,-0.04943978786468506
0.5,1500,collapse_score,product,0.004419383866929749
0.5,1500,component_rank_balance,product,0.03673776514014532
0.5,1500,component_distance_balance,product,0.021191433797590975
0.5,1500,effective_rank,shuffled,-0.05690336227416992
0.5,1500,covariance_spectrum_entropy,shuffled,-0.023363173007965088
0.5,1500,mean_pairwise_distance_sketch,shuffled,-0.06833553314208984
0.5,1500,collapse_score,shuffled,0.004820967278791943
0.5,1500,component_rank_balance,shuffled,0.035633446735411356
0.5,1500,component_distance_balance,shuffled,0.02757782119920882
0.5,1500,effective_rank,time_shuffled,-4.625686168670654
0.5,1500,covariance_spectrum_entropy,time_shuffled,-1.0721164345741272
0.5,1500,mean_pairwise_distance_sketch,time_shuffled,-0.49065327644348145
0.5,1500,collapse_score,time_shuffled,0.16900360058140518
0.5,1500,component_rank_balance,time_shuffled,-0.31239110140403475
0.5,1500,component_distance_balance,time_shuffled,-0.05325063609412245
0.5,1500,effective_rank,independent_alpha0,-0.04924511909484863
0.5,1500,covariance_spectrum_entropy,independent_alpha0,-0.02025049924850464
0.5,1500,mean_pairwise_distance_sketch,independent_alpha0,-0.05081677436828613
0.5,1500,collapse_score,independent_alpha0,0.004181389333772434
0.5,1500,component_rank_balance,independent_alpha0,0.03676063502147259
0.5,1500,component_distance_balance,independent_alpha0,0.0235922621725142
0.5,2400,effective_rank,product,-0.10482406616210938
0.5,2400,covariance_spectrum_entropy,product,-0.03304886817932129
0.5,2400,mean_pairwise_distance_sketch,product,0.0007359981536865234
0.5,2400,collapse_score,product,0.006023164585277074
0.5,2400,component_rank_balance,product,0.05799187822163265
0.5,2400,component_distance_balance,product,0.0041704551794837785
0.5,2400,effective_rank,shuffled,-0.10574555397033691
0.5,2400,covariance_spectrum_entropy,shuffled,-0.03333461284637451
0.5,2400,mean_pairwise_distance_sketch,shuffled,-0.007206439971923828
0.5,2400,collapse_score,shuffled,0.006074787950685584
0.5,2400,component_rank_balance,shuffled,0.058177107393277416
0.5,2400,component_distance_balance,shuffled,0.00044351875434789356
0.5,2400,effective_rank,time_shuffled,-5.38677716255188
0.5,2400,covariance_spectrum_entropy,time_shuffled,-1.0030978918075562
0.5,2400,mean_pairwise_distance_sketch,time_shuffled,-0.54327392578125
0.5,2400,collapse_score,time_shuffled,0.13754631763330444
0.5,2400,component_rank_balance,time_shuffled,-0.45299644943117395
0.5,2400,component_distance_balance,time_shuffled,-0.026902079577105886
0.5,2400,effective_rank,independent_alpha0,-0.10364317893981934
0.5,2400,covariance_spectrum_entropy,independent_alpha0,-0.03268253803253174
0.5,2400,mean_pairwise_distance_sketch,independent_alpha0,-0.007572054862976074
0.5,2400,collapse_score,independent_alpha0,0.005956976276783543
0.5,2400,component_rank_balance,independent_alpha0,0.05834406562090705
0.5,2400,component_distance_balance,independent_alpha0,0.0025356290464755293
0.525,900,effective_rank,product,-0.006237506866455078
0.525,900,covariance_spectrum_entropy,product,-0.003234565258026123
0.525,900,mean_pairwise_distance_sketch,product,-0.10499632358551025
0.525,900,collapse_score,product,0.0007273589321673546
0.525,900,component_rank_balance,product,0.008700504010142496
0.525,900,component_distance_balance,product,0.041049293505467044
0.525,900,effective_rank,shuffled,-0.008391976356506348
0.525,900,covariance_spectrum_entropy,shuffled,-0.004349410533905029
0.525,900,mean_pairwise_distance_sketch,shuffled,-0.13059890270233154
0.525,900,collapse_score,shuffled,0.0009778740740226666
0.525,900,component_rank_balance,shuffled,0.007336241091600748
0.525,900,component_distance_balance,shuffled,0.042926000569293854
0.525,900,effective_rank,time_shuffled,-3.4810298681259155
0.525,900,covariance_spectrum_entropy,time_shuffled,-1.032492756843567
0.525,900,mean_pairwise_distance_sketch,time_shuffled,-0.404193639755249
0.525,900,collapse_score,time_shuffled,0.18575079038658104
0.525,900,component_rank_balance,time_shuffled,-0.11567590383508425
0.525,900,component_distance_balance,time_shuffled,-0.09630637072654857
0.525,900,effective_rank,independent_alpha0,-0.0062847137451171875
0.525,900,covariance_spectrum_entropy,independent_alpha0,-0.0032590627670288086
0.525,900,mean_pairwise_distance_sketch,independent_alpha0,-0.1090627908706665
0.525,900,collapse_score,independent_alpha0,0.0007328519496874186
0.525,900,component_rank_balance,independent_alpha0,0.006749360401664906
0.525,900,component_distance_balance,independent_alpha0,0.034791168806162454
0.525,1500,effective_rank,product,-0.06464409828186035
0.525,1500,covariance_spectrum_entropy,product,-0.026598453521728516
0.525,1500,mean_pairwise_distance_sketch,product,-0.03575623035430908
0.525,1500,collapse_score,product,0.0054935249744051395
0.525,1500,component_rank_balance,product,0.039110457099266915
0.525,1500,component_distance_balance,product,0.01331670404632146
0.525,1500,effective_rank,shuffled,-0.06618571281433105
0.525,1500,covariance_spectrum_entropy,shuffled,-0.027224302291870117
0.525,1500,mean_pairwise_distance_sketch,shuffled,-0.04923677444458008
0.525,1500,collapse_score,shuffled,0.005622030166209602
0.525,1500,component_rank_balance,shuffled,0.038601414441368775
0.525,1500,component_distance_balance,shuffled,0.0236766864721914
0.525,1500,effective_rank,time_shuffled,-4.734332084655762
0.525,1500,covariance_spectrum_entropy,time_shuffled,-1.0899522304534912
0.525,1500,mean_pairwise_distance_sketch,time_shuffled,-0.4873530864715576
0.525,1500,collapse_score,time_shuffled,0.17131166193003367
0.525,1500,component_rank_balance,time_shuffled,-0.3240227688604857
0.525,1500,component_distance_balance,time_shuffled,-0.0671169040529152
0.525,1500,effective_rank,independent_alpha0,-0.0659017562866211
0.525,1500,covariance_spectrum_entropy,independent_alpha0,-0.02710902690887451
0.525,1500,mean_pairwise_distance_sketch,independent_alpha0,-0.05015099048614502
0.525,1500,collapse_score,independent_alpha0,0.005598368842703372
0.525,1500,component_rank_balance,independent_alpha0,0.039766151686492
0.525,1500,component_distance_balance,independent_alpha0,0.022331516939265328
0.525,2400,effective_rank,product,-0.12605810165405273
0.525,2400,covariance_spectrum_entropy,product,-0.03974282741546631
0.525,2400,mean_pairwise_distance_sketch,product,-0.00967860221862793
0.525,2400,collapse_score,product,0.0072431336991991
0.525,2400,component_rank_balance,product,0.060543968090086775
0.525,2400,component_distance_balance,product,0.006852530064083429
0.525,2400,effective_rank,shuffled,-0.12215113639831543
