witness_id,carrier_id,channel_id,source_count,output_support_size,output_support,source_entropy_bits,output_entropy_bits,conditional_output_entropy_bits,mutual_information_source_output_bits,deterministic_output_capacity_bits,output_weight_signature,per_source_output_count_signature,information_baseline_signature
same_mutual_information_different_declared_recovery_v0,X2_dn,transmit_declared_d,4,2,0;1,2.000000,1.000000,0.000000,1.000000,1.000000,0:2;1:2,00:1;01:1;10:1;11:1,I:1.000000|C:1.000000|H_Y:1.000000|H_Y_given_X:0.000000
same_mutual_information_different_declared_recovery_v0,X2_dn,transmit_nuisance_n,4,2,0;1,2.000000,1.000000,0.000000,1.000000,1.000000,0:2;1:2,00:1;01:1;10:1;11:1,I:1.000000|C:1.000000|H_Y:1.000000|H_Y_given_X:0.000000
