witness_id,carrier_id,channel_id,declared_source_distinction_id,declared_target_observation_id,declared_contract,exact_declared_recovery,ambiguous_outputs,output_to_source_labels,recovery_status
same_mutual_information_different_declared_recovery_v0,X2_dn,transmit_declared_d,D_d,O_y,binary output y must recover source bit d,1,,0->{0};1->{1},declared_recovery_pass
same_mutual_information_different_declared_recovery_v0,X2_dn,transmit_nuisance_n,D_d,O_y,binary output y must recover source bit d,0,"0->{0,1};1->{0,1}","0->{0,1};1->{0,1}",declared_recovery_fail
