registry_id,decoder_id,decoder_policy,source_distinction_id,target_distinction_id,target_label,decoded_source_label,uses_target_observation_only,eligible_for_declared_recovery,scope
reg_declared_D_A_E_A,dec_D_A_E_A_identity,declared,D_A,E_A,0,0,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_A_E_A,dec_D_A_E_A_identity,declared,D_A,E_A,1,1,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_B_E_B,dec_D_B_E_B_identity,declared,D_B,E_B,0,0,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_B_E_B,dec_D_B_E_B_identity,declared,D_B,E_B,1,1,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_C_E_C,dec_D_C_E_C_identity,declared,D_C,E_C,0,0,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_C_E_C,dec_D_C_E_C_identity,declared,D_C,E_C,1,1,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,000,000,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,001,001,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,010,010,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,011,011,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,100,100,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,101,101,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,110,110,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_joint_E_joint,dec_D_joint_E_joint_identity,declared,D_joint,E_joint,111,111,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_parity_E_parity,dec_D_parity_E_parity_identity,declared,D_parity,E_parity,0,0,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_parity_E_parity,dec_D_parity_E_parity_identity,declared,D_parity,E_parity,1,1,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_declared_D_trivial_E_trivial,dec_D_trivial,declared,D_trivial,E_trivial,*,*,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_bad_declared_D_A_E_A,dec_bad_D_A_constant_0,declared,D_A,E_A,0,0,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
reg_bad_declared_D_A_E_A,dec_bad_D_A_constant_0,declared,D_A,E_A,1,0,1,1,finite registry-first X3 stochastic channel probe; provenance gap measurement only
