channel_id,source_carrier_id,target_carrier_id,channel_family,natural_weight_row_totals,row_weight_total_constancy,seed_policy,params_json,scope
a_flip_noise_9_1_channel,X3,X3,natural_weight_bit_noise,10,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
a_preserved_bc_erased_channel,X3,X3,selective_distinction_preservation,4,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
ab_preserved_c_erased_channel,X3,X3,partial_joint_preservation,2,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
b_flip_noise_3_1_channel,X3,X3,natural_weight_bit_noise,4,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
b_flip_noise_9_1_channel,X3,X3,natural_weight_bit_noise,10,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
b_preserved_ac_erased_channel,X3,X3,selective_distinction_preservation,4,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
c_flip_noise_9_1_channel,X3,X3,natural_weight_bit_noise,10,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
c_preserved_ab_erased_channel,X3,X3,selective_distinction_preservation,4,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
collapse_to_000_channel,X3,X3,constant_output,1,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
copy_a_to_all_channel,X3,X3,deterministic_projection,1,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
identity_channel,X3,X3,identity,1,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
independent_bit_noise_729_81_9_1_channel,X3,X3,natural_weight_independent_bit_noise,1000,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
joint_cycle_channel,X3,X3,deterministic_relabeling,1,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
parity_preserved_scramble_channel,X3,X3,parity_preserving_scramble,4,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
rotate_bits_channel,X3,X3,deterministic_relabeling,1,constant,deterministic,{},finite registry-first X3 stochastic channel probe; provenance gap measurement only
