world,T,p_viable,closure_rate,raw_alternative_count,future_distinct_alternative_count,future_distinct_ratio,post_perturbation_future_distinctness,recoverable_alternative_count
W0_null_flat,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W10_noise_rich_control,50,1.0,0.06253924999999999,5000.0,4990.3,0.99806,0.99984,4990.3
W10_noise_rich_control,100,1.0,0.06259025,5000.0,4990.2,0.99804,0.99976,4990.2
W11_collapse_attractor_control,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W11_collapse_attractor_control,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.995224,0.25012219174876055,4976.12,3754.34,0.7544715251085252,0.9628399999999999,3754.34
W1_distinction_only,100,0.990796,0.25018182575131453,4953.98,3737.36,0.7544149895306529,0.96612,3737.36
W2_relation_without_history,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W2_relation_without_history,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W3_bias_asymmetry_only,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W3_bias_asymmetry_only,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W4_commutative_relation_history,50,0.999572,0.06253151457093113,4997.86,4938.48,0.9881189080811322,0.99956,4938.48
W4_commutative_relation_history,100,0.99956,0.06261104567889014,4997.8,4936.76,0.9877865527775798,0.9995999999999999,4936.76
W5_noncommutative_relation_history,50,0.9995440000000001,0.062439472869007966,4997.72,4984.32,0.9973187102761853,0.9997199999999999,4984.32
W5_noncommutative_relation_history,100,0.99954,0.06258257209179109,4997.7,4985.5,0.997558916938894,0.9998,4985.5
W6_noncommutative_no_relation_control,50,0.999532,0.06240693704630276,4997.66,4940.02,0.9884666070261358,0.99984,4940.02
W6_noncommutative_no_relation_control,100,0.999552,0.06252078790871667,4997.76,4936.92,0.9878264163585326,0.99968,4936.92
W7_reversible_history_control,50,0.961096,0.10514803159883895,4805.48,4793.5,0.9975066921558348,0.9995999999999999,4793.5
W7_reversible_history_control,100,0.923132,0.10513056621343075,4615.66,4603.88,0.9974483053496382,0.99976,4603.88
W8_random_order_history_control,50,0.995324,0.062355542129189,4976.62,4966.38,0.9979425194314914,0.9997199999999999,4966.38
W8_random_order_history_control,100,0.9913200000000001,0.06251178911840798,4956.6,4946.6,0.9979823722747867,0.9998,4946.6
W9_lock_in_history_control,50,0.995212,0.06628718705928488,4976.06,4965.82,0.997942141236644,0.9997199999999999,4965.82
W9_lock_in_history_control,100,0.990224,0.06666493532911003,4951.12,4940.5,0.9978550052459885,0.99992,4940.5
