world,T,asymmetric_slack_delta,noncommutative_asymmetry_delta,history_consequence_delta
W0_null_flat,50,-0.9974774987527365,-0.987952730429356,-1.0
W0_null_flat,100,-0.9974774987527365,-0.987952730429356,-1.0
W10_noise_rich_control,50,0.000582501247263445,0.010107269570643895,0.0
W10_noise_rich_control,100,0.000562501247263536,0.010087269570643986,0.0
W11_collapse_attractor_control,50,-0.9974774987527365,-0.987952730429356,-0.16382857142857143
W11_collapse_attractor_control,100,-0.9974774987527365,-0.987952730429356,-0.16257142857142848
W1_distinction_only,50,-0.24300597364421128,-0.23348120532083083,-2.8571428571377844e-05
W1_distinction_only,100,-0.2430625092220836,-0.23353774089870316,-0.00019999999999997797
W2_relation_without_history,50,-0.9974774987527365,-0.987952730429356,-0.1618857142857142
W2_relation_without_history,100,-0.9974774987527365,-0.987952730429356,-0.16414285714285715
W3_bias_asymmetry_only,50,-0.9974774987527365,-0.987952730429356,0.0
W3_bias_asymmetry_only,100,-0.9974774987527365,-0.987952730429356,0.0
W4_commutative_relation_history,50,-0.009358590671604272,0.00016617765177617816,0.0
W4_commutative_relation_history,100,-0.00969094597515674,-0.00016617765177628918,0.0
W5_noncommutative_relation_history,50,-0.0001587884765511527,0.009365979846829298,0.0
W5_noncommutative_relation_history,100,8.141818615747809e-05,0.009606186509537928,0.0
W6_noncommutative_no_relation_control,50,-0.009010891726600745,0.0005138765967797054,0.0
W6_noncommutative_no_relation_control,100,-0.00965108239420387,-0.00012631407082341894,0.0
W7_reversible_history_control,50,2.9193403098259907e-05,0.00955396172647871,0.0
W7_reversible_history_control,100,-2.9193403098259907e-05,0.00949557492028219,0.0
W8_random_order_history_control,50,0.0004650206787548683,0.009989789002135319,0.0
W8_random_order_history_control,100,0.0005048735220501976,0.010029641845430648,0.0
W9_lock_in_history_control,50,0.00046464248390754026,0.00998941080728799,0.0
W9_lock_in_history_control,100,0.0003775064932519667,0.009902274816632417,0.0
