world_a,world_b,metric,mean_diff,ci_low,ci_high,beats
W8_full_branching_connection_graph,W3_generic_coupling,trivial_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W3_generic_coupling,lock_in_index,-0.5910060975083326,-0.6403711036479028,-0.5418140611936644,True
W8_full_branching_connection_graph,W3_generic_coupling,forward_reverse_delta,-0.0467345703125,-0.049104736328124975,-0.04471606445312497,False
W8_full_branching_connection_graph,W3_generic_coupling,asymmetric_branch_differentiation,-0.046651953125,-0.048608886718749994,-0.04443017578125,False
W8_full_branching_connection_graph,W3_generic_coupling,transport_conflict_rate,0.0004408128032306968,0.0004107275814731415,0.00046995621294690924,False
W8_full_branching_connection_graph,W4_random_relation,transport_identity_accuracy,-0.9365889149999999,-0.943535375,-0.930030275,False
W8_full_branching_connection_graph,W4_random_relation,transport_survival_to_horizon,-0.93745802,-0.944871675,-0.929296425,False
W8_full_branching_connection_graph,W4_random_relation,path_specificity_delta,0.06689208499999999,0.0599215,0.07233815,True
W8_full_branching_connection_graph,W4_random_relation,relation_ablation_delta,0.03940617,0.03301545,0.04506135,True
W8_full_branching_connection_graph,W4_random_relation,transport_over_self_delta,-0.9368112700000001,-0.94379335,-0.928644775,False
W8_full_branching_connection_graph,W4_random_relation,future_distinct_transport_ratio,0.5339688597875114,0.5204684336425208,0.5446422815132075,True
W8_full_branching_connection_graph,W4_random_relation,nontrivial_loop_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W4_random_relation,holonomy_diversity_proxy,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W4_random_relation,trivial_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W4_random_relation,lock_in_index,-0.1311975766617068,-0.13904543520097812,-0.11990960054758694,True
W8_full_branching_connection_graph,W4_random_relation,forward_reverse_delta,-0.046706982421875,-0.04916137695312503,-0.04485205078124995,False
W8_full_branching_connection_graph,W4_random_relation,asymmetric_branch_differentiation,-0.04663076171875,-0.04899902343749996,-0.04442138671875,False
W8_full_branching_connection_graph,W4_random_relation,transport_conflict_rate,-0.00012482621657092686,-0.00014587520270937794,-0.00010049706876291697,True
W8_full_branching_connection_graph,W5_global_commutative_map,transport_identity_accuracy,-0.936961845,-0.94465285,-0.929692675,False
W8_full_branching_connection_graph,W5_global_commutative_map,transport_survival_to_horizon,-0.93696406,-0.944259175,-0.929082675,False
W8_full_branching_connection_graph,W5_global_commutative_map,path_specificity_delta,0.046582365,0.04095954999999999,0.05194800000000001,True
W8_full_branching_connection_graph,W5_global_commutative_map,relation_ablation_delta,0.01945263,0.013424175000000003,0.02588732499999999,True
W8_full_branching_connection_graph,W5_global_commutative_map,transport_over_self_delta,-0.9370096149999999,-0.94496015,-0.92956465,False
W8_full_branching_connection_graph,W5_global_commutative_map,future_distinct_transport_ratio,0.533602154761271,0.5208790051995148,0.5437105765878608,True
W8_full_branching_connection_graph,W5_global_commutative_map,nontrivial_loop_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W5_global_commutative_map,holonomy_diversity_proxy,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W5_global_commutative_map,trivial_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W5_global_commutative_map,lock_in_index,-0.1317118875293141,-0.13794590499032736,-0.12005737044635974,True
W8_full_branching_connection_graph,W5_global_commutative_map,forward_reverse_delta,-0.046643652343749994,-0.04906298828125001,-0.04462426757812503,False
W8_full_branching_connection_graph,W5_global_commutative_map,asymmetric_branch_differentiation,0.45350810546875,0.45171386718749995,0.45556884765625,True
W8_full_branching_connection_graph,W5_global_commutative_map,transport_conflict_rate,-0.0001255100172037138,-0.00014827281331090958,-0.00010323139927236601,True
W8_full_branching_connection_graph,W6_symmetric_invertible_map,transport_identity_accuracy,-0.9371152150000001,-0.9443898000000001,-0.9294652,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,transport_survival_to_horizon,-0.93714955,-0.944346625,-0.9294550500000001,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,path_specificity_delta,-0.003096719999999999,-0.009108924999999992,0.002648600000000009,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,relation_ablation_delta,-0.020648154999999904,-0.027143224999999906,-0.014760699999999904,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,transport_over_self_delta,-0.936762175,-0.9428866499999999,-0.92954235,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,future_distinct_transport_ratio,0.5333957091874104,0.5200627308430693,0.543211861766131,True
W8_full_branching_connection_graph,W6_symmetric_invertible_map,nontrivial_loop_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,holonomy_diversity_proxy,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,trivial_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W6_symmetric_invertible_map,lock_in_index,-0.13175676034193134,-0.13853908222979164,-0.12154186580310766,True
W8_full_branching_connection_graph,W6_symmetric_invertible_map,forward_reverse_delta,0.45330341796875007,0.451042236328125,0.45548120117187496,True
W8_full_branching_connection_graph,W6_symmetric_invertible_map,asymmetric_branch_differentiation,0.45338164062499997,0.45140234375,0.45544970703125,True
W8_full_branching_connection_graph,W6_symmetric_invertible_map,transport_conflict_rate,-0.00012776383565731798,-0.00015292530300279884,-0.00010449855646246786,True
W8_full_branching_connection_graph,W7_lossy_lock_in,transport_identity_accuracy,-0.9367939599999999,-0.94479745,-0.928066375,False
W8_full_branching_connection_graph,W7_lossy_lock_in,transport_survival_to_horizon,-0.9373342800000001,-0.9452917750000001,-0.929590875,False
W8_full_branching_connection_graph,W7_lossy_lock_in,path_specificity_delta,0.056951345,0.05107465000000001,0.062900725,True
W8_full_branching_connection_graph,W7_lossy_lock_in,relation_ablation_delta,0.04936726999999999,0.04319219999999999,0.05585167499999999,True
W8_full_branching_connection_graph,W7_lossy_lock_in,transport_over_self_delta,-0.9376309049999999,-0.9458492000000001,-0.92956775,False
W8_full_branching_connection_graph,W7_lossy_lock_in,future_distinct_transport_ratio,0.5344635583263908,0.5217379677070116,0.5447234252146952,True
W8_full_branching_connection_graph,W7_lossy_lock_in,nontrivial_loop_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W7_lossy_lock_in,holonomy_diversity_proxy,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W7_lossy_lock_in,trivial_closure_rate,0.0,0.0,0.0,False
W8_full_branching_connection_graph,W7_lossy_lock_in,lock_in_index,-0.5820636166404028,-0.5895758769221198,-0.5682992571273552,True
