world,T,branch_probability,transport_identity_accuracy,transport_survival_to_horizon,path_specificity_delta,relation_ablation_delta,transport_over_self_delta,future_distinct_transport_ratio,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate,lock_in_index,forward_reverse_delta,asymmetric_branch_differentiation,transport_conflict_rate,classification
W4_random_relation,50,0.25,1.0,1.0,-0.01,0.02,0.75,0.39421999999999996,0.0,0.0,1.0,0.15654677759999996,1.0,1.0,1.0,lock_in
W4_random_relation,100,0.1,1.0,1.0,-0.01,0.02,0.75,0.39382399999999995,0.0,0.0,1.0,0.15587662,1.0,1.0,1.0,lock_in
W4_random_relation,100,0.25,1.0,1.0,-0.01,0.02,0.75,0.39331200000000005,0.0,0.0,1.0,0.15622009439999998,1.0,1.0,1.0,lock_in
W5_global_commutative_map,50,0.1,1.0,1.0,0.01,0.04,0.75,0.39436,0.0,0.0,1.0,0.15562955279999996,1.0,0.5,1.0,lock_in
W5_global_commutative_map,50,0.25,1.0,1.0,0.01,0.04,0.75,0.393636,0.0,0.0,1.0,0.15620864799999998,1.0,0.5,1.0,lock_in
W5_global_commutative_map,100,0.1,1.0,1.0,0.01,0.04,0.75,0.39407600000000004,0.0,0.0,1.0,0.15581220559999998,1.0,0.5,1.0,lock_in
W5_global_commutative_map,100,0.25,1.0,1.0,0.01,0.04,0.75,0.393172,0.0,0.0,1.0,0.15613050399999998,1.0,0.5,1.0,lock_in
W6_symmetric_invertible_map,50,0.1,1.0,1.0,0.06,0.0799999999999999,0.75,0.393652,0.0,0.0,1.0,0.15574208799999997,0.5,0.5,1.0,lock_in
W6_symmetric_invertible_map,50,0.25,1.0,1.0,0.06,0.0799999999999999,0.75,0.393264,0.0,0.0,1.0,0.15589047679999996,0.5,0.5,1.0,lock_in
W6_symmetric_invertible_map,100,0.1,1.0,1.0,0.06,0.0799999999999999,0.75,0.39409999999999995,0.0,0.0,1.0,0.15592063199999998,0.5,0.5,1.0,lock_in
W6_symmetric_invertible_map,100,0.25,1.0,1.0,0.06,0.0799999999999999,0.75,0.393976,0.0,0.0,1.0,0.15572841839999996,0.5,0.5,1.0,lock_in
W7_lossy_lock_in,50,0.1,1.0,1.0,0.0,0.01,0.75,0.3926,0.0,0.0,1.0,0.6074,1.0,1.0,0.0,lock_in
W7_lossy_lock_in,50,0.25,1.0,1.0,0.0,0.01,0.75,0.393948,0.0,0.0,1.0,0.606052,1.0,1.0,0.0,lock_in
W7_lossy_lock_in,100,0.1,1.0,1.0,0.0,0.01,0.75,0.39312800000000003,0.0,0.0,1.0,0.606872,1.0,1.0,0.0,lock_in
W7_lossy_lock_in,100,0.25,1.0,1.0,0.0,0.01,0.75,0.39248400000000006,0.0,0.0,1.0,0.6075160000000001,1.0,1.0,0.0,lock_in
W8_full_branching_connection_graph,50,0.1,0.102356,0.102356,0.09324,0.096804,-0.147644,0.8876365768407303,0.0,0.0,1.0,0.03132139978661351,0.9516796875,0.9516796875,0.9999987426854317,lock_in
W8_full_branching_connection_graph,50,0.25,0.11238,0.11238,0.098088,0.103968,-0.13762,0.881995574175524,0.0,0.0,1.0,0.03257727813746018,0.9523046875,0.9523046875,0.9999829257257854,lock_in
W8_full_branching_connection_graph,100,0.1,0.020568,0.020568,0.019868,0.020568,-0.229432,0.959097542536306,0.0,0.0,1.0,0.02605026213732317,0.95359375,0.95359375,0.999724666405109,underconstrained
W8_full_branching_connection_graph,100,0.25,0.016276,0.016276,0.016276,0.016276,-0.233724,0.98077846867959,0.0,0.0,1.0,0.005978819923391018,0.95578125,0.95578125,0.9997887939171671,underconstrained
W9_noise_rich,50,0.1,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9996446935706532,underconstrained
W9_noise_rich,50,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.999587314329974,underconstrained
W9_noise_rich,100,0.1,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.999600338298491,underconstrained
W9_noise_rich,100,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9996542999595497,underconstrained
