world,T,branch_probability,transport_identity_accuracy,transport_survival_to_horizon,path_specificity_delta,relation_ablation_delta,transport_over_self_delta,future_distinct_transport_ratio,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate,lock_in_index,forward_reverse_delta,asymmetric_branch_differentiation,transport_conflict_rate,classification
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,underconstrained
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,underconstrained
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,underconstrained
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,underconstrained
W1_distinction_only,50,0.1,1.0,1.0,0.0,0.0,0.75,0.392648,0.0,0.0,1.0,0.1562750704,1.0,1.0,1.0,lock_in
W1_distinction_only,50,0.25,1.0,1.0,0.0,0.0,0.75,0.394272,0.0,0.0,1.0,0.15603734399999997,1.0,1.0,1.0,lock_in
W1_distinction_only,100,0.1,1.0,1.0,0.0,0.0,0.75,0.393208,0.0,0.0,1.0,0.15627459199999996,1.0,1.0,1.0,lock_in
W1_distinction_only,100,0.25,1.0,1.0,0.0,0.0,0.75,0.393456,0.0,0.0,1.0,0.15600575359999996,1.0,1.0,1.0,lock_in
W2_local_memory_only,50,0.1,1.0,1.0,0.0,0.0,0.0,0.392948,0.0,0.0,1.0,0.15645175919999998,1.0,1.0,1.0,lock_in
W2_local_memory_only,50,0.25,1.0,1.0,0.0,0.0,0.0,0.39364,0.0,0.0,1.0,0.15582489759999998,1.0,1.0,1.0,lock_in
W2_local_memory_only,100,0.1,1.0,1.0,0.0,0.0,0.0,0.393928,0.0,0.0,1.0,0.15629847119999998,1.0,1.0,1.0,lock_in
W2_local_memory_only,100,0.25,1.0,1.0,0.0,0.0,0.0,0.39394399999999996,0.0,0.0,1.0,0.15558374319999999,1.0,1.0,1.0,lock_in
W3_generic_coupling,50,0.1,0.00031600000000000004,0.00031600000000000004,0.0,0.00031600000000000004,-0.249684,0.82,0.0,0.0,1.0,0.18,1.0,1.0,0.9994150884964881,underconstrained
W3_generic_coupling,50,0.25,0.000308,0.000308,0.0,0.000308,-0.249692,0.72,0.0,0.0,1.0,0.28,1.0,1.0,0.9994516265228839,underconstrained
W3_generic_coupling,100,0.1,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9994220894716235,underconstrained
W3_generic_coupling,100,0.25,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9994392141718383,underconstrained
W4_random_relation,50,0.1,1.0,1.0,-0.01,0.02,0.75,0.39376399999999995,0.0,0.0,1.0,0.15602609679999999,1.0,1.0,1.0,lock_in
