world,T,branch_probability,transport_survival_to_horizon,lineage_cap_hits,classification
W0_null_flat,50,0.1,0.0,0.0,underconstrained
W0_null_flat,50,0.25,0.0,0.0,underconstrained
W0_null_flat,100,0.1,0.0,0.0,underconstrained
W0_null_flat,100,0.25,0.0,0.0,underconstrained
W1_distinction_only,50,0.1,1.0,74090.6,lock_in
W1_distinction_only,50,0.25,1.0,174993.58,lock_in
W1_distinction_only,100,0.1,1.0,305278.28,lock_in
W1_distinction_only,100,0.25,1.0,424940.94,lock_in
W2_local_memory_only,50,0.1,1.0,73728.86,lock_in
W2_local_memory_only,50,0.25,1.0,175017.74,lock_in
W2_local_memory_only,100,0.1,1.0,305319.1,lock_in
W2_local_memory_only,100,0.25,1.0,424980.26,lock_in
W3_generic_coupling,50,0.1,0.00031600000000000004,648.96,underconstrained
W3_generic_coupling,50,0.25,0.000308,4667.78,underconstrained
W3_generic_coupling,100,0.1,0.0,692.64,underconstrained
W3_generic_coupling,100,0.25,0.0,4582.42,underconstrained
W4_random_relation,50,0.1,1.0,73781.16,lock_in
W4_random_relation,50,0.25,1.0,175097.6,lock_in
W4_random_relation,100,0.1,1.0,305277.86,lock_in
W4_random_relation,100,0.25,1.0,425107.44,lock_in
W5_global_commutative_map,50,0.1,1.0,73586.64,lock_in
W5_global_commutative_map,50,0.25,1.0,175051.72,lock_in
W5_global_commutative_map,100,0.1,1.0,305779.82,lock_in
W5_global_commutative_map,100,0.25,1.0,424982.34,lock_in
W6_symmetric_invertible_map,50,0.1,1.0,73902.54,lock_in
W6_symmetric_invertible_map,50,0.25,1.0,175049.28,lock_in
W6_symmetric_invertible_map,100,0.1,1.0,305282.66,lock_in
W6_symmetric_invertible_map,100,0.25,1.0,424953.06,lock_in
W7_lossy_lock_in,50,0.1,1.0,73646.72,lock_in
W7_lossy_lock_in,50,0.25,1.0,175027.24,lock_in
W7_lossy_lock_in,100,0.1,1.0,305543.54,lock_in
W7_lossy_lock_in,100,0.25,1.0,425003.4,lock_in
W8_full_branching_connection_graph,50,0.1,0.102356,14473.98,lock_in
W8_full_branching_connection_graph,50,0.25,0.11238,47286.18,lock_in
W8_full_branching_connection_graph,100,0.1,0.020568,26851.18,underconstrained
W8_full_branching_connection_graph,100,0.25,0.016276,61142.1,underconstrained
W9_noise_rich,50,0.1,0.0,0.56,underconstrained
W9_noise_rich,50,0.25,0.0,16.08,underconstrained
W9_noise_rich,100,0.1,0.0,0.48,underconstrained
W9_noise_rich,100,0.25,0.0,15.52,underconstrained
