world,T,n_sites,seed,p_viable,viable_future_entropy,viability_weighted_richness,noncollapse_diversity,state_diversity,distinction_entropy,distinction_survival,nontrivial_future_classes
W1_distinction_only,50,16,12,0.999,10.93631283976439,10.925376526924628,1.0,1.0,0.9998632010638168,1.0,1970.0
W1_distinction_only,50,16,15,0.9985,10.931570545335813,10.915173189517809,1.0,1.0,0.999755694441642,1.0,1965.0
W1_distinction_only,50,16,16,0.9985,10.933441019794254,10.917040858264563,1.0,1.0,0.9996653045082556,1.0,1968.0
W1_distinction_only,50,16,19,1.0,10.939406840911005,10.939406840911005,1.0,1.0,0.999665845592306,1.0,1974.0
W1_distinction_only,50,16,18,1.0,10.936784284662084,10.936784284662084,1.0,1.0,0.9995911525793804,1.0,1971.0
W1_distinction_only,50,16,17,0.999,10.942318845770396,10.931376526924623,1.0,1.0,0.9997071255271452,1.0,1976.0
W1_distinction_only,100,16,1,0.9995,10.937048749741123,10.931580225366254,1.0,1.0,0.9992806671681032,1.0,1971.0
W1_distinction_only,100,16,0,0.998,10.93345968895341,10.911592769575504,1.0,1.0,0.999700607039446,1.0005,1967.0
W1_distinction_only,100,16,2,0.9985,10.929567540829051,10.913173189517808,1.0,1.0,0.999442590785374,1.0,1963.0
W1_distinction_only,100,16,3,0.999,10.931553192615077,10.920621639422462,1.0,1.0,0.9995696799262572,1.0,1966.0
W1_distinction_only,100,16,4,0.998,10.93784590513686,10.915970213326585,1.0,1.0,0.999374914958945,1.0,1971.0
W1_distinction_only,100,16,5,0.9995,10.926043246989746,10.920580225366251,1.0,1.0,0.9996022439269364,1.0,1960.0
W1_distinction_only,100,16,7,0.9975,10.9230752867488,10.89576759853193,1.0,1.0,0.9994882920936944,1.0,1956.0
W1_distinction_only,100,16,6,0.998,10.938847909144876,10.916970213326586,1.0,1.0,0.9995017837255148,1.0,1972.0
W1_distinction_only,100,16,9,0.999,10.933309836761389,10.922376526924625,1.0,1.0,0.9996587414554629,1.0,1967.0
W1_distinction_only,100,16,8,0.999,10.942318845770394,10.931376526924623,1.0,1.0,0.9998242012816254,1.0,1976.0
W1_distinction_only,100,16,11,0.999,10.924924007180724,10.913999083173543,1.0,1.0,0.9997594338223864,1.0,1959.0
W1_distinction_only,100,16,10,0.998,10.936843901128844,10.914970213326589,1.0,1.0,0.9995484115821748,1.0,1970.0
W1_distinction_only,100,16,14,0.9995,10.937048749741123,10.931580225366254,1.0,1.0,0.9996861574934792,1.0,1971.0
W1_distinction_only,100,16,15,0.997,10.930356414558675,10.897565345315002,1.0,1.0,0.9998151388149538,1.0,1963.0
W1_distinction_only,100,16,13,0.998,10.933837889104794,10.911970213326583,1.0,1.0,0.9997128733648016,1.0,1967.0
W1_distinction_only,100,16,12,0.9975,10.93510536193677,10.90776759853193,1.0,1.0,0.999407937487228,1.0,1968.0
W1_distinction_only,100,16,16,0.997,10.934992880204533,10.902187901563918,1.0,1.0,0.9993773997182148,1.0,1968.0
W2_asymmetry_only,50,16,1,0.998,10.933837889104794,10.911970213326583,1.0,1.0,0.999675731031706,1.0,1967.0
W2_asymmetry_only,50,16,2,1.0,10.937784284662088,10.937784284662088,1.0,1.0,0.9996249207014006,1.0,1972.0
W2_asymmetry_only,50,16,0,0.999,10.93093001318673,10.919999083173543,1.0,1.0,0.9997332778671104,1.0,1965.0
W2_asymmetry_only,50,16,3,0.998,10.936843901128842,10.914970213326583,1.0,1.0,0.9995666213316888,1.0,1970.0
W1_distinction_only,100,16,17,0.9975,10.934102855671108,10.906767598531932,1.0,1.0,0.999696672310158,1.0,1967.0
W1_distinction_only,100,16,19,0.9985,10.93657805660271,10.920173189517808,1.0,1.0,0.9995490804258308,1.0,1970.0
W1_distinction_only,100,16,18,0.9985,10.939582563362851,10.923173189517808,1.0,1.0,0.9997034402353424,1.0,1973.0
W2_asymmetry_only,50,16,4,0.999,10.93431083776239,10.923376526924628,1.0,1.0,0.999468954692264,1.0,1968.0
W2_asymmetry_only,50,16,5,0.9995,10.934047248990748,10.928580225366252,1.0,1.0,0.999764134906942,1.0,1968.0
W2_asymmetry_only,50,16,7,0.9985,10.929567540829051,10.913173189517808,1.0,1.0,0.9997609810228948,1.0,1963.0
W2_asymmetry_only,50,16,6,0.9975,10.927331038626331,10.900012711029769,1.0,1.0,0.9997621033500952,1.0,1961.0
W2_asymmetry_only,50,16,8,0.999,10.938314841766392,10.927376526924624,1.0,1.0,0.9996940000255808,1.0,1972.0
W2_asymmetry_only,50,16,9,0.9975,10.93071694714872,10.90339015478085,1.0,1.0,0.999596336084752,1.0,1964.0
W2_asymmetry_only,50,16,10,0.998,10.936843901128842,10.914970213326583,1.0,1.0,0.9997689914617208,1.0,1970.0
W2_asymmetry_only,50,16,11,0.9995,10.946053251992248,10.94058022536625,1.0,1.0,0.999804589593984,1.0,1980.0
W2_asymmetry_only,50,16,12,0.997,10.93236243261284,10.899565345315,1.0,1.0,0.9997005976864444,1.0,1965.0
W2_asymmetry_only,50,16,13,1.0,10.928784284662086,10.928784284662086,1.0,1.0,0.9994134101607706,1.0,1963.0
W2_asymmetry_only,50,16,14,0.9995,10.923041746239372,10.917580225366253,1.0,1.0,0.999691035555094,1.0,1957.0
W2_asymmetry_only,50,16,15,0.9975,10.934102855671108,10.906767598531932,1.0,1.0,0.9997352101617328,1.0,1967.0
W2_asymmetry_only,50,16,17,0.999,10.938314841766392,10.927376526924624,1.0,1.0,0.9995423442590746,1.0,1972.0
W2_asymmetry_only,50,16,16,0.998,10.93784590513686,10.915970213326585,1.0,1.0,0.9995295139223508,1.0005,1971.0
W2_asymmetry_only,50,16,18,0.9995,10.938049249991249,10.932580225366252,1.0,1.0,0.9994901249816176,1.0,1972.0
W2_asymmetry_only,50,16,19,0.9975,10.92432351982934,10.897012711029769,1.0,1.0,0.999661126743034,1.0,1958.0
W2_asymmetry_only,100,16,1,0.996,10.914442249587072,10.870784480588725,1.0,1.0,0.9997592592141358,1.0,1947.0
W2_asymmetry_only,100,16,0,0.9975,10.938112880733764,10.910767598531931,1.0,1.0,0.99977667738973,1.0,1971.0
W2_asymmetry_only,100,16,3,0.995,10.929406986787798,10.87475995185386,1.0,1.0,0.999569371591797,1.0,1961.0
W2_asymmetry_only,100,16,2,0.996,10.91544626565133,10.871784480588724,1.0,1.0,0.999831412781894,1.0,1948.0
W2_asymmetry_only,100,16,4,0.997,10.934368450667002,10.901565345315,1.0,1.0,0.9997490236882312,1.0,1967.0
W2_asymmetry_only,100,16,6,0.9965,10.927610089169212,10.88936345385712,1.0,1.0,0.9996683571476468,1.0,1960.0
W2_asymmetry_only,100,16,5,0.998,10.938847909144876,10.916970213326586,1.0,1.0,0.9997546687401548,1.0,1972.0
W2_asymmetry_only,100,16,7,0.995,10.935437137541568,10.88075995185386,1.0,1.0,0.999707083376178,1.0,1967.0
W2_asymmetry_only,100,16,8,0.997,10.928350396504513,10.895565345315,1.0,1.0,0.999787428558017,1.0,1961.0
W2_asymmetry_only,100,16,9,0.998,10.935841897120827,10.913970213326586,1.0,1.0,0.99984034519012,1.0,1969.0
W2_asymmetry_only,100,16,10,0.998,10.9264456608973,10.904592769575505,1.0,1.0,0.9995717166406916,1.0,1960.0
W2_asymmetry_only,100,16,11,0.9965,10.931624138341316,10.89336345385712,1.0,1.0,0.9996406417267424,1.0,1964.0
W2_asymmetry_only,100,16,12,0.9965,10.92560306458316,10.88736345385712,1.0,1.0,0.9995634100939566,1.0,1958.0
W2_asymmetry_only,100,16,13,0.9945,10.92363952664571,10.86355950924916,1.0,1.0,0.9996027264470309,1.0,1955.0
W2_asymmetry_only,100,16,14,0.9975,10.9230752867488,10.89576759853193,1.0,1.0,0.9996775002900432,1.0,1956.0
W2_asymmetry_only,100,16,15,0.996,10.932893498333138,10.889161924339806,0.99975,0.99975,0.999481936097696,0.99975,1965.0
